"id","text","label"
"1403224993333346305","Let's get vaccinated first and attain herd immunity
#PostponeESE2021
@DoPTGoI @narendramodi @aajtak @TheLallantop @DrRPNishank @IndiaToday @ndtv @ZeeNews @TheQuint @thewire_in @DrJitendraSingh @ArvindKejriwal
@ravishndtv @BDUTT @SonuSood @SwetaSinghAT @RubikaLiyaquat @chitraaum",""
"1415978227479334913","i can't even show how happy and emotional i am i repeat it but i'm in the thing to get vaccinated idk how it's called but yeah",""
"1415972073210589185","Don’t forget to maintain safety at vaccination sites- #WearAMask #SanitiseHands Avoid close contacts! 

And even after you are vaccinated- remain vigilant- it takes time to build up immunity. 

#VaccineRollOutSA",""
"1401154080962224131","It's a pretty good demonstration of just how out of touch we are with our own bodies that we trust a vaccine that's been rushed through in less than 12 months more than we trust an immune system that's evolved over 178 million years.",""
"1375801347602313216","Reede Scholar Rhea Boyd discusses COVID 19 Vaccine Access",""
"1450963132927471617","Ted Cruz ropes Delta Airlines into his anti-factual war against vaccine mandates",""
"1378296391257235457","Covid vaccination volunteer day at Fitznell @IcpPcn @NikkiKF #CovidVaccine #COVID19 #BioNTech",""
"1446092006300782597","Now we arrive at the REAL agenda behind the vaccine mandates.",""
"1421271951943761922","A century ago, balancing the tension between individual liberties and public safety, the Supreme Court upheld the ability of state and local governments to enforce mandatory vaccination laws.",""
"1417968872913768451","DJ Boring’s management have rightly so requested that ticket holders to his gig at XOYO this week have a covid vaccine certificate or negative lateral flow test and anti-vaxxers are calling him a sellout. I don’t get it.",""
"1400470434919944192","We are the most vaccinated country in the world, why are we being stopped going anywhere? It doesn't sound scientific. @LBC",""
"1438117898652897291","With flu season on the horizon, doctors say that your best defense is to get a flu vaccine before the end of October to ensure maximum protection. Rowan Family Medicine offices are offering patients four Saturday drive-thru flu vaccination clinics in September and October.",""
"1436331766554431492","Ontario Liberals led the call for mandatory vaccinations on the frontline of healthcare &amp; education, and for vaccine certificates. We're now calling on Doug Ford to disclose how he spent $750 million in Safe Return funds for schools: 

#NoSafeReturn #onpoli",""
