"id","text","label"
"1377374200730513408","Johnson &amp; Johnson Covid-19 vaccine is delayed by a U.S. factory mix-up. 

The is exactly what we didn't want. Production delays. The great news is that these mistakes were caught early.",""
"1385912291724509184","Two Atomic powers in south Asia one has no vaccine other one has no oxygen both did missile experiment last month. #PakistanstandswithIndia",""
"1402126029846573056","Fully Vaccinated Americans can now travel to Spain - TRAVEL CORRESPONDENCE",""
"1415382629671706628","#StopTheInsanity GET VACCINATED  99% of cases are unvaccinated!",""
"1436331428510318594","OPINION: No, COVID-19 vaccine passports and mandatory vaccination do not 'protect the health and safety of Canadians'",""
"1448855153050718222","Aydin Keskiner presidente de Clinical Research of West Florida
Trabaja para Pfizer pero no cree en la vakuna
No quería vakunarse pero se vió forzado a hacerlo
Video completo 👇",""
"1443371417140084745","Fauci now defines fully vaccinated to  include booster shots #scam #toldya",""
"1394345332390219778","@CharlieBakerMA lifting the mask mandate before children can be vaccinated is reckless and irresponsible",""
"1428162615579234305","A person who is very close to me starts 6 months of chemo tomorrow. That’s scary enough on its own, but when you read stuff this this from NPR…

Please, please get vaccinated if you haven’t yet. Get the J&amp;J if you’re nervous about mRNA. Just make sure you get vaxxed. 💉",""
"1410521859762921472","The best covid 19 vaccine is any one that's available to you.Dont wait for a specific brand #KingaCorona @nmacc_Ke",""
"1436094102450364417","You shouldn't be forced to get a vaccine just as I shouldn't be forced to wear a mask. #NoMandates",""
"1420074008905715714","Should the COVID vaccine be mandatory for all health care workers? More than 50 medical groups are now urging all health care employers to require workers to get the shot, including employees at doctors' offices, pharmacies, and skilled nursing facilities.",""
"1419566137566646274","Moderna, pfizer and j&amp;j daw ang available vaccine dito sa'min wait na lang kami ng sched ngayong week na 'to. 🙏

Mom: Kinakabahan ako parang ayoko na.",""
"1429432011995951107","💥☝️😎 This Afghanistan (fake news) is a planned DISTRACTION.  The Vaccine SIDE EFFECTS KILL.  MANY ARE SUFFERING.  OVER A MILLION HAVE DIED FROM COVID VACCINE.  Covid is harmless.  They want you dead.",""
"1409549653536698370","The Covid-19 vaccination bus is in Salford! 🚌

If you’ve still not had your first #Covid19Vaccine it’s not too late. 💉

All over 18s can now hop aboard the vaccine bus for first and second Pfizer doses. ✅✅

Details here",""
"1431356701983248385","The natural immune protection that develops after a SARS-CoV-2 infection offers considerably more of a shield against the Delta variant of the pandemic coronavirus than two doses of the Pfizer-BioNTech vaccine.",""
