"id","text","label"
"1414879505047425027","Last year the #PMforNSW cheaped out on vaccines and didn’t order enough Pfizer or Moderna for the whole population. That would have cost less than the federal and state governments are spending on stimulus EVERY WEEK of the lockdown. #auspol #ScottyFromDamageControl",""
"1437097450272137221","Kentucky Health Care Workers Refused to Comply With Vaccine Mandate, Forced Hospital to Fire Them (VIDEOS) — The Gateway Pundit",""
"1446080688286052355","So when Big Pharma demand vaccine passports and mandatory vaccinations will the DA have the balls to say no?",""
"1450859787692957705","I’m sorry but #sajidjavid just reading long Scientific words from a script does nothing for me - he understands the way the vaccine works as well as me, yet tries to come over as an expert. No wonder the idiots listen to Facebook. Please can we have some real Scientists. Thanks.",""
"1399061184997777418","@VanathiBJP
Mam central govt only giving covid vaccine so please get vaccine to TN then u talk may 17 her put 600 vaccine in Coimbatore. Then u talk about state govt mam. This is not politics please help for all the pepoles of TN. Be safe mam. Covai South MLA. IT is my request1",""
"1415978413731553280","I told my child’s father I wasn’t comfortable with him being around me  or my child if he’s not vaccinated. Now the anti vaxxer is getting vaccinated 🙏🏽😎 He know I do not play about my damn baby.",""
"1377696021828931588","via @PerilOfAfrica #Europe #World Europe’s Covid vaccine programme ‘unacceptably slow’, WHO warns",""
"1388395449288122369","Dünya Sağlık Örgütü (DSÖ), Moderna koronavirüs aşısına acil kullanım onayı verdiklerini belirtti",""
"1430875834592731139","Yesterday my boss told me to WFH until further notice lol. This man was willing to say ""it would be harder to promote someone who only works remotely"" to get me to come in one day a week after I got Pfizer but I guess y'all really broke him with the anti-vax cult behavior... 😬",""
"1436206240242323457","Japan’s popular vaccine minister Kono set to enter race for next leader",""
"1392061700497723397","It seems the UK is now falling well behind other countries on vaccine doses. Especially second doses. 
It also seems that other countries have stuck to the manufacturer's instructions on gaps between doses. 
More experimentation by Johnson.",""
"1389196756253126656","Building trust key to tackling vaccine hesitation among immigrants, say event organizers",""
"1415229281412714496","Fauci Vax Cult Is Already Knocking On Doors Creating a Registry",""
"1374746017426329603","Myanmar in 2020(Vs) Myanmar in 2021
Others are getting vaccine shots, Our people are getting shots. 
This may be the last time for the Dictatorships. We will Win this end Games. Never Forgive and Never Forget. 
[Artwork Credit]
#WhatsHappeningInMyanmar",""
"1425479927143534596","My dad is the only one in my immediate family that has refused to get vaccinated despite us all trying to have discussions as to why he should. Now he is willing to get it so that he can travel internationally… ok but what about your daughters asking you to for months 🥴",""
"1409690550085709834","Palacechook shuts SE Queensland and Townsville for three days because of a single case, a receptionist at a Rona ward.

Apparently this is necessary because Morrison won’t fund the Wellcamp quarantine centre and hasn’t provided enough Pfizer jabs. Seriously.

#EIG",""
"1377719648561594370","COVID VACCINES 💉 Do you know someone who lives outside of the U.S. who traveled here for a #COVID19 #vaccine shot?

Our @tararosenblum would like to hear from you, email her at tdrosenblum@news12.com",""
"1390135837023744002","I just can't RT anyone who is sharing the clip, but what T*cker C*rlson is doing is literally deadly. I don't care that the word ""apparently"" is in there - his insinuation that the COVID vaccine is causing thousands to die is reprehensible.",""
"1405276748376199168","899 People Given Defective COVID-19 Vaccine Doses in NYC’s Times Square: Officials",""
"1412824498039103492","Alhumdullilah Got vaccinated 

I don't have photographer 🙈",""
"1408658741088591875","Jabbed 😁 The mandatory vaccination pic #vaccine #Vaccinated #WearAMask",""
"1422955461012332546","AAN Issues Formal Position Statement on COVID-19 Vaccine",""
"1378272239687065610","PETITION: No to mandatory vaccination for the coronavirus | LifePetitions",""
"1402703781171761153","Biden administration to buy 500 million Pfizer coronavirus vaccine doses to donate to the world - The Washington Post",""
"1385181157030047748","Experts don't know yet because they're still studying vaccinated people to see when protection might wear off.",""
"1403115479460462594","Fear is a handy tool used to subdue the population... If the FDA grants Moderna and Pfizer/BioNTech full approval of these experimental mRNA technologies, it could open the door to enact mandatory vaccination and booster shot policies on a wide scale.",""
"1379541442683674624","Found rite aid vaccine at many locations. See all locations with availablity here:  and sign up here:  id: 1617743285",""
"1372523277890031618","PinkCars volunteers ensuring York Region seniors make and get to COVID-19 vaccine appointments  via @newmarkettoday",""
"1425355593326465025","German chief pathologist sounds alarm on fatal vaccine injuries",""
"1429443685234708486","Again, where are all of the Republicans?

1. 2020 voting
2. Border Crisis
3. Mask Mandates
4. Vaccine Mandates
5. Afghanistan.",""
"1429337591262990340","San Francisco's new rule: Proof of vaccine or no dining in",""
"1430890319218987009","The LAFD fire captain's YouTube rant against mandatory vaccinations is offensive to professional firefighters that care about the public they serve. He is probably vaccinated against measles, mumps, rubella and polio. #VaccineMandate",""
"1388868676074475520","Wear a mask . Get the vaccine . Save lives .  Just do it .",""
"1375892943492505609","Have you received the COVID-19 vaccine or are you planning on it? It will not disqualify you from getting life insurance. We are on the blog explaining why it won't impact buying a new life insurance policy or your current life insurance.",""
"1442127084462088194","#PIB's #COVID19 Bulletin 
85.60 Cr. vaccine doses have been administered so far under Nationwide Vaccination Drive
Active cases account for less than 1% of total cases, currently at 0.90%
India's Active caseload stands at 3,03,476",""
"1396176749130653696","I’ll never forget when I’m one of my very first zoom meetings while working from home and this girl kept calling it Corvid-19. Probably 4-5 times. Anyway my vaccine is booked and I still fucking hate needles so this will be fun",""
"1402683264897372165","COVID-19: PM says 21 June decision rests on effectiveness of vaccine rollout – as UK daily cases highest in months - Sky News... No one going anywhere much any time soon . Be grateful for the good weather here.
#Covid 
#GetVaccinatedAsap",""
"1417156644023193602","@doctor_oxford Have you seen the latest ""locking door after horse bolted"" statement from this terrible government ?  Announcement by Zahawi that there will be full-dose vaccine requirement for nightclubs .... from end of September ?!? 🤷",""
"1415978362527440902","Good morning Twitter family! I hope you have a great day! 2nd day post vaccination and I feel just fine! Anyone who worries about the 2nd vaccine, don’t, it’s a piece of cake! Blessed be!💜💜💜",""
"1386762963252649985","@CryptoViewing
@GovRonDeSantis
@RandPaul
@DonaldJTrumpJr
@FoxNews
@SkyNews

Vax doomsday scenario as told by top vax creator from Bill and Melinda Gates Foundation",""
"1375816317132017677","I got vaccinated today morning with Moderna's vaccine 😀",""
"1384209337514561543","Might be unable to work on art for today n tomorrow cuz im getting my second moderna shot today.

Love yall tho so if u wanna chit chat in the mean time hmu",""
"1442526051960229889","New York To Declare State Of Emergency Due To Nurses Quitting, Getting Fired Over Vaccine Mandate via @nationalfile",""
"1395397413041487877","""FDA approves Pfizer vaccine for adolescents 12 to 15 years old.""

Sovereign Individual Rights Violation!

Absolutely no sense to subject children or teenagers to an experimental drug, which has no hopes in prevention or protection.

Message by #Cagsil",""
"1418114988854501379","@GavinNewsom If students don’t feel comfortable with going back to school for the 2021-2022 school year, can we still have the option for virtual learning? Many students haven’t gotten the vaccine and are not planning on to. Also the Delta Variant is another major concern.",""
"1415252374059327491","Remember this from Jan 2021 PM rules out divisive vax passport?",""
"1419706559727382530","Medical groups call for mandatory vaccination of U.S. health care workers, citing an ethical obligation...LOLTA",""
"1408976403056402434","#DeltaVariant  is the Most Transmissible of the variants identified so far and is spreading rapidly among unvaccinated populations.
So vaccination can only save us...So go and vaccinate yourself.
#COVID19",""
"1431369012978454530","ugh i’m so pissed my parents won’t let me get vaccinated i would of got it done the second i could if it was my choice :((",""
"1393269134385983489","Please email me at mystory@velshi.com with why you do or don’t feel safe with new CDC guidance that vaccinated people don’t need to wear masks at all anymore, while non-vaccinated people should? I may read your response on @VelshiMSNBC Sat/Sun 8-10aET.",""
"1379909330342834179","“We Ran Tests on Every State’s COVID-19 Vaccine Website... ” and the results were not good 

#webdev #software #tech",""
"1400202142972092418","The Vaccine Divide and Emerging Segregation Society – [Waking Times]: The push to get everyone to take a COVID-19 injection may be the greatest social engineering project the world has ever witness...",""
"1418109008523808770","""Esta sociedad de mierda no avanza""

La sociedad:
-""Ojalá me pongan la Pfizer y me salgan tetas""
+""A ver si hay suerte y a mi novia la salen unas buenas berzas cuando la vacunen""",""
"1386200973782110213","I'm going to get the vaccine and then I'm going to continue to wear a mask in public, social distance and wash my hands a lot thank you for your cooperation.",""
"1438222581291753474","The City of Cambridge has introduced a mandatory vaccine policy for employees. Read the full news release 👉  #cbridge",""
"1382867375330975752","Third dose of COVID-19 vaccine ‘likely’ needed within 12 months: Pfizer CEO – National",""
"1391002144992497675","@mybmc Sir kindly please confirm when 18+ above vaccine next slot to be available. Yesterday I was try but no OTP received.",""
"1400468328011821060","I have got my first vaccine for free &amp; u? Thank u, honorable Prime minister @narendramodi",""
"1378231400206266369","I thought I had a high pain tolerance but this second vaccine shot........ 🥲",""
"1393664569659338754","@FloridaHoussine 
Hello @TravelGov
 @USEmbassyKRT 
, CDC says fully vaccinated people no longer need to wear a mask or physically distance in any setting. Why you are insisting on limiting your visa services? 
You are banning thousands of #DV2021 #HurryUp #KCC_Not_Working",""
"1387205261312462850","Another woman died in Quebec from AstraZeneca vaccine ,she had a blood clot and died from it .They  keep telling us that benefits outweigh the risk .They can have it ! No thanks .",""
"1432342440401321987","Help slow the spread! Get vaccinated and wear a mask.",""
"1421653359929413636","Cambodia is expected to receive 7 million more doses of COVID-19 vaccine (5 million Sinovac) this month. Cambodia will have 26.5 million doses in total by next month.",""
"1383122880582533120","Interesting that the Johnson &amp; Johnson vaccine is on hold because of 6 bad cases but the police system is in full swing after...how many deaths?",""
"1400729943865282568","127 doses sont disponibles demain à 8:35
à Centre de vaccination du Pays de Morlaix - Centre de vaccination COVID 19 (Pfizer-BioNTech)

Langolvas, 29610 Garlan",""
"1443009995059179521","United Airlines said as many as 593 employees face termination after declining to get a vaccine",""
"1375826316591833090","Ο EMA έδωσε το «πράσινο φως» για 3 νέα εργοστάσια παραγωγής εμβολίων των Pfizer &amp; AstraZeneca",""
"1396556818684461060","WHO CARE ABOUT RAND PAUL! MAYBE IF WE'RE LUCKY HE'LL GET IT AGAIN &amp; IT WON'T BE SO NICE &amp;  WILL SCARE HIM TO GET THE VACCINE AND NOT BE A SELFISH F-HEAD! BUT REALLY I DON'T CARe ABOUT COCKY ASS RAND PAUL!  I'M FULLY VACCINATED!",""
"1395673243567149060","COVID-19 Vaccine Data Shows Some Sacramento Neighborhoods Achieving Immunity Faster Than Others",""
"1415978227479334913","i can't even show how happy and emotional i am i repeat it but i'm in the thing to get vaccinated idk how it's called but yeah",""
"1422095938844299266","Today I am fully vaccinated and the certificate I was given expires 4 years from the second dose. Why 4 years? @DigitalEU",""
"1402119089707831301","6,812 people vaccinated in SA over last 24 hours; COVID-19 death toll passes 57k",""
"1375044399722299397","Everyone’s eligible for the vaccine today in Georgia. Get jabbed! 💉🍑 

Georgia Department of Public Health: 

My Vaccine Georgia:",""
"1418769039602618370","The European Medicines Agency has approved use of Moderna's Covid vaccine for children aged between 12 and 17.",""
