"id","text","label"
"1447997709160378369","Texas governor bans all vaccine mandates, including from private businesses",""
"1439599494459531266","Moderna COVID vaccine shipment about to arrive in Sydney | 7NEWS – 7NEWS Australia",""
"1447409925412454400","Sidney Powell Suing Defense Department Over 'Unlawful and 'Unconstitutional' Vaccine Mandates  #story",""
"1430254848885338122","Week work phoning me up for surrogate vaccine counselling and I'm all ""NO, I'm off the clock with my head lathered up"" and Hijabi Lioness says, 
""This is a lifesaver thing. You're good at this. Do the voice and ramble about Orwell and wotnot""",""
"1373107922838884357","Wealthy countries - including the UK - are blocking proposals to help developing nations increase their vaccine manufacturing capabilities",""
"1439596764164657152","The “no vax but monoclonal” approach is very similar to “no change in lifestyle but if i get sick like you said i might, I expect you to make me better” that bedevils American medicine.",""
"1386757610121039872","Calls for Donegal's education staff to be prioritised for vaccine after growing outbreaks of Covid-19 in schools",""
"1441843146829279234","Bill Gates ve Fauci gibi harcanabilir kuklalar gözden çıkarıldığında bizde hali hazırda aşı faşisti olan Pfizer beslemesi Profçuklardan hangisi mRNA ile ilgili hepimizi aydınlatacak akademik dönüş manevrası yapar?",""
"1403118259692466179","If you need proof of the emotional/financial/palpable benefits of whole cities getting vaccinated just look at our beautiful friends in New York who spent a year locked inside and are now posting happy pictures of themselves maskless at restaurants and clubs. (1/2)",""
"1432344491567075331","We have a vaccination clinic today at our downtown location @ 825 Euclid Ave. All three vaccines are available for ages 12+ (Pfizer only for ages 12-18). Primary and secondary doses only. #itstime",""
"1429707934146211851","Strictly Follow CAB, Get Vaccinated Against Covid-19: Div Com Kashmir Appeals Public",""
"1433772711168208899","A new Leger survey found 77% of Albertans are in favour of a vaccine passport in the province, but it has the highest % in the country who ""strongly oppose"" at 20%",""
"1402131400225181696","Many numbers of personal in Hyd have got job offers from abroad, especially Gulf. Countries are demanding vaccine certificate for Covishield.Request to hold SPL vac camp for Job Visa holders, for going to abroad. Appropriate certificates may also be issued
@KTRTRS @KTRoffice",""
"1432762009108373513","Assam administered a huge 1.75 Crore covid vaccine doses today.

While under Hon'ble PM @narendramodi ji, India emerged as the Vishwa Guru in the vaccination drive, Assam has been leading as a frontrunner state in the nation by HCM Dr. @himantabiswa in this fight against #COVID.",""
"1394237949710147588","As masks have been promoted as an instrument, which protects others and not the wearer, why are fully vaccinated people worried about the non vaccinated, when they’re protected...just...that’s the whole point of getting the vaccine #COVID19",""
"1379151961728151554","Saudi to issue Umrah permits for vaccinated pilgrims",""
"1410039402340835354","Israeli study links Pfizer vaccine to deadly blood disease that causes blood clots.",""
"1415978413731553280","I told my child’s father I wasn’t comfortable with him being around me  or my child if he’s not vaccinated. Now the anti vaxxer is getting vaccinated 🙏🏽😎 He know I do not play about my damn baby.",""
"1412466118971756545","Mounting evidence suggests Sputnik COVID vaccine is safe and effective",""
"1425842040718323722","GOVERNOR ABBOTT OF TEXAS: THE BIGGEST IDIOT IN TEXAS! 2500 healthcare workers who aren't vaccinated nor wear masks. You know what you can do with your Illegitimate healthcare workers.",""
"1431365921965101056","NBA to require most staff to be vaccinated against COVID-19",""
"1415972077614608387","Officially fully vaxxed yesterday &amp; I couldn’t be happier 🥳 
#COVIDVaccination #vaccinated",""
"1405042457608278016","The problem with mandatory vaccination is the removal of human right in protecting one’s health and life, including the choice of vaccine to use.",""
"1430919859219537925","They already started the mandatory vaccination at the refinery and this is not going to end well. At my 9:30am meeting they were like for anyone who refuses to get vaccinated are not welcome on this refinery lol",""
"1446076512243896321","Video Emerges Where Fauci and Others Planned for a “Universal mRNA Flu Vaccine” Which Became the “COVID-19 mRNA Vaccine” Because People Were Not Afraid Enough of the Flu Virus  via @grtvnews",""
"1381981699500826625","cdc pulling the johnson and johnson vaccine (that would be the same company that put asbestos in baby powder for decades) is a very big deal. coercive measures are completely unjustifiable regardless of contingency, but if they really are just testing it out on the population?",""
"1385900708747259905","@Asad_Umar Many non developing countries have bought vaccine for their nation which is totally free for all population yet PTI Pakistan still wants it's friendly companies to bough vaccine and sell it at 200% higher.(2/3)",""
"1379541924005040128","Glad they set up the vaccine queue in the anti-aging area. Could have been the candy aisle.",""
"1382390056611155975","This week India’s regulators authorised the Russian made Sputnik V vaccine for emergency use. 

India has seen a sharp rise in new coronavirus infections, with more than 180 000 a day recorded in mid-April, up from 10 000 cases a day in early February",""
"1416439927403958281","Meu celular tá em frances aí os app tbm e o Tinder me perguntou ql melhor parte do meme da pfizer AL'ALZNLABSLSNSKSN",""
"1417677649850241026","@Bease11 Don't sell your soul Cole....🤣Mark Cuban and the Leftist Control freaks want you to submit and bow down to their Medical Tyranny. You'd be an absolute low IQ fool to trust their propaganda and their offers to lure you with Pfizer shares. Don't be a sucker @mcuban",""
"1425504761307181061","So Jeopardy conceded and added a second host, and of course it's the white woman who uses her PhD as license to hawk FDA-unapproved brain supplements and promote vaccine hesitancy.",""
"1432338123669770248","THIS IS MUST-SEE TV
“I wanna talk about this whole not getting vaccinated and then running to the hospital when you get the virus-thing.” 

This is amazing…  05",""
"1400725893086171140","Chöit drü mau rate wär sech iz gd dr zwöit Schuss Moderna geit ga setze 💉😎",""
"1391032461497454592","Future Dependence on China Another Cost of Biden's Vaccine IP Giveaway",""
"1418526251694759937","Kya aapko lagta hai kya covid-19 ki vaccine ke liye ready hai mam ki Live ko jarur join Karen.
#GetSwasthIndia",""
"1380674875027816449","Great news! I get my first of 2 covid-19 vaccine shots on Monday!",""
"1378281016540811268","The Government should stop discriminating on the basis of age.
'Vaccine for all' is the only solution to stop the virus. The excuse that there are not enough vaccines is a joke when 6.4 crore doses have been exported.
@PMOIndia @MoHFW_INDIA 
@ArvindKejriwal 
#COVIDSecondWave",""
"1373734233403879425","Look, if you don’t want to get vaccinated because you are Republican. Fine, please don’t. Less GOP voters will be alive for the next election.",""
"1378236941041164292","#BBCBreakfast 

what rubbish..
UK had vaccine CD certs before.
Johnson &amp; co kill 200,000 thru causation, starmer ex CPS  does nothing.",""
"1378294849854578690","Netherlands decides to completely halt use of AstraZeneca vaccine",""
"1378971621529022466","Setting aside the issue of vaccine stock that never left Europe, how is it that a federal government that last year provided 18m fluvax doses without major dramas now looks like it's inventing a vaccine program for the first time, and not doing a great job of it? I don't get it.",""
