"id","text","label"
"1394264221916049429","was woken up at 8:30 am by a call from gp to book vaccine appointment",""
"1379943321058041864","LVHN holds mass vaccination event at Pocono Raceway, as more people become eligible to get vaccine @JamieStoverNews reports.",""
"1438378103043207172","Not surprised at all...

Nearly all Fox staffers vaccinated for Covid even as hosts cast doubt on vaccine",""
"1388398197865783300","Facebook to roll out vaccine finder tool on mobile app in India",""
"1396136412798496770","Conferindo ""Evolução Histórica das Relações Internacionais - Da Era Moderna "" no Conselho de Pastores do Brasil -:",""
"1423647321305321478","really cracks me up when people try to come at me about my stance on the vaccine and shit 😂 i’ll keep saying all it’s suppose to do rn is keep you from dying 🤦🏻‍♂️ you can still get the flu after a flu shot it’s just clearly not as bad",""
"1415972077614608387","Officially fully vaxxed yesterday &amp; I couldn’t be happier 🥳 
#COVIDVaccination #vaccinated",""
"1442123913358716930","These athletes will raw women they met on Instagram but the vaccine is where they draw the line on their health.",""
"1441216588171001856","HOLY SHIT!
Major Law Firm Confirms FDA Deceived America With Its ‘Approval’ Of Pfizer Vax

Tonight at 9pm CST on the Weird Threads Podcast

Surprise, the FDA, MSM, &amp; Biden Administration lied to you. 

Facebook: 
Twitch:",""
"1428081728908898307","The NIH owns part of patent for Modernas vaccine and the reason for boosters is because if Israel's data who has 80% fully vaxxed with 95% of hospitalizations being vaxxed. The vaxxes are failing so they want to keep pumping them into you.",""
"1450958317799546883","Just got Pfizer booster.  First noticeable side effect… a boost in my belief of science and medicine.",""
"1384838269440073730","We @KINSKIITDU1  @kims_pbmh @KIMSBBSR are lucky enough to have been vaccinated with Covaxin of @BharatBiotech.
We are thankful enough to @achyuta_samanta sir for his proactive steps for Employees &amp; Students of @KIITUniversity &amp; @kissfoundation during #CovidCrisis
@Naveen_Odisha",""
"1377716567979384833","Pfizer says COVID-19 vaccine lasts 6 months, protects against variants",""
"1450843184238448641","anyway, im gonna get my 2nd dose of vaccine tomorrow AARGEHRHDJJD IM SCARED",""
"1443246066455887875","Télam | Llegan este miércoles al país nuevos cargamentos de Pfizer y Astrazeneca",""
"1417961776503721986","Governor Parson announces new DHSS director, statewide vaccine incentives",""
"1387208694845243392","Some people got the Pfeizer vaccine and they’re here complaining about numbness anyways its almost time for Iftar 🥘 🍱 🍲",""
"1398386360361304068","I totally want to win this lottery! $1.5 million or $50,000 - Fingers crossed
Vax for the Win: California’s vaccine incentive program",""
"1378247433331879939","As the Dumbarton &amp; West Scotland candidate for @ScoLibertarian, I will fully oppose mandatory vaccination laws and mandatory face mask/visor laws as well as oppose vaccine passports.",""
"1405042457608278016","The problem with mandatory vaccination is the removal of human right in protecting one’s health and life, including the choice of vaccine to use.",""
"1435800268260716557","Trials for vaccine delivery by drones begin today in Telangana – ET HealthWorld",""
"1383119890815479810","i’ve had too many people ask me if drinking is okay while you get the vaccine 😂😂😂",""
"1375870571221819394","The Eu is well behind our vaccine rollout so why do the Dutch have fans back in grounds and we don’t have full capacity by now?",""
"1375826811582476290","'Loophole' allowed ineligible people to get COVID-19 vaccine in Washington.


via @GoogleNews",""
"1410531707908853761","To be honest. Sorry to those people i personally know. You guys cancelling your AZ vaccine for other choices are the worst. Like the worst.",""
"1439641468612845569","Fully vaccinated Chris Rock gets COVID-19. Says get vaccinated.",""
"1395327595504447489","Help! I have a vaccine hesitant extended family member who has asked me for data on vaccines. What are the best articles that you have seen about efficacy, importance and safety of the vaccine? #COVID19 #VaccinesWork #GetVaccinated @VaxHuntersCan",""
"1443243638574784514","Ron Paul: There's Never Been A Successful Coronavirus Vaccine",""
"1381112633101742087","Ministers are planning to use vaccine passports as a short-term 'bridge to freedom' - which would include the return of capacity crowds for the start of the Premier League season in August.[Mail]",""
"1396121869829410824","¡Cuando nos vacunamos, nos protegemos a nosotros mismos y a quienes nos rodean! 💉

Aprovecha hoy sábado 22 de mayo aplicación de primera dosis vacuna del laboratorio Pfizer para mayores de 60 años en La E.S.E Hospital Nuestra Señora del Carmen-FUNDASER.",""
