"id","text","label"
"1394249212464930818","NEW: ""DPH Mobile Vax Clinic"" / Osborne Neighborhood Church on 05-18
Total Appointments at Location: 3
Age Group: 12+

Address: 13501 Osborne Street, Arleta, CA 91331
Posted @ 1621249891",""
"1415972077614608387","Officially fully vaxxed yesterday &amp; I couldn’t be happier 🥳 
#COVIDVaccination #vaccinated",""
"1377702199485210625","COVID Vaccine Side Effects: Why Do Some Get Them and What Does it Mean?",""
"1395627491595755520","Everyone here is talking about butter while i am dying from the side effects of moderna AGAIN ✌️",""
"1389073985040699392","COVID-19 Vaccination appointments available at CVS near WEST CHESTER, PA. Sign up at  2021/05/03 04:27:00",""
"1437082181847953420","3 of 5                                                       Your GP surgery is the safest place to have your vaccine with your GP on-site in case of any adverse reaction, and funds we receive for administering the vaccine are fed back into the surgery to improve services……..",""
"1415971295204839426","Opinion: If college football players skip vaccine and COVID wrecks their season, it's their own damn fault #SmartNews I can’t wait for high school football in Texas, the Republican moms and dads deserve it. LOL bring on Delta. LOL dumb Republicans.",""
"1394243161564672003","Avoid The Rumors Only, Not From The Vaccine. So Go &amp; Get Your Vaccine #Covisheild #FirstDose
🙏म्हारो तो ओ ही केणु है🙏
अफवाह सु बचणु है वैक्सीन सु नहीं
आदरणीय प्रधानमंत्री श्री @narendramodi जी और मुख्यमंत्री श्री @ashokgehlot51
जी को धन्यवाद
#लड़ेंगे_जीतेंगे 🇮🇳 @DrKumarVishwas",""
"1425511297349791747","Call for mandatory vaccination for third-level students  via @rte",""
"1378272239687065610","PETITION: No to mandatory vaccination for the coronavirus | LifePetitions",""
"1430259179688632320","#ICYMI ""The biggest problem is they are not willing to listen to Pacific voices.""

The government-designed vaccination rollout has not mobilised our Pacific communities to respond safely and effectively, the Pacific Leadership Forum said.",""
"1432353547304144897","idk why colleges with mask mandates or vaccine mandates or both are shutting down dining halls and locking students on campus",""
"1394355041750773760","Of course Target allows fully vaccinated folk to go maskless and I just bought new ones 😭 (still gonna wear them around guests cause idahoans be crusty)",""
"1396051746540109825","Yaa to vaccine lagane k days increas kie jaye, vaccine dose increase ki jaye.
Yaa 5g network lagwaya jaye aur 5g mobile phobe b die jaye.. taki fast connection s book kare.

3 sec m all booked !! ??

@DcKangra @BJP4Himachal",""
"1379530109921677317","Can't wait for bars to open back up when ""which vaccine did you get?"" is the new ""so where are you from?""",""
"1407618550156701696","@PutneyFleur I have emailed you about home quarantine for fully vaccinated red list arrivals and to see this today makes me upset - how is this fair?",""
"1436330092024717315","2 not RT aterkel: Florida Gov. Ron DeSantis totally fine with vaccine mandates and dress codes — just not for COVID shots or masks",""
"1417165594412130304","@nadhimzahawi  Mr Zahawi, was born with Hemiplegia. We were starved of oxygen at birth and a bleed on brain developed followed by a stroke hence we have a 33% brain injury and left sided cerebral palsy.  Not had the vaccine don't want it in fear of having another bleed or stroke?",""
"1418700743566057480","Fox News has profited from vaccine makers while pushing 'dangerous' anti-vaxxer lies: report",""
"1415991287510040576","Every State should *Accelerate"" the Vaccination drive, as the target is set to vaccinate the every citizen of 🇮🇳 is by the end of this year.

Mission Vaccination✌️",""
"1419568001230245889","Only modest differences in effectiveness between Pfizer and Astra #covidvacccine  with the delta variant as compared with the alpha variant after 2 doses

Differences after 1 dose

Evidence supports efforts to fully vaccinate individuals 

@fascinatorfun",""
"1378247433331879939","As the Dumbarton &amp; West Scotland candidate for @ScoLibertarian, I will fully oppose mandatory vaccination laws and mandatory face mask/visor laws as well as oppose vaccine passports.",""
"1431080189052739584","Also: $86K stolen in elder scam: PD / Teen takes gold in Tokyo / Vaccine mandate protests / Dog fun / Dentist traded illegal RX for sex: PD",""
"1429569072509988866","#PODover/#POCalais: A negative PCR or antigen test result (taken within 24h before travel) is needed to enter France if you are not fully vaccinated. Rules on further testing and isolation differ depending on your vaccination status. For more info, visit:",""
"1432777251699965955","I do find it difficult to understand members who refuse to get vaccinated when myriad sources that we are taught to trust encourage it. The church leadership is not divided on this issue, the medical and research communities are not divided on this issue.",""
"1408973472055762944","Check tarikh dapat Vaccine kat My Sejahtera mcm duk track parcel kat shopee hari hari hm",""
"1447411119534981125","If you're a health care or support worker, or receive support from them, Gov't announcement on mandatory vaccinations may affect you.  Workers need to get their 1st vaccination by 30 Oct &amp; be fully vaccinated by 1 Dec. HT @minhealthnz @covid19nz",""
"1426283668708990976","CDC advisory board unanimously backs third dose of Pfizer, Moderna vaccine for immunocompromised patients  by @shoshanadubnow $PFE $MRNA",""
"1373118880848125958","@narendramodi @narendramodi @Dev_Fadnavis @AmitShah IDEAS to Stop 3 rd Wave of Corona in MH -KKV1 Min 7 Days Home Quarantine Mandatory after 2 nd Dose of Vaccine .Break the chain Monitor statistically and we can prove Effectiveness Vasekar B Tech IITB",""
"1430924232410624004","How to promote vaccine hesitancy:

Lockdowns
mask mandates
vax mandates 
social separation
shaming

basically being a democrat.",""
"1423643321453350915","@visitmaldives hi, I'm planning to Visit Maldives for 3 Nights on 12th August 2021 with my wife, can I Travel with RT-PCR test because Me &amp; my Wife is not fully Vaccinated yet.
I'm from India &amp; Traveling from New Delhi.",""
"1386392965531148289","Now that we are all mostly vaccinated, I'm waiting for the government to send out a mass text with ""execute order 66"" and it activates the vaccine and we all start killing the jedi",""
"1384959454202978309","The Trump admin awarded a firm $1.3 billion to make Covid vaccine syringes. Where are the syringes?  via @Yahoo",""
"1432644863154167808","Fairfax County Schools to Require COVID Vaccine for High School Athletes",""
"1380695044181614593","Just because you got the covid vaccine does not mean you can go door to door asking your neighbors if they'd like to look like this",""
"1443017795013337088","i1 RT mintynkks: everyone who attends ptd in la im begging pls get vaccinated and take the most precautions im not about to see bts get slamm…",""
"1415972073210589185","Don’t forget to maintain safety at vaccination sites- #WearAMask #SanitiseHands Avoid close contacts! 

And even after you are vaccinated- remain vigilant- it takes time to build up immunity. 

#VaccineRollOutSA",""
"1386759404729602050","Sanofi Partners With Moderna to Answer Global Demand for COVID-19 Vaccines | BioSpace",""
"1411017541527519232","@nhsrcofficial Overseas Pakistani’s have been neglected by this Pathetic Government. Most of us are waiting to get Vaccines which are approved in Europe like Pfizer or Moderna but each time we go to a vaccination center they send us back.",""
"1392510171176488963","It’s taken this long for @nytimes to report on inability to access vaccine because that would involve writing about inequity.",""
"1407624729704476678","❗❗Nottingham and Nottinghamshire's Big Vax-The-Nation Weekend starts on Friday
 
💉You don’t need to book, just visit one of our vaccination clinics if you're 18+ and #GrabAJab
 
⬇️More info:",""
"1413287051789733888","Missouri governor doesn't want door-to-door vaccine help  v @Yahoo GOP working to kill Americans. Almost a year and a half into the worst health crisis in a hundred years and the under educated fools have no clue how to help stop the spread or don't want to",""
"1410534223530893318","1st covid vaccine ✅

If anyone wants some good 5G signal, give us a buzz",""
"1382182840427679744","Jen Psaki Stereotypes White People Detailing Efforts To Get ‘White Conservative Communities’ Vaccinated",""
"1385624270483738629","Way to go Trudeau. Most Astra Zeneca vaccines are coming from a US plant with world leading QUALITY ISSUES. Now India is not sending us vaccines. Moderna are delivering less than half  Liberals boast about.",""
"1398515229626036229","Congress means service.

Today Congress has launched COVID Sevak campaign to help people get vaccinated.

We will register Indians aged 18-44, help to find slot for vaccine and ensure vaccination for that those are technically handicap.
#CongressCOVIDSevak",""
"1429557604511010827","Brasil recebe dois lotes da vacina da Pfizer neste domingo",""
"1440812779779158016","PETITION: No to mandatory vaccination for the coronavirus | LifePetitions",""
"1388501478474719239","Took a sick day for the first time in forever. 2nd dose of vaccine is really kicking my booty 🤕",""
"1373714434254852099","Second Pfizer dose down (I teach in person). What a fantastic operation the NY Department of Health and the military are running at the NY state fairgrounds. In and out in 5 mins. Feeling grateful for our amazing scientists and hopeful about a beautiful and quasi-normal Fall.",""
"1413214020698509314","163 children “accidentally” injected with the experimental Covid vaccine in Australia, minister says “so what, move on”! Wtf.",""
"1387458461940830225","Anyone with autoimmune get the vaccine and have a flare up? I’m really worried about that. #vaccination #Pfizer",""
"1448000900006662146","How does issuing a mandatory vaccination regime prevents those who wants the vaccine from taking it.
So why must we wait for all who want to get vaccinated get vaccinated.",""
"1442306564052828173","Thailand's vaccine stockpile to top 125 million this year.",""
"1395311738434867200","via Romblon News: Duterte orders non-disclosure of Covid-19 vaccine brands",""
"1400047080752652288","Corona Vaccine: Delhi वालों को कब लगेगा Sputnik V का टीका? सीएम केजरीवाल ने दिया ये जवाब  via @zeenews",""
"1379907205424541697","#ICYMI: Gov. Little bans vaccine passports and mandatory vaccination in Idaho for governmental entities.",""
"1429335643562430466","Mattel creates Barbie doll of scientist who designed Oxford coronavirus vaccine  via @FRANCE24",""
"1373837403207593985","@dumpland wore your “Together” shirt to my first vaccine shot today. It was a good thing to get in the mail last year.",""
"1378915663306194944","For those who are wanting to get vaccinated there’s been more openings for appointments. Don’t let Rona catch ya slipping",""
"1421047395970809860","Ada 7 ekor. Semua hitam kecuali 1 ekor ada putih. 

Pekerja klinik nak vaccine ni cakap “kucing je boleh masuk” 

Aku cakap “Ok, jangan salah cucuk dua kali, jangan salah berat badan, jangan ada yang tak cucuk vaccine sebab next two weeks Saya nak sunatkan semua”.",""
"1382846332759638017","people who aren’t in the medical industry or 80+ years old getting the vaccine and posting it on social media 🙄 we know you can do anything in this country if you know people but like what’s the need of posting it you know it’s wrong no one is going to applaud you",""
"1419701407217688589","A group of nearly 60 major medical organizations, including the American Medical Association and the American Nurses Association, called on Monday for mandatory vaccination of health care workers.",""
