"id","text","label"
"1417158162281648134","had to listen to my anti vax coworker talk to an anti vax friend of theirs ama",""
"1435815229955481600","A vaccine requirement for state employees will be extended to all executive branch employees as of Sept. 15 while the Vermont Health Department continues to track COVID-19 cases and outbreaks including one that originated at a Plainfield wedding abo…",""
"1417670185050251264","Yong tao dito hk dami pa pakulo govt  para lng magpa vaccine pero sa pnas nagkakandarapa na sila makakuha vaccine hello madam car/rie baka pwede mo nlng donate vaccine 😸 flats na worth almost 11m hkd na papremyo nla sa raffle mern pa voucher sa wechat tng alipay kong ano pa",""
"1435811961082507266","[Fue Noticia]  Argentina recibió el primer cargamento de vacunas Pfizer",""
"1372569597547704321","1 in 5 Californians have had at least one vaccine shot.
1 in 10 have had both.

Our 7-day average in case numbers is back to where it was early June, before the first spike.

We are winning #COVID19",""
"1375880679288930307","When I was in high school turning 16 was all about getting your drivers license so you could go to parties. Now it’s all about getting your vaccine so you can go to parties.",""
"1400811091094085635","“Millions are taking immunosuppressive drugs that might weaken the effect of the vaccine. If their vaccinations did not work, they rely on the rest of us to get vaccinated.” #COVID19 #GetVaccinated",""
"1403129615900712965","$PFE - U.S. Suspends J&amp;J Covid-19 Vaccine Shipments as States Face a Surplus of Expiring Doses -- 4th Update",""
"1378247433331879939","As the Dumbarton &amp; West Scotland candidate for @ScoLibertarian, I will fully oppose mandatory vaccination laws and mandatory face mask/visor laws as well as oppose vaccine passports.",""
"1384954227903062023","Is there a magical pharmacy in #ldnont that's actually booking appointments?  Do people on waitlists ever get called?  Are any pharmacies doing walk-up appointments (i know some in Toronto are).  If you've got a real lead on vax availability DM me.",""
"1386193488723726343","WARNING Explicit Language: Woman Drops Truth Bomb on COVID Lockdowns, Vaccines",""
"1421653376975077380","I somehow got an email from the office of @tedcruz vouching for no mask, no vaccine or no lockdowns?

Senator are you straight up retarded? You really want to put your voter base’s life in danger to win votes? You have no regard for human life? 

Stop being a selfish prick!",""
"1384497639148883970","PETITION: No to mandatory vaccination for the coronavirus",""
"1443009288864256000","when the vaccine mandate starts up where I live, I totally have the option to just quit my job and collect the disability I've been eligible for the entire time. I probably won't but fuck man, all the money I've paid in taxes goes to Juan Carlos and his 10 anchor-babies anyway",""
"1425478328744566789","US nursing home Covid-19 cases are rising much faster in states where fewer staff are vaccinated",""
