"id","text","label"
"1441234282991681545","State to begin scheduling Pfizer booster shots for older Vermonters on Friday  via @vtdigger",""
"1417965720382623746","Two doses of Pfizer, AstraZeneca shots effective against Delta variant, study finds",""
"1395651160011427840","Overheard in the vaccine queue:
‘My friend refused her vaccine because it was in a Friday and she didn’t want it to ruin her weekend.’

Um the pandemic has ruined the last 50 weekends but you do you, hun 🙄",""
"1433780081063759873","I feel like the amount of people who say they don’t want to get the vaccine bc they had a horrible reaction to vaccines in the past and almost died is too damn high………like are y’all some liars or what 🤔",""
"1388504274703839232","Sincere sympathies. Please send some sweets to London Mayfair and stop calling the poor guy.

‚Everything falls on my shoulders': Adar Poonawalla on vaccine pressure in India",""
"1406567739804766209","Are you aged 40 or over and want to get your Covid-19 vaccine? 
Have you had the first dose of the AstraZeneca vaccine but still need to get your second jab? 
If so, pop down to our vaccine clinics this week at the Peepul Centre in Leicester. 

Visit:",""
"1418062644293087234","Florida Gov. Ron DeSantis' Recommendation On The COVID-19 Vaccine Is Turning Heads #SmartNews",""
"1426279314023190528","The US is sending 500,000 Pfizer vaccines to Iraq (free of charge). Lets hope Iraqis rush to take them when they get there!",""
"1423649451248214016","Man I'm glad I got fully vaccinated but now my arm hurts so frigging much and I wish to draw but cannot bc said arm pain is less severe ONLY when I rest it a specific way pfffff",""
"1415978362527440902","Good morning Twitter family! I hope you have a great day! 2nd day post vaccination and I feel just fine! Anyone who worries about the 2nd vaccine, don’t, it’s a piece of cake! Blessed be!💜💜💜",""
"1431342293575815170","Love passing as a man now because when i meet an anti vaxxer I just badger them that they're scared of needles and ignore everything else they say. Like bro dude it up and give them shit for it. I already convinced 1 guy to get the vaccine this way.",""
"1439646498241892353","Guise, what size top loaders for vaccine cards? I had some big ones that I got in trades that I used for mine and my sister and my aunt saw it and wants them for her and her family lol.",""
"1417927672580149250","You're right. I would be there with my vaccine done, mask on, ready to follow act social distance measures necessary so I can participate in a public schedule I purchased a ticket to see that isn't invading the boys personal space or going against their own voiced wishes. 🥰",""
"1415991287510040576","Every State should *Accelerate"" the Vaccination drive, as the target is set to vaccinate the every citizen of 🇮🇳 is by the end of this year.

Mission Vaccination✌️",""
"1415978413731553280","I told my child’s father I wasn’t comfortable with him being around me  or my child if he’s not vaccinated. Now the anti vaxxer is getting vaccinated 🙏🏽😎 He know I do not play about my damn baby.",""
"1441229291132362759","this girl working at cvs asked me to put on a mask in a store, i told her im vaccinated and she said “oh not for covid, you’re just really fucking ugly” 😞",""
"1443241910454439939","Alberta teachers support mandatory vaccination policy for educational staff",""
"1392841479433900033","VEJA AO VIVO: Gerente-geral da Pfizer na América Latina depõe na CPI da Covid",""
"1397988593617022977","Sobre a vacinação no Brasil , primeiro rejeitou a proposta da Pfizer e hoje nós descobrimos sobre o butantan . 🤔

Seja o desgoverno federal ou o vírus , o Brasil tá lascado. 😐

#ForaBolsonaro ✊🏻",""
"1419562946389323777","I have a smallpox vaccine scar, because where and when I grew up, smallpox was still a threat. It’s not anymore, thanks to widespread mandatory vaccination.",""
"1382937617914753032","COVID-19: Nigeria has vaccinated over one million — NPHCDA -",""
"1397355504305729536","Covid vaccine Australia data tracker: how the rollout is progressing, tracking daily new coronavirus cases, stats and live data",""
"1382855548421349376","@ScottMorrisonMP knows he can't order mandatory vaccination so he doubling down on the scare factor and no international travel until everyone's vaccinated narrative",""
"1373711903537659913","EU documents show that vaccine passports and the whole current ‘vaccine’ agenda was being planned before ‘Covid’ conveniently struck (or rather didn’t)",""
"1386698235247534086","The only side effect I had from either Pfizer shot (I'm now 6 days out from the second dose) was a sore arm.
One of my friends had heard that if you had COVID your shot side effects might be awful. All 3 ppl in my house had COVID, no one had serious side effects from the shots.",""
"1449264711875248132","💉💉Excellent work NSW👏🏽👏🏽

Find out how restrictions will further ease on Monday for the fully vaccinated here:  

#Covid19nsw #innerwest",""
"1445068131781656576","#BREAKING | ""1.78 lakh doses of the #COVID vaccine were administered in Jammu and Kashmir today. It is the highest ever vaccination in Union territory,"" said the Office of Jammu and Kashmir Lieutenant Governor.",""
"1378247433331879939","As the Dumbarton &amp; West Scotland candidate for @ScoLibertarian, I will fully oppose mandatory vaccination laws and mandatory face mask/visor laws as well as oppose vaccine passports.",""
"1436458161351712768","Biden worker vaccine mandate gets mixed reviews from Las Vegas labor, business groups",""
"1415701147390644225","Shoppers Drug Mart Terra Losa in Edmonton has appts for Pfizer today and Sunday and they are also taking walk-ins anytime for Moderna. 780-443-5800 ext 33. #abvax",""
"1409711167438606337","MP Villagers Get Covid-19 Vaccine Jab After Chat With PM Modi


via NaMo App",""
"1414920306821640193","UPDATE: France rushes to get vaccinated after president's warning",""
"1387451991580987393","Today at Diversity Plaza in Jackson Heights 12:30PM-8PM, the #nycvaccinebus is administering free Moderna vaccines to those 18 &amp; older.

Bring photo ID. Staff will schedule your second dose.
English, Spanish, Mandarin, Cantonese, Nepali &amp; Bengali speakers will be there to assist.",""
"1386695393472172036","BREAKING NEWS : Davila Pharmacy to receive 500 first doses of the COVID-19 vaccine for eligible res...",""
"1374904416344678400","Hong Kong clinic punished for recommending Pfizer-BioNTech vaccine over China's Sinovac",""
"1450852778524348421","My son was exposed to covid yesterday by a co-worker and I hope he tests negative today. He’s fully vaccinated but his co-worker showed up really sick. I’m really worried about my son.",""
"1432774312705069061","@AntiVaxMomma Charged With Selling Fake Vaccine Cards",""
"1375057194136305666","Some of us are waiting for Pfizer vaccine sha 🌚😙because with all these side effects of AstraZeneca plus it’s least effectiveness,abeggg",""
"1395383013408714754","does it strike anyone else as weird, that we as a species are so obsessed with othering that we'll even cluster around differences as trivial as vaccine brands",""
"1398407178655092738","#HoustonMethodist @MethodistHosp has been my phenomenal health care provider since I moved to #Texas in 2019. Because of across the board, mandatory vaccination policy for their employees I may have rethink them as my provider.",""
"1443381634661863424","Ooh, the unvaxxed are triggered tonight! Lol
I got these messages for using the 😆emoji to their comment on a public page on Facebook.
The last cpl of days, all I’ve heard online is how the vaxxed are “so nasty”
RIIIGHT. WE’RE the nasty ones.🙄
#nasty
#vaccinated
#unvaccinated",""
"1423641842571268101","APA members Sean Valles and Leonard Fleck are quoted in this piece on the ethics of requiring the COVID-19 vaccine for children.",""
"1415247284581715971","is it the vaccine or the 3 hour sleep a while ago causing this drowsiness

we will never know",""
"1396749423288406017","💉 6 créneaux disponibles
📅 Demain à 10:10
🏥 Centre de vaccination Covid 19 du VAR - Vaccination Covid-19 - Fréjus (Pfizer-BioNTech,Moderna)
▶ 
📍 1196 Boulevard de la M",""
"1419231703655227395","In dystopian nightmare. @conservatives cabinet bodies snatched. Social credit system/digital currency on way, mandatory vaxx 4 carers, clubbers, footy fans, triple lock &amp; military neutered, mask wearing normal, immigration uncontrolled. #MakeItStop @GBNEWS #GBNews #EnoughIsEnough",""
"1396174617337864197","I am back. I just got my second Vaccine shot. 
I am amazed how happy I feel.
People there discussed how they going to celebrate w/ coffee. 
I decided to go for the first time since this Pandemic started for my favorite summer drink.
 
 Dunkin Donuts Iced Coffee FROZEN",""
"1422953842895843329","My dads vaccinated and tested positive for covid 😤 I haven’t been around him in days but mannn WTF",""
"1395392623670595589","Have you gotten your #COVID19vaccine yet?

Donate to our Get One, Give One campaign and you'll help us bring the vaccine to communities in Africa, including remote communities and internally displaced persons.

Give now!: 

#vaccinesforall #vaccineswork",""
"1383118080323239942","NAHC President @billdombi along with @AParekhBPC and @subailey have joined together to discuss strategies for improving #COVID19 vaccine acceptance. Access this on-demand webinar at 

(Thanks to @WellSkyHealth for sponsoring this event)",""
"1389489332357062659","FDA Set to Authorize Pfizer Vaccine for Adolescents by Early Next Week - The New York Times",""
"1441229085473079298","North Carolina Hospital Systems Suspends Nearly 400 Employees for Refusing to Get Covid Vaccine  via @gatewaypundit",""
"1414739008182226944","They are knocking on doors for vaccine verification now.

I'm told this is Florida, it was sent to me via whatsapp, so I cannot 100% verify that.",""
"1379530434531495938","4/6/21: President Biden asked us to wash hands, social distance, &amp; wear masks. April 19th every adult aged 18 or over can be vaccinated against COVID. 3/4 of seniors have been vaccinated. If needed they will be driven to get a shot. “This is America. We take care of each other.”",""
"1408663028963315712","I had to reschedule my COVID vaccine because I’m sick 😢 luckily they had additional appointments next week!",""
"1378261059539234817","Moderna variant vaccine begins trials; MLB opening day",""
"1378018507607134209","The CDC says those fully vaccinated agains COVID-19 can feel free to travel again. Just don't think you can throw the mask away just yet, though.",""
"1378252189643141120","Indonesia Ready to Become Southeast Asia Vaccine Hub",""
"1373717256409071616","People ACTUALLY vaccinated in UK

As of this week
Just over 2 million

Around 4% of adults!!!!

Anyone know why 2 million plus shielders still waiting as anytime soon time running out!!?
Hancock gone missing again from the facts and truth!?",""
"1443013187771719681","Epic: Italian Police Stand Down and Stand In Solidarity with Protesters
Italians are fed up with government’s vaccine passport initiative, Covid lockdowns and restrictions, and mandatory vaccinations.",""
"1401943230418202628","Την Πέμπτη 10/6 τη μέρα της απεργίας ΓΣΕΕ - ΑΔΕΔΥ ανοίγει η πλατφόρμα των ραντεβού για τους 25-29 ετών με τα 3 εμβόλια Pfizer, Moderna και Johnson",""
"1395396479515250694","#TheView - It is not complicated or confusing. If vaxxed, unmask (optional). If unvaxxed, continue masking or remain unmasked. The vaccine does not impact pregnancy. Even vaxxed can contract virus but chances of death or hospitalization are reduced.",""
"1395633194477793282","Himachal: Corona vaccine given to all people of 45+ in world’s highest settled villages",""
"1381600667740033031","¿Alguien más quiere recibir la vacuna de Moderna para ser un modenno?",""
"1436351072159760384","so i sakit sakit dah bape hari ni sebab side effect vaccine lepas 2weeks shsjshhs nyah tolongla harini last tak larat dahhhh ni",""
"1400803693507842053","The Guardian really has gone to shit.

How to dress for your vaccine appointment | Jess Cartner-Morley",""
"1400706473907339264","Prof. Vaccine researcher admits ‘big mistake,’ says S protein is dangerous ‘toxin’
‘Terrifying’ new research finds vaccine S protein unexpectedly in bloodstream: blood clots, heart and brain damage, 
and potential risks to nursing babies and fertility.",""
"1438859032878592006","An independent advisory panel for the FDA is meeting to consider a booster dose of Pfizer-BioNTech’s COVID-19 vaccine for Americans 16 and older.",""
"1430717888399245315","Extremely happy to be fully vaccinated finally, but my joints are killing me and I've been nauseous all day/last night 😪",""
"1405042457608278016","The problem with mandatory vaccination is the removal of human right in protecting one’s health and life, including the choice of vaccine to use.",""
"1373706683617144833","The wait is finally over... vaccinated completely 🎉 A big thank you to @sejal.patel.716970 and Shri Umiya Dham Hindu Temple. @ Umiya Dham Hindu Temple",""
"1408629625123655680","Resonance of Fate End of Eternity Fully Vaccinated Bishes",""
"1378272239687065610","PETITION: No to mandatory vaccination for the coronavirus | LifePetitions",""
"1448874330436235265","States surprised over NSW plan to drop quarantine for international travellers - The New South Wales government’s plan to scrap quarantine requirements for fully vaccinated international travellers from next month has ... -",""
"1389233283360243713","India to receive 220m Serum Covid-19 shots in coming months, in talks with Pfizer over vaccine approval",""
"1448864327167930373","I just saw someone on my tl say they’d turn down $30 million if he had to get the vaccine …… there’s so much stupid in this world",""
"1384957956786114560","Bethel Park woman paralyzed 12 hours after getting first dose of Pfizer vaccine, doctors searching for answers",""
"1428081320102662151","One thing we have to look forward to in a year or so is when the counties and areas with lots of people refusing to get vaccinated find their economies and communities irreparably ravaged by COVID and start blaming “Blue States” and “liberals” for “leaving them behind”",""
"1387462319257657352","The Transport Secretary has raised hopes of holidays abroad, saying that figures ""look good"" for foreign travel from England after May 17th.

He also talked about plans to use a form of the NHS app to prove passengers' covid testing and vaccine status.

@LisaMinot | @DaniTVNews",""
"1447420947913273344","GPNZ supports today's announcement on mandatory vaccination for primary care staff and will work with members to ensure compliance by Dec 1 #COVID19nz #CovidVaccine @NZDRSUV @CountryGPs @NZDoctor_news @RNZCGP",""
"1394257443211943944","Os locais de vacinação irão funcionar até às 16 horas e serão aplicadas imunizantes da Pfizer, AstraZeneca e CoronaVac

📲 Leia Agora no #OPOPULAR",""
"1445062473229426705","I already got my two shots of vaccine when they became available for low priority people.
I am still allowed to be against mandatory vaccination, right?",""
"1419785473606750210","Quebec offers 3rd dose of mRNA COVID vaccine to AstraZeneca recipients who want to travel | CBC News",""
"1431670414820855809","Ontario residents could learn about a new vaccine passport system early next week.",""
"1431355827944886278","Wee reminder that covid has never been over for disabled and immunocomprimised people. 
Get vaccinated and wear a fucking mask.",""
"1431529102192881673","Dear @mdczimbabwe . Your position on mandatory vaccination is not clear. 
People are being unfairly and illegally suspended from work, coerced to get vaccinated. 
Students are going to be denied access to exams and lectures. 
@nelsonchamisa @advocatemahere @Cde_Ostallos",""
"1374761040815271939","Once everyone is vaccinated a topic of conversation is going to be which one you got isn’t it?     

Ugh I’m already exhausted.",""
"1416807525014441986","En Historia de América moderna tenemos la opción de realizar un trabajo en lugar de un examen, y yo quería hacer algo sobre mi pueblo, así que lo comenté con mi profesor y me propuso investigar el molino mareal de allí (o al menos el único restaurado, que también es museo).",""
"1415972073210589185","Don’t forget to maintain safety at vaccination sites- #WearAMask #SanitiseHands Avoid close contacts! 

And even after you are vaccinated- remain vigilant- it takes time to build up immunity. 

#VaccineRollOutSA",""
"1382168013525413888","Minister, Zweli Mkhize announced last night that the rollout of the Johnson and Johnson vaccine in South Africa has been suspended following an advisory by American federal health agencies. Should we be concerned about the temporary halt of the J&amp;J vaccination program? #sabcnews",""
"1427026937021616129","When you tell everyone else not to get vaccinated and then you  score a ventilator. Because I guess God made ventilators  but not vaccine.  OK Junior.:
Cardinal Burke is placed on ventilator days after testing positive for COVID-19  via @RNS",""
"1373730518139875338","Virologist Geert Vanden Bossche has nothing against vaccines. In fact, he worked for Gavi, The Vaccine Alliance and Gates Foundation, but he says by vaccinating everyone with a vaccine that doesn’t prevent transmission, we are destroying...   #TheDefender",""
"1432762272489738243","Today we vaccinated 1.3 crore(so far) people. Which is almost 1% of total population 😍",""
"1417971710004015104","Baker Mayfield brings up great point about COVID vaccine",""
