"id","text","label"
"1409430293388304389","मैं पिछले कई दिनों से vaccine लगवाने का प्रयास कर रही हूँ हर बार slot नहीं मिलाता या vaccine hi nh hai. Registration April में हीं करवा लिया.
आज भी No vaccine.@narendramodi 
@myogiadityanath Plz Improve vaccination campaign.I am from Mughalsarai chandauli U.P
 #VaccinationDrive",""
"1432642855307259904","Study: Experts now worried as vaccinated people appear to be contracting coronavirus at a surprisingly high rate raising questions of current vaccines waning immunity and the strength of new mutated variants.",""
"1443010134133776384","League protocols state that teams must submit a list of players and staff who aren’t vaccinated to their league testing officer — or at least confirm that a franchise is “not aware” of a vaccine denier on its roster. #YahooSports #NBA",""
"1439276247465578498","FDA: Without this data we the medical establishment cannot confidently call out anti-Covid-vaccine activists who publicly claim the vaccines harm more than they save especially in the young and healthy.",""
"1432632660543803397","#thismorning Beverly you need to watch the old films of the Polio Vaccine.
Children were affected, children were tested on, in less time than these vaccines were tested.
Stop spouting crap, yur not qualified enough.",""
"1415991287510040576","Every State should *Accelerate"" the Vaccination drive, as the target is set to vaccinate the every citizen of 🇮🇳 is by the end of this year.

Mission Vaccination✌️",""
"1423219177154879490","I got fully vaccinated yesterday. And my boss told me I’m doing so well in my new job (soho sex shop) I don’t need a review. And I’ve been on anti depressant+anxiety+PSD+OCD meds for 7 weeks and it’s going working. This.. is... progress. Now.. to write a book outside of my head.",""
"1409684403098316822","@ScottMorrisonMP So instead of allowing younger Aussies access to the recommended vaccine you’re telling us to take a risk on the one that’s not meant for lower age groups?? Am I understanding that correctly?",""
"1409546055637680138","Vaccini, tornano gli open day (con Pfizer e Moderna)",""
"1389480733350129664","Not me finding out pfizer donates to homophobic legislators 🧍🏻‍♀️ my gay ass just got vaccinated with them😭",""
"1431353520846950407","I encourage you to tune into Deputy Mayor Brenda Haywood's radio show Saturday on 760 AM at 10 a.m. for a conversation with @MeharryMedical’s Dr. James Hildreth about pediatric covid-19 vaccine clinical trials.",""
"1394412077285052417","Coming up at 6: A four-year-old dies in hospital after he and his sister were struck in a driveway. The latest on the 16-year-old who was behind the wheel. Also tonight, Ontario expanding vaccine eligibility to 18+ as pressure mounts to open outdoor recreation.",""
"1405257038775652360","We have a new date for Cycles Cones, Coffee &amp; COPPS.  All participants must have a bike helmet.  The Johnson County Department of Health and Environment will providing COVID-19 vaccines to anyone age 12 and older? @JOCOHealth",""
"1416813224196853763","What’s the point of this? You are only considered vaccinated traveling to the Uk unless u were vaccinated in the UK??is this just to keep travelers paying for covid tests like why would you recognize US vaccination cards and EU?",""
"1437086843439235078","BREAKING: FOX News’ Chris Wallace bravely CALLS OUT Nebraska Trumper Governor Pete Ricketts for opposing Biden’s vaccine mandate while hypocritically  requiring all students to be vaccinated against “polio, tetanus, measles &amp; small pox.” RT TO THANK WALLACE FOR CALLING HIM OUT!",""
"1438367515432783875","Does your workplace need a mandatory vaccination policy? Get an update on vaccine passports across provinces and mandatory vaccination policies! Register here: #EmploymentandLabour #COVID19 #returntowork",""
"1402685901537382403","are people who don't get the Covid vaccine because of the possible severe side effects being selfish?",""
"1423255307367723008","DeSantis-promoted doc who said kids don't need to be vaccinated facing investigation from medical board #SmartNews",""
"1374126240320348162","What better way to celebrate getting vaccinated than with a delicious Krispy Kreme donut?",""
"1415321685339869186","Dr. Fauci Said Here's Who Should be Mandated to Get Vaccinated",""
