"id","text","label"
"1403129350631968768","COVID-19 Vaccination appointments available at CVS near BELLEVUE, PA. Sign up at  2021/06/10 23:18:00",""
"1405570378815180816","The State Government on Thursday directed all Departments and sub-ordinate offices to function with 50 per cent attendance from June 17 to June 30. Employees who have taken two doses of Covid vaccine 
#Odisha #ommcomnews",""
"1443254403323006983","Michigan boy dies in his sleep three days after getting vaccine  via @nypost",""
"1388397168256552963","Controversy in the UK over the possibility of mandatory vaccination for staff in health &amp; social care. From the @bmj_latest. 

Link here if you prefer it to the pictures:


#CovidVaccine
#COVID19",""
"1415972073210589185","Don’t forget to maintain safety at vaccination sites- #WearAMask #SanitiseHands Avoid close contacts! 

And even after you are vaccinated- remain vigilant- it takes time to build up immunity. 

#VaccineRollOutSA",""
"1372565731888467968","Unnu nuh tell me a tief dem ah tief vaccine inna Jamaica 😂 bad man strike again",""
"1384549638305374212","@fema @pfizer vaccine Van will be in the @CityofMeriden – April 24th and 25th, 2021- 9am to 5pm each day 13 Orange St. Meriden Ct
for those who live &amp; work in Meriden, 16 yrs of age &amp; older. Call Natalia Luna at 203-639-5060 ext 406 to schedule an appointment today.",""
"1423255203982229508","Positive Phase III results for Valneva’s chikungunya vaccine  #pharmanews #lifesciences",""
"1422095715023691776","Iranian students have been vaccinated and are ready to be quarantined, pass PCR tests and other preventive measures. Please let us back to our campuses.
#takeUsBackToChina
#giveuscleardate
@MFA_China
@SpokespersonCHN
@ambchanghua
@IraninChina
@keshavarzzadeh
@takeusbacktoCHN",""
"1386754594483539969","Shocked to know that healthcare workers are not getting vaccine even at govt centres if they are aged less than 45 years at Haryana. I was denied that I can’t be registered at govt centre even @anilvijminister",""
"1430722806560481280","Are there any insurance conpanies that are currently selling insurance for vax damages.

I.e. can one get insurance, to cover you in the event of disability?

Asking for reals.

They have some top shelf number crunchers, if the risk is really that low, they'll sell a product.",""
"1408942657980743684","COVID-19 Vaccination appointments available at CVS near ODENTON, MD. Sign up at  2021/06/27 00:18:01",""
"1443004613393739778","Fairfield Community Centre is open today for first and second dose Pfizer walk-ins until 4.30pm today. Let's #getthejabdone",""
"1379539409993879563","We're screening @BostonAAFilm starting TOMORROW! Grab your tickets, vaccinated friends, and #discovermorehistory together. We're so excited to be screening here!",""
"1378016915298209802","👉German experts say those under 60 should not get second AstraZeneca vaccine shot | Deccan Herald",""
"1401718288099409922","Day 2 of vaccine 2nd dose symptoms: still have a flu and still just lying down",""
"1384982527199223808","ACTU seeks clarity on vaccine plan for aged care, disability support workers | Mirage News",""
"1411283045148205059","El trasfondo político del DNU del Gobierno para abrir la puerta a las vacunas de Pfizer, Moderna y Johnson &amp; Johnson | Los tres objetivos del Presidente  a través de @Pagina12",""
"1405042457608278016","The problem with mandatory vaccination is the removal of human right in protecting one’s health and life, including the choice of vaccine to use.",""
"1408643796078796803","If only there was a vaccine that could stop the spread of COVID so we wouldn’t have to go into lockdown. #lockdown2021 #MorrisonFailure #sydneycovid",""
"1375810610299080706","I think the whole country is in denial about COVID. Cases are already going crazy and all we've opened so far is schools. Vaccine supplies drying up. Vast majority of old &amp; vulnerable only had one shot. Open season on everyone else. It's going to be a bloodbath.",""
"1431541567626547203","Two die in Japan after COVID-19 shots from suspended Moderna vaccines: Health ministry, Latest News",""
"1446087469913542657","Pfizer Asks F.D.A. to Authorize Its Covid-19 Vaccine for Children 5 to 11",""
"1374114282674212867","Can Employers Legally Mandate The COVID Vaccine To Return To Work?",""
"1388499648298455048","Daily number of fresh cases down, active cases almost steady, recovery rate, vaccine doses up in Gujarat  as per the latest daily bulletin of health department",""
"1445207763097841665","TINGNAN: Nitong Oktubre 3, 2021, naabot ng bansa ang pinakamataas na bilang ng naibakunang COVID-19 vaccine doses, ayon sa National COVID-19 Vaccination Dashboard. 

#workingPCOO
#WeRiseAsOne
#RESBAKUNA+",""
"1399202575036162054","Ayer fui a la Faena por primera vez,y aunque me recordó mis amados Equipales, no me gustó nada. 

No hay botana, puro güero tipo Íbero que se quiere sentir barrio y kucha moderna e inventada, de esas que te barren y se sienten divas. 

OEVA.",""
"1415976155824508928","I finally got my first dose of covid vaccine and I've fainted twice after that. 🥴",""
"1378247433331879939","As the Dumbarton &amp; West Scotland candidate for @ScoLibertarian, I will fully oppose mandatory vaccination laws and mandatory face mask/visor laws as well as oppose vaccine passports.",""
"1442294445827772421","This disgusting vaccine isn't a Covid-19 prevention, instead, is an experiment and a poison!
The Nuremberg Code 
#IWillNotComply  #MyBodyMyChoice #BidenMustGo",""
"1400796495926894595","Local state #govt are selling their vaccine that they getting from different sources to private hospitals &amp; making money. Same way private hospitals making huge money. God knows how it's helping common man with these money gambling games",""
"1439588029560147977","The head ppl that want the country open up is the same ppl that ain’t taking the vaccine 🤷🏽‍♂️",""
"1396559798813003777","the urge to ask people from school if they got vaccinated when i see them in public without a mask 😍😍😍",""
"1415978413731553280","I told my child’s father I wasn’t comfortable with him being around me  or my child if he’s not vaccinated. Now the anti vaxxer is getting vaccinated 🙏🏽😎 He know I do not play about my damn baby.",""
"1396133818554269700","When computer says no (tried online for 2 months), but you’re in the vaccination age groups, go to your nearest walk-in centre 😎 #vaccinated #NHSCOVIDVaccine",""
"1412219244356407299","A majority of Russian (54%) are still not ready to get vaccinated against the coronavirus despite a mounting surge driven by the highly contagious Delta variant, according to an independent poll published Monday",""
"1425367651015086082","You can get your #CovidVaccine at Pooles Park Primary School’s walk-in Pfizer vaccination clinic today and tomorrow between 9.30am to 6pm.

No booking needed. Everyone aged 18+ can get a jab. Second doses given 8 weeks after the 1st.

Find out more:",""
"1431779730643165187","Ontario businesses cautiously optimistic about vaccine passports -",""
"1398224629932646400","the didn’t have any pfizer vaccines left and wouldn’t give me the astra zeneca 😭",""
"1412315698240446465","Aged care worker refuses to get vaccine -  No vaccinations no work.  It’s not about you but the rest of us",""
"1414321542704500739","So do Olympic Athletes have to be vaccinated to compete at Olympics as Australian our Team got vaccinated before they flew to Tokyo!!  Just wondering if its compulsory for all teams!! #Tokyo2020",""
"1409757793855238144","COVID Vaccine HORROR STORIES: この人たちが語る、その反応
ザック・ハイルマン
2021年6月28日",""
"1400467426685374465","BOXER STAFF helping pensioners register for the #COVID19 vaccine while they were queueing for their Grants. Visit any of our stores and collect a flyer that has all the information so you can help anyone 60yrs/over register! Let's work together to save lives #IChooseVaccination",""
"1436213051817144324","18 months from ‘3 weeks to flatten the curve,’ to mandatory vaccination of many in society, and vaccine passports. 

If I were a doubter, I’d apologise to a ‘conspiracy theorist’ today whilst they still might consider talking to you.",""
"1393669824321146880","My 14yr old got his 1st dose of the vaccine today. Saw about 5 other kids in his age group there too",""
"1402689638091874307","* The Morning Brew * #TMB

No legislation for mandatory vaccination 

The Employers Consultative Association says conversation, consultation and education is necessary for employees to be vaccinated.

Watch it again...",""
"1396194839104942080","Emergency vaccines is for emergency sudden outbreaks. Being vaccinated is at your own risk. But in real if it gets for full use in short period, You sheeple listen. This is not the virus outbreak pandemic(plandemic).
#coronavirus #COVID19",""
