"id","text","label"
"1443365012861501440","'I'm sorry that I didn't get it': Cornwall, Ont. woman promotes COVID-19 vaccine after spending 24 days in ICU  via @ctvottawa",""
"1439291447849668611","Those Facing Vaccine Mandates in the Workplace This letter/legal notification was sent by a Police Constable  (a member of the Toronto Police Service) to her Chief of Police in response to mandatory vaccination and mandatory COVID testing requirements.",""
"1430248402416197641","How come the other mandatory vaccinations for children entering primary school wasn’t a problem but the Prime Minister considering making the Covid-19 vaccine mandatory for the well-being of the children suddenly bothering allyuh?
At least be consistent nah😣",""
"1373728401165541376","@LBC More lies on @LBC... The quietly spoken sister of Johnson @RachelSJohnson blaming Europe re vaccinations - the true issue is India @narendramodi said no more to UK for now. Johnson won't upset the cart needs India trade. @LiverpoolBrenda @Keir_Starmer speak out man speak out",""
"1421657035888861189","ok now i’m thinking about getting the vaccine this week",""
"1400711149507661824","bodola my mom registered for my dad to get the vaccine and MOH texted him in malay and he went “ni siape ni?” because he’s so used to getting text messages in English😭😭😭",""
"1420074521508433927","Covid-19: Irish vaccine programme to include 12-15-year-olds",""
"1412202637416611844","Did you know you can be against mandatory vaccinations without downplaying the effectiveness of the vaccine and still promote the vaccine?",""
"1396857140795658242","Join our next #CHWs webinar. ""CHW sharing thoughts and experiences on the vaccine role out” 
Thu 27 May 2021 1700hrs",""
"1398218495431634950","The Japanese government is considering supplying its own unused AZ vaccine to China and Taiwan, and South Korea is also supplying expiring AZ vaccine to Taiwan, are Japan and South Korea treating China and Taiwan like bins?",""
"1380700421656748038","Getting the vaccine felt like that scene in Divergent after the newbies pass their test and they give them all that robot tracker",""
"1417205614938247168","Am i the only one yg rasa side effect vaccine ni rasa dada sempit, hard to breathing? 😖",""
"1428300116998361089","The Oral Polio Vaccine should be taken 4 times. Nobody complained.

3rd dose of covid vaccine and people want to carry RPGs.

Some of you took all 3 doses of the Hep B vaccine.",""
"1443241165982142466","Today, 9/29 711,222 people have died in the U.S. from Covid. Whatever you THINK you know, it is real, the vaccine can save your life....or you can just play Russian Roulette.",""
"1415972077614608387","Officially fully vaxxed yesterday &amp; I couldn’t be happier 🥳 
#COVIDVaccination #vaccinated",""
"1431669268303663107","Large protests in Paris and many other cities in France against vaccine passports and mandatory vaccination.",""
"1430267907850874880","can you imagine these fake news losers like @News12NJ @njdotcom @Reuters @CNN @maddow @GovMurphy @NJGov @njassemblydems the vaccine is dangerous that's why they want to violate your 1st amendment to keep you from warning people.",""
"1444155708912676870","Improvements are coming to Old 41 near Kennesaw; The deadline for Wellstar employees to be vaccinated against Covid-19 has passed; And Marietta begins it's plans for Christmas.  #CobbCounty #Georgia #LocalNews      -            -            -       …",""
"1392918892964728839","The intention to get vaccinated is above 60% in all western EU states except for France and Austria. Nordic and Mediterranean countries have rates above 80%: Ireland, Denmark, Malta, Spain, Portugal, Sweden, Finland. A much lower rate in eastern countries",""
"1382177548197535750","Tucker Carlson: Two COVID vaccine questions that no one will answer",""
"1386761496684867593","COVID-19 Vaccination appointments available at CVS near NOTTINGHAM, MD. Sign up at  2021/04/26 19:18:00",""
"1392845813664079874","Thinking of blaming this morning's laziness on side effects of Pfizer #2, coming this afternoon.",""
"1417164831996608513","Vulnerable kids over 12 and those on cusp of 18 can now get Pfizer Covid jab",""
"1373127855391920128","We have failed miserably to see. the trebd of rising Covid cases in India.Speeding up inoculation to 1 cr / day covering all 18+ people is reqd.High concentration Covid zones need to be vaccinated with highest priority.Localised lockdowns are to be implemented immediately.",""
"1442527238050639884","Still find it baffling that we aren't allowed to show a negative test to get into events for folk that haven't been vaccinated but then again if it was up to her football would still be playing infront of reduced crowds",""
"1432272633920462860","i'm getting my 2nd vaccine dose tomorrow and istg if i get some dumbass side affects and can't go to school for another week",""
"1427991107326124042","@Shaun_Chen 

Are you for or against mandatory vaccinations and vaccine passports?

#COVID #Election2021 #ElectionsCanada",""
"1405626233434611719","If I win a million in the Illinois vaccinated lottery thing, I’d keep it anonymous. 

Pics of me on my new boat may give it away, tho.",""
"1403199561343115268","COVID-19 Vaccination appointments available at CVS near CHEVY CHASE, MD. Sign up at  2021/06/11 03:57:00",""
"1433333303826804736","a while ago I thought I had COVID and just the thought of having the virus in my could have brought me to tears but thankfully I have the vaccine and knew it most likely wouldn't have had a big impact on my body. I hope the enhypen members get well soon and have a safe recovery!",""
"1396124346800816137","Good morning #Malvern! Your morning read is awaiting in your mailboxes. Please give it a read. We dropped more than 150 flyers about the weekend vaccine clinics in Malvern!",""
"1375814587291942914","Out of the two-week period since my last vaccine shot....

Officially a fully vaccinated Moderna Mami ✨",""
"1433773871354859533","People keep asking journalists to report more responsibly about vaccines as if journalists can’t be anti-vax themselves",""
"1415991287510040576","Every State should *Accelerate"" the Vaccination drive, as the target is set to vaccinate the every citizen of 🇮🇳 is by the end of this year.

Mission Vaccination✌️",""
"1429442662839373829","Look at this shit. I’m vaccinated, wear a mask and practice social distancing but I’M the plague rat b/c the vaccinated can be asymptomatic carriers. This is the broken brain shit we’re up against.",""
"1379542411383349250","So if the vaccine doesn't give immunity/ stop you transmitting it . What's the point of a vaccine/ pass? So u can frequent a place giving people the false impression your safe to be around ? I won't be a lab rat for something that patently is not the definition of a vaccine",""
"1405933446862622729","We want to make sure everyone has an opportunity to get vaccinated. 💪If you can't get to one of our sites don't worry, our vaccination teams will come to your home🏡. Call 313-230-0505 to make an appointment. #LetsGetBack",""
"1430716779077136385","Kena fully vaccinated kalau nk masuk ikea. Tu pon after 14 days quarantine for 2nd dose",""
"1411055541892403203","Horrifying. Why are we doing this? Why are so many still silent?

13-Year-Old Dies in Sleep After Receiving Pfizer COVID Vaccine; CDC Investigating",""
"1377726807798087685","Due to some very specific stars aligning, I was able to schedule and get my first dose of the Pfizer vaccine today 💪",""
"1378905785669935107","the vaccine passport debate is funny to me bc australia literally already has a vaccine passport system in place so it doesn't matter either way for us.....",""
"1418582733584887811","i hope yall know that the covid vaccine is not a live vaccine so it’s literally safe on immunocompromised people",""
"1394997489573548043","RTE news : Pfizer to make Covid-19 vaccine component in Dublin",""
"1415993083565649922","The #COVID19 vaccines in the US were developed under #OperationWarpSpeed, an initiative championed by President Trump in 2020. Why does @morningmika and @Morning_Joe keep saying those who shun the vax are doing it because of Trump? It was @KamalaHarris who said don’t take it.",""
"1392844173888401413","@PMOIndia 

· 1h
Modi government has yet again proved there is no science behind period for second dose after first. It was four weeks, then 6-8 weeks and now 12-16 weeks, if the vaccine mess continues. Sadly, science has taken backseat in government's rationale",""
"1433766222768656397","Bangladeshi scientist honored for ‘passion to save lives,’ vaccine development",""
"1428162816649818115","Guild Hall says vaccine policy was ‘miscommunicated’ to Laura Osnes  #SM",""
"1446089226391629829","Ces enculés me foutent la rage j'ai la haine contre eux je n'supporte plus ces moutons vaccinés ki en redemande 3 ou 4 doses sans piger k'c'est juste pour faire gagner du fric à des labos kom pfizer et cie
Pour une maladie ki soignée avec des médocs normaux dure -de 15 jours
Fdp",""
"1400043857052585984","ho fatto la prima dose di Pfizer a stomaco vuoto e raga credetemi, mangiate qualcosina prima del vaccino perché se no fate come me e vi tocca stendervi in barella con la pressione bassissima..  😣",""
"1405339317753446404","Aku nak tengok apa ustaz ustaz dengan anti vax ni nak cakap pasal vaccine johnson &amp; johnson ni.",""
"1437060088422932482","Howard Stern says people who refuse to get a COVID-19 vaccine are 'idiots' and calls for mandatory vaccinations",""
"1445070749379743747","Il Riassunto delle Caratteristiche del Prodotto e il Foglio illustrativo del vaccino Pfizer sono stati aggiornati con la nuova durata di validità per il flaconcino congelato, che è stata estesa da 6 mesi a 9 mesi #Covid_19",""
"1413225760089853952","Para enfrentar a variante, que é considerada ""perigosa"" pela OMS, o governo estadual estuda diminuir o prazo entre a primeira e a segunda dose de vacinas da AstraZeneca e da Pfizer, que precisam de três meses entre uma dose e outra. #vacinas",""
"1382395303282700295","LILLEY: Trudeau's vaccine failure drawing global scrutiny  
And as it should!
#TrudeauMustGo",""
"1418077310494904328","Two doses of Pfizer, AstraZeneca shots effective against Delta variant: Study
Read More:",""
"1415978362527440902","Good morning Twitter family! I hope you have a great day! 2nd day post vaccination and I feel just fine! Anyone who worries about the 2nd vaccine, don’t, it’s a piece of cake! Blessed be!💜💜💜",""
"1400467483786727424","@AAHealth @MDHealthDept @StateMaryland @MDSenateGOP @GoVaxMD @umms @wbaltv11 @capgaznews @NPRHealth 
Got uterus? 
CoViD-19 post-vaccine menorrhagia, metrorrhagia or postmenopausal bleeding and potential risk of vaccine-induced thrombocytopenia in women",""
"1372538786123505664","Vì sao Canada vẫn tiếp tục dùng vaccine COVID-19 của AstraZeneca dù ngày càng nhiều nước tạm ngừng?",""
"1415972073210589185","Don’t forget to maintain safety at vaccination sites- #WearAMask #SanitiseHands Avoid close contacts! 

And even after you are vaccinated- remain vigilant- it takes time to build up immunity. 

#VaccineRollOutSA",""
"1393670045625106433","Right now, I'm wondering if the American anti-vaxxers will literally become a dying breed.  Will they slowly become the main victims, will they keep on dying while we vaccinated types are leading healthy lives, will they discover too late that if only they'd gotten vaccinate…",""
"1373461939796459520","I’m an Insecure Stock Photo of a Vaccine Vial, and This Is My Moment to Shine",""
"1438392099242659840","@GMB Still failing to address the real point about mandatory vaccinations for Care home workers
The vaccine doesn’t stop transmission and the viral load between a vaccinated and unvaccinated  person is the same. 
Are all residents being asked for their vaccination status?",""
"1438937821197307913","DeSantis Says Federal Vaccine Mandate For Nursing Homes Could Spur Staffing Problems",""
"1386754463059304449","Grenada's protocols for vaccinated travelers. How many more countries will follow this model? How will the vaccine information be confirmed? #preventfraud #grenada #vaccinatedtraveler",""
"1397362199702773763","Text from stepdaughter: It is concerning that you would rather risk dying or long covid effects than get a safe vaccine What's even sadder is the mentality. Screw everyone else, if I want to spread a deadly virus that's my right.  Basic humanity seems to have gone out the window.",""
"1396179858267443210","For people that are worried about COVID vaccine side effects, I am 48 hours past my first Pfizer shot and I feel completely fine. Only issue is that my arm muscle hurts when I touch it, but otherwise I can’t tell that I got a vaccine.",""
"1428166787816775684","Ebrard anuncia la llegada al país de 1.75 millones de dosis de vacuna Moderna -",""
"1384210940418166786","Given some to the invasive Qs on the vaccine consent form -- and signing that you'll be responsible for payment, if needed on a FREE vaccine -- tell me your predictions of how many will choose not to get the jab out of fear of TMI going to 3rd parties?",""
"1393389524173078545","Fyra dagar sedan första dosen Pfizer vaccin.

Fortfarande inga biverkningar.

Ha en trevlig helg!

Johnny Wicko",""
"1433352698846322688","Proposal: Over-sixties while don’t get vaccinated are banned from negatively gearing property or receiving cranking credits. Win-win!",""
"1378008003845185543","it’s so funny to me that ppl think mandatory vaccinations are new 😭😂 I got called into the office to be told if I didn’t have a vaccine, I couldn’t come to school IN 2017 LMAO",""
"1438227887140728833","West #Kelowna Warriors welcoming vaccinated fans back for 2021-22 season",""
"1383129020343066625","A study by Oxford isn't credible in this case. 
Blood clots as prevalent with Pfizer and Moderna vaccine as with AstraZeneca's: study  via @Yahoo",""
"1445061797422239744","There is not a single logical argument for vaccine passports other than they are the gateway drug to a full blown social credit system.",""
"1378278059581784064","NEW! Hang in there- Vaccine Edition #almostthere #hanginthere 💛🍫  @ Kilkenny, Ireland",""
"1395386891227340806","First Moderna jab yesterday. 

Side effects - a bit sore at the injection site and I'm little warm in the face.",""
"1379541946901823491","Watching Dan Tegan in @BreakfastNews ... his head must be spinning trying to explain that black is white on the EU vaccine debacle. What’s the real story?",""
"1384992822995025923","Didn’t wait for govt aid, borrowed money for vaccine production: Adar Poonawalla",""
"1381126558333640705","Very close friend came over for dinner tonight. He’s an EMT. 

He said the first thing they ask when responding to medical emergencies that aren’t trauma based is “have they received a COVID vaccine and when was the last dose”

I’ve grown up with this man

100% honesty and trust",""
"1375026798954737664","So today I need to go to my uni to pick up my new uniform because the one they gave me before was way too big and then I’m getting second dose of the vaccine 🥲",""
"1415971295204839426","Opinion: If college football players skip vaccine and COVID wrecks their season, it's their own damn fault #SmartNews I can’t wait for high school football in Texas, the Republican moms and dads deserve it. LOL bring on Delta. LOL dumb Republicans.",""
"1415978227479334913","i can't even show how happy and emotional i am i repeat it but i'm in the thing to get vaccinated idk how it's called but yeah",""
"1427994209072594950","#Sweden: 11.5M #COVID19 vax administered until 2021-08-17 (current rate: 48.4Kvax/day). At this pace, enough doses for 80% of the population will be administered on 2021-11-22, 90% on 2022-01-02 and 100% on 2022-02-13
#CovidVaccineRace",""
"1391677886734733316","@priyankac19 Since the GOI is not looking to buy vaccines from the approved providers worldwide, can your government buy it directly for Maharashtra-vaccinate everyone in Maharashtra and set an example for others to follow?",""
"1376209971491139584","#KrispyKreme's CEO defends its vaccine promotion, saying people 'don't have to' get free doughnuts if they don't want",""
"1425500344541401092","Ontario 11 Aug: 108 in ICU. Vax status known for only 13. 5 of the 13 were fully vaxed. Vax status unknown for the rest? Why would this not be a key bit of information on the patient's chart?",""
"1402692469943279617","The U.S. is unlikely to meet President Biden's target to have 70% of Americans at least partially vaccinated by July 4.",""
"1396129080005697548","@MamataOfficial দিদি দরকারে vaccine open market এ করে দিন।প্রচুর ৪৫+ মানুষ এখনো বাকি। BJP কিন্তু আপনাকে দোষটা দেবে। আমাদের pvt hospital গুলো vaccine কিনে vaccination শুরু করুক, দেরি হয়ে যাচ্ছে। @FirhadHakim",""
"1374754647555072004","50000 vaccine means 25000 doses. You want to send it back since not happy with pricing, wow! Please go ahead!",""
"1433329711774531585","Joint Statement from Moderna and Takeda on the Investigation of Suspended Lots of Moderna’s COVID-19 Vaccine in Japan
Osaka, Japan, September 1",""
"1395636997738307585","PETITION: No to mandatory vaccination for the coronavirus",""
"1450962276085911556","Inês Rafael Mendes, Aged 18 – Pfizer Death  Inês Rafael Mendes – Pfizer 2nd August 2021
Died five days after vaccination, aged just 18 years",""
"1386197965056843776","Most of the educated indian supported Biden, just because Trump was very close to Modi...now they are silent, when Biden is denying raw material for Vaccine to India",""
"1405797439471185922","All fully vaccinated players and staff can stop wearing masks in dugouts, bullpens and clubhouses under the latest change to Major League Baseball's coronavirus guidelines.",""
"1398202972471848967","Only 11.4% have been vaccinated with 1st dose &amp; only 3.1% have been fully vaccinated till 26th May, 21.

How many are still left? We all can imagine. Even with this ratio, the Modi government is risking the lives of students of class 12th NSUI demands #CancelExamsSaveLives",""
"1389190624595914752","""However, please be aware that you can potentially spread the virus to others. Vaccination does not completely shield you from becoming infected with the virus; it just lessens symptoms and severity of disease. """,""
"1381980694470086664","Selena Gomez and J.Lo headline vax concert for poor nations",""
"1373720631972364293","Just watched Mairead McGuinness/@McGuinnessEU interview with Andrew Marr/@AndrewMarr9, and i just don't trust a word she says. Let's be frank The EU rollout of vaccinations have been an absolute disaster, and a disgrace.  #COVID19Ireland #VaccineRollOutEU",""
