"id","text","label"
"1425353969056960512","@SyedSaddiq you are our only Hope to take this to Parliament...How can we let our young kids go to school when Parliament members also don't go to Parliament!! Kids are not vaccinated ! Our kids are the future of this Country we can't let this happen! PLS HEAR OUR PLEA",""
"1415972073210589185","Don’t forget to maintain safety at vaccination sites- #WearAMask #SanitiseHands Avoid close contacts! 

And even after you are vaccinated- remain vigilant- it takes time to build up immunity. 

#VaccineRollOutSA",""
"1403245939859636226","OVER 81,000 ISLANDERS NOW FULLY VACCINATED AGAINST COVID-19 -  #IsleofWight #iwnews #IOW",""
"1415726208894095367","Mississippi public-health officials are urging some vaccinated residents to begin wearing masks again and to avoid large crowds as the more contagious COVID-19 Delta variant spreads across the state.",""
"1379540375510089734","How Long Will COVID-19 Vaccine Protection Last? Here’s What Doctors Know So Far",""
"1405324764055576578","seeing all these stupid posts from anti-vaxers about the swine flu vaccine and narcolepsy and how we shouldn't get vaccinated because of that. like y'all. I have been living with narcolepsy for 10+ years and I'd much fucking rather have that than be straight-up dead you assholes",""
"1415714044590235652","Fights over COVID-19 vaccines are spilling over to other types of shots    via @Verge",""
"1430895464849690630","meu braço ainda ta doendo horrores ngm me avisou a pfizer ia tentar arrancar meu braço fora por dias",""
"1401954888192512006","@MailOnline hi, we are refusing the mandatory vaccination , our families suffer form the deadly effects from the vaxx .. and we don`t have the ability to refuse &lt; so please make our voice reach the world, we were banned even from going to markka for Pilgrimage,, and who ever say",""
"1445923120519462917","The state of CO wants Coloradans to self report on the state vaccine database with our vaccine data. This includes flu shots, etc. They send periodic email and text reminders. Or, just email your info and a govt employee will make the updates for you. Humph.",""
"1402704601560801280","Que eu consiga ser tão persistente na minha prática pessoal quanto foi a Pfizer tentando vender as vacinas pro Brasil",""
"1425486384450752514","California Gov. Gavin Newsom (D) is set to make the Golden State the 1st  state to issue a statewide vaccine mandate for school employees. Regular COVID testing is also under consideration, either as a supplement or an alternative to vaccination.",""
"1451937151835381763","On se vaccine contre quoi au juste? Taux de mortalité du variant delta:
0-9 anni: 0,00032%
10-19 anni: 0,00035%
20-29 anni: 0,00125%
30-39 anni: 0,00430%
40-49 anni: 0,01395%
50-59 anni: 0,05054%
60-69 anni: 0,18367%
70-79 anni: 0,55290%
80-89 anni: 1,43525%
Over 90: 3,10548%",""
"1443008890220662789","North Carolina hospital system fires 175 employees who have not gotten vaccinated - CBS News   #news #worldnews",""
"1423259169050726401","You want to watch the world burn? Tell your team that the covid vaccine is now mandatory",""
"1396107230500597764","Any of my NY peeps need two seats for Game 1 of the Knicks Hawks series tomorrow...hit me up. You need to be full vaccinated though.",""
"1438859735260827648","News-channel fishing for stories of unvaccinated dying from Covid-19 gets over 182,000 responses of Vaccine injuries and deaths instead… and the list is still growing – The Expose",""
"1384546724606185475","About passed out getting the first dose of the vaccine today. Had to lay on the ground and everything😂

Guess I know now that my body is NOT a fan of the Mark of the Beast.

Next dose should be pretty interesting! Stay tuned for updates",""
"1439590436536930313","Unvaccinated children can go to a restaurant but not this person.

""Don't they know you had an allergic reaction? That's not fair!""

FIRST PERSON | I'd like to tell you why I'm ineligible for a vaccine passport | CBC News  #discrimination #BCpoli",""
"1431366026483150852","I'll admit it, I got the vaccine last year (work in healthcare). I am against mandatory vaccination though, should be a personal choice just like any medical treatment.",""
"1405694755678347267","COVID-19 Vaccination appointments available at CVS near MASONTOWN, PA. Sign up at  2021/06/18 01:12:00",""
"1391421759442886657","If so, why force the population to get the vaccine? Isn't immunization the prime goal of a vaccine? What does this vaccine does then?",""
"1396544007933681664","i’m rlly getting my vaccine in the same banquet hall that my grade eight grad was held",""
"1433583542487945224","Been fully vaccinated for 6 months, never stopped wearing a mask. Haven’t been in a group of more than 4 ppl all of whom who have been fully vaxxed. Suddenly feeling tightness in my chest &amp; upper back &amp; very fatigued. Took my temp and I’m chilling at 100°. Covid test tomorrow.",""
"1400463659818643473","How to Register for Covid Vaccine in Maharashtra Online?",""
"1405042457608278016","The problem with mandatory vaccination is the removal of human right in protecting one’s health and life, including the choice of vaccine to use.",""
"1430253741404471313","LA county:
- Infection among NOT vaxx'ed ~5x higher than for FULLY vaxx'ed.
- Hospitalization rates among NOT vaxx'ed ~30x higher than for FULLY vaxx'ed.
- COVID vaxx won't prevent all infections, but are HIGHLY PROTECTIVE vs hospitalization &amp; death.",""
"1411028740621037568","The only bad thing about having two fully vaccinated teenagers is that we hardly see them at home anymore.",""
"1378940695654764544","Over 7.5 crore Covid-19 vaccine doses administered in India


via NaMo App",""
"1405346128216870912","Nao sei oq é mais sem graça o cara do video da pfizer ou a menina q é atendente de loja",""
"1431336547123531780","When someone you know on Facebook compares vaccine passports to the Holocaust and you’ve never unfriended someone so fast ✌🏼 #byefelicia",""
"1379139407853199362","New article: Mucosal priming with a recombinant influenza A virus-vectored vaccine elicits T-cell and antibody responses to HIV-1 in mice",""
"1385181200076075009","One Nation
Three vaccine prices😞 

This is New India",""
"1407611642154688515","Eddig 5,5 millió adag vakcinát szállított a Pfizer Magyarországra",""
"1389086095736930309","In a late night order on Sunday, the SC said the manner in which Centre’s current vaccine policy has been framed would prima facie result in a detriment to the right to public health, an integral part of Article 21 of Constitution and asked the Centre to revisit the policy.",""
"1389238316130832384","If I get one more damn phone call about me getting this vaccine lol 🙃",""
"1374911966678904832","How quickly can CSL produce the vaccine ???         EU saps Australian hopes for vaccine imports",""
"1398209966381617154","Several provinces are moving to reduce the wait between vaccine doses as debate heats up over mandatory vaccinations in the workplace.​",""
"1405338828563419139","If this is going to become an issue for entering the U.S., I’m going to blow a fuse. My assumed risk of blood clots is none your business. The vaccine WORKS.",""
"1396864613879369728","The Local Government Ministry has procured 800 doses of AstraZeneca COVID-19 vaccine for the T&amp;T Municipal Police Service.",""
"1391014029825511428","""EU says patent waiver idea misses point of vaccine shortage: In the wake of the United States backing calls to waive #patents on vaccine technology, French President Emmanuel Macron summarized the view from ...  #patentnews",""
"1439701142343147521","Honestly surprised Dems haven't claimed that illegal immigrants are subjected to a vax before being released/ferried elsewhere, thus making them better Americans than any citizen who doesn't want it.",""
"1436346153767870465","Honestly, it took too long to get this point where vaccine mandates are required.",""
"1373711776936775681","Gerarlt de Rivia y Sardinilla.

Terminado, espero que les guste 😁
La verdad que hacerle esta versión moderna me ha encantado y me he divertido muchísimo.

The Witcher.",""
"1416445716583563268","Another one of the “rare” COVID vaccine injuries of which we know have seen and heard of tens of thousands of times. And it’s still not the real number!",""
"1415991287510040576","Every State should *Accelerate"" the Vaccination drive, as the target is set to vaccinate the every citizen of 🇮🇳 is by the end of this year.

Mission Vaccination✌️",""
"1395398041960656897","@nrc 🦁💉😷A-vaccin, mRNA Moderna-&gt;Curacao en B-vaccin AZ in NL voor 60-64j... Discriminatie van bevolking binnen Koninkrijk NL  ?",""
"1431663900148260865","Instead of the vaccine the Tyrone boyos can just inject themselves with Spillane’s tears #GAA #kerryvtyrone #KERvTYR",""
"1378247433331879939","As the Dumbarton &amp; West Scotland candidate for @ScoLibertarian, I will fully oppose mandatory vaccination laws and mandatory face mask/visor laws as well as oppose vaccine passports.",""
"1391413951347445760","@CNNPolitics @TuckerCarlson  Who cares anymore if Republicans get vaccinated and wear masks! I hope they don’t! I, my family, and other smart folks ARE “vaxed” and safe around these fool. Maybe the fewer of them by their own folly the better i.e., Proverbs 12:1; 12:15; and 5:23.",""
"1424760193410387974","Join the call for Covid-vaccine patents to be temporarily lifted and the vaccine science shared, until everyone is protected. President Biden has now joined this call but the UK Government is blocking this request. Fight the inhumanity of our government.",""
"1398397644880424964","ppl against the vaccine are like “it’s the government trying to control us!! y’all are sheep!” and then go on and say “wow u got the vaccine? it’s not even FDA approved smh”

i hate to break it to u but the FDA is the government………what’s not clicking",""
"1409776503353577472","Over 43% of Gujarat’s population vaccinated at least with one jab – Immunization at full swing in BJP-ruled states",""
"1451922073509670918","Agenzia ANSA per pro vax 
Nuova formula della Pfizer per il vaccino SARS-CoV-2 approvato dall' AIFA dopo sperimentazione su Speranza: non più iniettivo ma con clistere e principio attivo diluito in 20litri di acqua bollente da introdurre in un unico bolo.
Speranza entusiasta!",""
"1389187995568328709","Facebook rolls out vaccine finder tool in India, donates $10 million -",""
"1377376158115721216","The vaccine pass is the forerunner of the rfid chip
#RFID #VaccinePassport",""
"1432646479294910472","Segunda dosis de vacunas Moderna y Pfizer será aplicada 84 días después",""
"1373170018012311555","Vaccini, Razza propone dosi di Moderna per l'entrata in azione del medici di famiglia  #Sicilia #Notizie #Tp24",""
