"id","text","label"
"1396060182233370625","CA: Vaccine appointments available at Walgreens LYNWOOD from May 24 to May 27.  Sign up here, zip code 90262:
 (as of 11:02 AM UTC) #vaccination #CovidVaccine",""
"1438115652443721729","The counties that voted for Trump still lag far behind in vaccinations — with 13% fewer vaccinated",""
"1450854065232097290","@Travistritt It does kind of make you a hypocrite to go on a show that has a vaccine mandate as others have pointed out. Why do you advocate for something that you obviously don't believe yourself???",""
"1446885114705690625","Adaptive and Aleterious  ""Mutation"" of our genetic host cells via Vaccines!!!! ""Booster"" vaccine is a Spike PROTIEN that alters virus. Convalescent patient Serum. Vaccines!!!! Immune System has now almost been weakened at its greatest percent after all vaccines administered.",""
"1396125854137081858","Very important slide in shared by Dr. Upton Allen in the webinar so far. Work for the Covid-19 vaccine began long before 2020 as the vaccine work done for the SARS-1 COV and MERS-COV from the early 2000s  provided the foundation for the vaccines now.",""
"1430892295117705220","macam vangang aku yg benak password terbalik hahahahaahaah ada la dalam 1hour3minutes kena disable haih mmg bodo la pastu vaccine 2.9 pulak dah hahaahhah tqsm mysejahtera",""
"1396009002538995717","Epitome of ethics &amp; humanvalues, #IndianArmy never fails to applaud d good work of aawam!
Lt Gen YK Joshi, Northern Army Commander @NorthernComd_IA visited 120 yr old Dholi Devi of village Gar Katiyas of Udhampur who got vaccinated &amp; inspired d entire village to get vaccinated!",""
"1374907270375481346","Covid vaccine used on apes at San Diego zoo trialled on mink - The Guardian: Experimental animal jabs could stop spillover back to humans, says firm behind vaccines for primates  #unitedkingdom #scotland #england",""
"1426286345350270976","Now more than ever, immunization rates are critical! Learn to create a plan that will address vaccine hesitancy and help you identify areas for improvement with our EQIPP course, Immunizations - Strategies for Success.  #NationalImmunizationAwarenessMonth",""
"1381111842286669824","Mfs be doing weed xans coke lean percs but a vaccine is where they draw the line😐",""
"1421275796145000450","Whether someone gets the vaccine or not is not your concern. You just have to worry about you!",""
"1395314876369629203","yes u r vaccinated tysm but u r still coming into a private establishment that still requires a mask",""
"1442940648554844161","Senator Tuberville asked Sec Austin, “Are you against dishonorable discharges from the military for not taking the vax?  You’re the leader of the DOD!” Austin: “ ... we have a UCMJ  that addresses all the issues ... Taking the vax is a requirement &amp; I’ll leave it at that!”",""
"1386186670840586245","What is the target for number of doses to be administered under Phase 2 for April,May,June,July and August ?

Will 9.4 million be vaccinated by August ?",""
"1382394454561153024","Being against mandatory vaccinations doesn’t mean you’re anti-vax. 

It just means you like your freedom and like having the choice to choose what you do. 

Many against mandatory vaccines will even get the vaccine and it’s their choice to.",""
"1378957332495937538","REMINDER: COVID Vaccine Eligibility In New Jersey Drops To Age 55-Plus And Others With Disabilities On Monday",""
"1395393587383128072","Reuters India: India's vaccine output likely to fall short of target, sources say.


(透過 @GoogleNews)",""
"1405031739991330824","This regime is most incompetent as economy is in big mess and even the vaccine they produced Covaxin was not even good on research standards as both WHO and US FDA rejected approval for emergency use, so they are only good at vendetta to be against #TwitterIndia or free voices.",""
"1392847456996519936","As per the Reports, also published in @the_hindu, increasing the gap between 2 doses of Oxford AstraZeneca  Vaccine, whose Indian version in manufactured by @SerumInstIndia with name #COVISHIELD will increase it's efficiency.
#COVID19
#LargestVaccineDrive",""
"1412680067973484550","MUST WATCH AND SHARE NOW!!! 

💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥 🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘👇🏻👇🏻

BREAKING DISCOVERY! The ACTUAL CONTENTS Inside Pfizer Vials EXPOSED!",""
"1441223829028671488","Kalau boleh ber me time sorang sorang kat restoran kan best. Tapi tu lah. Dah fully vaccinated pun takleh nak dine in.",""
"1391422384046055427","Odi! HellenJGill 
..... 
Der Mega-Impfstoffdeal zwischen der EU und den Covid-Impfstoffherstellern Biontech und Pfizer ist offenbar perfekt. Wie EU-Kommissionschefin Ursula von der Leyen am Samstag auf Twitter:",""
"1382173983789961216","The leader of Canada just explained on television that according to the science, the vaccine doesn't stop COVID"", adding, ""the shot cannot be simultaneously effective, but not restore peoples' lives to normal; that doesn't make sense?""
#cdpoli",""
"1419655498891239426","“Dozens of medical groups call for mandatory vaccinations of health workers” #COVID19 #vaccine",""
"1380676007246528512","Here's our #COVID19LongBeach update for 4/9:

➡️ 52,436 total positive results (38 new cases)
➡️ 38 currently hospitalized (5 decrease)
➡️ 920 fatalities (no increase)
➡️ 759,933 total tests conducted
➡️ 231,397 vaccines administered citywide
➡️ 35.4% of residents vaccinated",""
"1388867770809425928","Social centre vaccine queue all the way till igmh. @HPA_MV if you were competent once, second time you have to be the mother of incompetence dho.",""
"1436351422874984452","Covid-19 live updates: Republican governors threaten to sue over Biden’s sweeping vaccine mandates",""
"1375058423470043138","Fuck your vaccine passports ye cunts! Any Irish person that watches this video and doesn't think ""WTF is going on?"" - ye would want wake up and to open your eyes. Dopes upon dopes upon dopes running the show. Vexxing! Get sending them emails! 📨 #COVID19",""
"1435802136072241152","In NSW, life will open up for 70% fully vaccinated who will get access to hospitality and services and the other 30% will be free to roam around and get infected. Those that don't get sick or die will think Gladys is a miracle worker.",""
"1415233644327800834","💉 1 créneau disponible
📅 Aujourd'hui à 19:40
🏥 Centre de vaccination COVID-19 du Libournais (Pfizer-BioNTech)
▶ 
📍 14 Boulevard de Quinault, 33500 Libourne",""
"1419788806690164736","ppl deleted abolitionist out of their bios and decided punitive measures against vax skeptics is a good thing

yeah you aren’t getting marched by gunpoint to take the jab but who needs to do that? when you can just leverage ppl’s jobs against them",""
"1402692326749782020","So, my whole family is vaccinated and not a single one of us is “magnetized.” Did we do something wrong? That sounds like a really cool superpower.",""
"1378247433331879939","As the Dumbarton &amp; West Scotland candidate for @ScoLibertarian, I will fully oppose mandatory vaccination laws and mandatory face mask/visor laws as well as oppose vaccine passports.",""
"1402831628611702788","COVID-19 Vaccine Certificate to be Linked to Passport For International Travel. Check Details -",""
"1416871713208508416","All these people dying of COVID19 in the US. 
More than 612k thus far.😱 
I think we will easily hit 650k which was the estimated number of casualties for the Civil War by October 2021 thanx to GQP American Fascist Party vaccine refuseniks running amok in the country.😳",""
"1384818286056071168","Doctors and other Healthcare Workers who could not get vaccinated earlier are requested to get registered by following link immediately",""
"1439930787462320128","🔴 CBSN Minnesota's Morning Update: 
❇️ Pfizer says COVID vaccine works for 5- to 11-year-olds
❇️ We’re asking: Do you skip breakfast in the morning for more sleep?",""
"1411060394081210369","The F.D.A. clears a large batch of J.&amp;J. vaccine from the troubled Emergent plant.  😎💗📷🐯",""
"1420068202948739072","PM Justin Trudeau announced a new vaccine milestone today. Canada now has enough vaccines to fully immunize every eligible person in the country against COVID-19.

You can watch the full news conference here:",""
"1445917778268012545","COVID-19 in Indigenous communities: National Association of Friendship Centres launches vaccine campaign

#COVID #DELTA",""
"1432761464868196355","Nearly 4-in-5 in US Say They’ll Get Their COVID Shots as Vaccine Hesitancy Drops",""
"1381987206240288772","First post vaccine chest pump. Did they put growth serum in there? 👀",""
"1415978227479334913","i can't even show how happy and emotional i am i repeat it but i'm in the thing to get vaccinated idk how it's called but yeah",""
"1433354897139851272","""RT @SLRedCross: The SLRCS seeks to ensure that highly vulnerable households have access to the #COVID19 vaccine too. And with the support of the @USAIDSriLanka, our volunteers are being deployed to assist medical staff in mobile vaccination programs across SL

📸 Mullaitivu …",""
"1415972073210589185","Don’t forget to maintain safety at vaccination sites- #WearAMask #SanitiseHands Avoid close contacts! 

And even after you are vaccinated- remain vigilant- it takes time to build up immunity. 

#VaccineRollOutSA",""
"1433598618791866393","Will $pdsb Versamune and FarmaCrap covid Vaccine be produced here? No mention of Versamune 😠😢",""
"1398360699148062720","OHIO students/fac/staff: Get your COVID-19 vaccine!
✔️ Weds., June 2, 11 am - 1 pm
✔️ Walk-in clinic
✔️ Location: Vault Testing Center in the tennis ""bubble"" next to Ping
✔️ Choose from J&amp;J or Pfizer 
✔️ There is no cost for vaccines but bring your insurance card if you have one.",""
"1442943581518393346","Oregon governor, health officials detail Pfizer's COVID-19 vaccine booster rollout - KATU",""
"1438145601871491073","The 'Pandemic of the Unvaccinated' Is a Lie - Here's Proof. Shockingly, CDC Now Lists Vaccinated Deaths as Unvaxxed",""
"1374118702875050002","Tennessee to expand vaccine eligibility to all adults",""
"1385626402041466882","*Message as Received* 
Patient name: Srinivas Rao
O+Ve plasma Needed.
(Donor should be anyone recovered from Covid in last 1 to 6 months or got Vaccinated 30 days ago) 
Location: Apollo hospitals, Ramnagar , Visakhapatnam
Contact :7989951177
+91 88975 39343
@ArogyaAndhra",""
"1442243507066789890","3D-printed vaccine patch more effectivey, painless, study finds | CTV News , more details :",""
"1372540178435293192","LILLEY: Vaccine plans change again as provinces get word of delays",""
"1380683140809785345","This vaccine got me down bad. I been tired all day, finally took a nap from like 6:15-7, and woke up even more drained and w a headache 🥲",""
"1417929191232835585","Cts, altro che trasparenza. Nei verbali la verità sul vaccino AstraZeneca - Il Tempo",""
"1391418962152509443","Miami School Asks Staff Not to Take COVID Jab; Global Media Assault Follows; Pfizer Trial May Suppo...",""
