"id","text","label"
"1447986445831090181","A family took their kids to get flu shots. They say Walgreens mistakenly gave them adult doses of the COVID vaccine instead  via @YahooNews",""
"1401947349711265796","Heart Inflammation Reported In Seven U.S. Teens Following Pfizer Covid Vaccine, Study Shows",""
"1446869252376612866","A Cali doctor was escorted out of his UCLA office for refusing to get vaccinated. This anesthesiologist is vehemently against vaccine mandates and proclaims that he’s ""willing to lose everything"" to defend his position against mandatory vaccinations.",""
"1420073786112626688","Cuándo y por qué el Gobierno decidió dar marcha atrás en su pelea con Pfizer y negoció una compra millonaria -  Y...cuando llegaron a los 100.000 muertos. manga de criminales.",""
"1405042457608278016","The problem with mandatory vaccination is the removal of human right in protecting one’s health and life, including the choice of vaccine to use.",""
"1395618499611947009","FDA recommends not using syringes from Chinese firm after safety issues with vaccine injections",""
"1433771958852890628","Dr. Robert Malone on the collapsing consensus narrative that supports mandatory vaccinations and passports (40 min). The data-based truth just doesn't support such destructive measures. #cdnpoli @fordnation @YellowVestsCA @dockaurG",""
"1391414394567872520","Confirmed appointment in Cowin site for 2nd dose of Covaxin has mysteriously disappeared. Had heard 2nd dose will be given preference. In Thane 18+ are getting vaccine appointments. Where should the 2nd dose people go???? @OfficeofUT @drharshvardhan @DigiThane @CMOMaharashtra",""
"1414919619320717313","Booster dose of Covid vaccine could keep variants at bay: DAK",""
"1384831975907729417","Coronavirus: Tony Blair calls for UK to reveal how many vaccinated people catch Covid - Tony Blair #TonyBlair -",""
"1392520239460626440","Ron Johnson Complains He's Being 'Attacked' After Being Called Out for Saying He's Not Getting the Vaccine  via @mediaite",""
"1441833013906604032","India administers highest Covid Vaccine doses in September with 19 cr Jabs


via NaMo App",""
"1432767894333673480","CDC reveals 1 million people got COVID vaccine booster shots so far - Deseret News. Do NOT need doctor note in MA, but you sign to ATTEST to having one of CDC immune issues.",""
"1378015666037522436","UK regulator reports blood clots linked to Oxford/AstraZeneca vaccine",""
"1445056119957856262","📈 UK COVID Vaccine Stats for 3rd October

1️⃣ Total 1st vaccines received: 48,956,859 (72.12% of population)
 +24,123 since last Tweet

2️⃣ Total 2nd vaccines received: 44,992,044 (66.28% of population)
+21,532 since last Tweet

#COVID19 #VaccineStats",""
"1376231155532369927","Unless I am misunderstanding the facts, the covid vaccines do not at this time stop you from getting and spreading it. It WILL probably stop the vaccinated from getting a severe case which is life threatening and requires hospitalization. Vaccine passports are bullshit as of now.",""
"1379152617293631490","So for those of y’all that were coming at the people for calling out how they could create a COVID vaccine and not be able to create a HIV vaccine, understand that calling out the system works. Science is racist too!",""
"1425375882802343946","had the vaccine yesterday and it feels like i’ve been stabbed in the arm🙂",""
"1393665658626396166","Just got my vaccine @LaSalle_LDSB and so incredibly grateful.  Waiting in my car for the final check. Huge thank you to all of the volunteers here today @KFLAPH for making this happen.  They gave up their Saturday to help us!  #firstshotbaby",""
"1379910777994366976","How the hell is my auntie with the flip phone gonna carry around a digital vaccine passport?!",""
"1375874678573699075","😡😡😡
68-Year-Old Dies After Anaphylactic Reaction to COVID Vaccine as CDC Continues to Ignore Inquiry Into Increasing Number of Deaths

Latest VAERS data shows 2,050 deaths, 7,095 serious injuries and 44,606 adverse events after Covid jabs


#CovidVaccine",""
"1378247433331879939","As the Dumbarton &amp; West Scotland candidate for @ScoLibertarian, I will fully oppose mandatory vaccination laws and mandatory face mask/visor laws as well as oppose vaccine passports.",""
"1426673345878233090","@FernanQuirosBA siempre se habla de pfizer moderna Johnson nadie nos dice que pasa con los adultos mayores que tenemos colocada las dosis de sinopharm, Uruguay está dando una tercera dosis de pfizer a los que le dieron sinovac qué va a pasar con nosotros",""
