"id","text","label"
"1441827986022539270","@Kohls Just got yelled at in one of your stores for not wearing a mask. Vaccinated here. Also they were associates not wearing them sooooo",""
"1374752851088580611","Jumping through hoops today trying to get my husband a vaccine appointment 
🤦🏻‍♀️",""
"1419713922450477056","FINALLY.
Medical groups call for mandatory vaccination of U.S. health care workers.",""
"1448331367411027970","The legal recognition of the concept of mandatory vaccination originated from the understanding that it stopped the spreading disease burden, but this one doesn't as clearly evidenced by colleges who have 99% vaccinated and higher case positivity than their states.",""
"1400724039442763776","One-On-One With Gov. JB Pritzker: Reopening Unemployment Offices, A Vaccine Lottery, And The Governor's Future Political Plans",""
"1405042457608278016","The problem with mandatory vaccination is the removal of human right in protecting one’s health and life, including the choice of vaccine to use.",""
"1433776320048205824","E.U. and AstraZeneca Settle Lawsuit Over Vaccine Doses",""
"1403619917937659906","David Salisbury, former immunisation director, Dept for Health tells @SkyNews he expects need for booster jabs this year. 

“Immunity is not long lasting…  the vaccine was developed against the original Wuhan virus.”

Variants now “distant” from it and need to boost antibodies.",""
"1428061403416600583","Facebook removed more than 20 million posts for COVID-19 misinformation - 

Facebook says it’s doing more to combat COVID-19 vaccine misinformation.

                                       NewsATW",""
"1422988096073834505","@b_dechambeau """"I don't think taking the vaccine away from someone who needs it is a good thing...I don't want to take away that ability.""

Bryson, there's PLENTY of vaccine to go around at this point. Way to set a bad example.",""
"1406548078065328131","tomei a primeira dose da pfizer ontem e minha nossa, meu braço tá pedindo arrego de tão dolorido. mas estou feliz",""
"1392848539512885250","esse governo tá de sacanagem, os caras ofertaram 10 dólares por dose de vacina pfizer e a porra do governo recusou cara
1,5MI DE DOSES EM AGOSTO +100MI QUE ELE JA RECUSOU
 Pelo jeito as vidas não valem 50 reais",""
"1389238841933012993","Health Department expands #COVID19 vaccine eligibility to all residents 18+ in hot spot areas💉

Expanded eligibility also includes residents 50+ and individuals who cannot work from home - Group 1.

Read more in the @RegionofDurham's release:",""
"1450843038968844297","Cops quitting their jobs to avoid getting the vaccine really took that whole “defund the police” thing seriously",""
"1396551597572780032","Bonus boys first shot. Our entire household will be vaccinated by the end of June:)",""
"1409555732832215041","@askflydubai 
Sir, l have booked flight from india to dubai on 10 th july .I am fully vaccinated and have resident visa .can I travel on the same date?Any hopefull update?",""
"1450965732368465928","Coronavirus: 60.1% of those 12-17 are fully vaccinated in Orange County on Oct. 20",""
"1417675868286201867","A survey from ⁦@AmerMedicalAssn⁩ found 96% of physicians are fully vaccinated. Combined with support for mandatory vaccination among healthcare workers many doctors are  #leadingbyexample",""
"1387198736053452800","President Biden Announces Tax Credit to Help Workers Receive Paid Time Off to Be Vaccinated",""
"1438935718601150471","Dr. Ryan Cole Shares 20X Increase Of Cancers &amp; Autoimmune Diseases In Vaccinated Population - The True Defender !",""
"1418529407132700672","message for all the vaccinated people and unvaccinated people, they don't give a fuck about us, they want to play us against each other to make it easier for them.",""
"1442783805354516484","Unhappy with the way that your workplace is handling Covid-19 safety measures? Is your employer forcing you to have a vaccine before you return to the workplace?
Contact the Law Centre for advice on:
0800 707 6990
07781 482826
18001 01246 550674
#freeadvice
#workplace
#derbyshire",""
"1394989692085493760","StarTribune Would I lie about being vaccinated – 51621",""
"1384209699088715785","""Get the vaccine even though it doesn't work."" ""Wear a mask even though it doesn't work."" Perfect explanation of government. ""Keep paying us even though we don't work!""",""
"1438867534208450564","France suspends 3,000 healthcare workers because they have not been vaccinated against COVID-19, a day after mandatory vaccination for health-related sector employees was implemented.",""
"1381985547472797696","All NJ vaccination sites have been told to cancel or put on hold appointments for the Johnson &amp; Johnson vaccine until an investigation by federal health officials into a potentially dangerous — but ""extremely rare"" — blood clot side effect is completed.",""
"1375807859800219649","COVID Vaccines safe for those on blood thinners:
Anti-platelets like aspirin, the vaccine causes no problem but for those on anti-coagulants, the tendency to bleed is much higher. The anticoagulant can be stopped a day or two before administering the vaccine, ICMR said.",""
"1421275687537709059","Breakthrough Covid cases are on the rise among the vaccinated - NBC News: * Breakthrough Covid cases are on the rise among the vaccinated  NBC News * Missouri doctor: People getting vaccine in disguise to avoid judgment  Business Insider * U.S.…",""
"1396066979413438467","No es serio. Cambian las condiciones a conveniencia. Como el periodo ente las dos inoculaciones. 

La vacuna de Pfizer que tenía que estar a -70°C... ya puede conservarse un mes en la nevera: ¿Seguís sin ver que os toman el pelo? |",""
"1381589577765376002","Vaccination on wheels: on the road with a vaccine clinic.",""
"1375866846235262983","i was scheduled to get my first vax next week and it just got cancelled, i am GROMPY",""
"1415386527824334852","Many years ago, I promised I wasn't going to let more than a year go by between visiting my family n friends... #COVID u sux 😭

It's been 2+ years since my last visit. Missing my family and friends most with my heart tight hoping they are all safe and hopefully all vax soon💔",""
"1394421156506075137","Six vaccinated in South Australia, eight in Tasmania - what a debacle.  #auspol",""
"1443251534632865795","Slovenia suspends vaccine after 1 (one) vaccine related death. 
That's what Australia would usually do too. 

So now we're shitter than Slovenia.......",""
"1418581219785203715","Yahoo News
After Hannity's viral plea to 'take COVID seriously,' Tucker Carlson continues to promote vaccine skepticism
Dylan Stableford and Christopher Wilson
Wed, July 21, 2021, 1:33 PM",""
"1400054700443987971","acha hai vaccines arms pe laga rahe hai piche nahi...😂😂😂😂😂
#vaccinate 
samaj rahe hona 😂",""
"1402675243580198912","Good news for all the old guys at the beach with metal detectors just get the vaccine and *apparently* you’ll BE magnetic. Hands free/Huge time saver",""
"1426273821124792326","Fully Vaccinated hospital beds vs. NOT Fully Vaccinated. Get your vaccination.",""
"1387454529583697922","god i wish i was part of vaccinated tl but alas i am the victim of medical negligence",""
"1447418748407881732","@HealthZA thanks for the SMS with link to digital vax certificate. But it's broken on my Android - numbers type backwards, can't edit, pasting produces gobbledygook - and on my laptop your system tells me my details are wrong (same details you sent in SMS).

😒",""
"1415972077614608387","Officially fully vaxxed yesterday &amp; I couldn’t be happier 🥳 
#COVIDVaccination #vaccinated",""
"1391024894096416768","Any university that doesn’t require students living in dorms to be vaccinated needs to allow freshman to live off campus. No one should be forced to live with unvaccinated people.",""
"1405933474838614017","Getting vaccinated is the best way to protect yourself &amp; your family from getting COVID-19. It’s free, it’s tested, &amp; it works. Join the over 2 million Missourians who have gotten theirs. Learn more at  &amp; sign up for yours today at",""
