"id","text","label"
"1394346855090114560","Biden to ship 20 million MORE vaccine doses abroad in next six weeks  @MailOnline",""
"1436205022086373376","Biden’s Vaccine Mandates MUST Be Opposed Through Every Legal Means Available: The true existential threat to America was unveiled today. - ...",""
"1386189707231436808","If covid vaccine certificate is having modi photo then death certificate of covid patients should also have modi photo

@KTRTRS
@TelanganaCMO
@RaoKavitha

#modi_photo_on_covid_death_certificate",""
"1425481288602038278","The CDC reports that. People who are vaccinated can still spread it and still catch the delta variant.",""
"1443005084502212608","Fox's vaccine criticism focuses attention on its own policy:( spoiler alert: hypocrisy)",""
"1417935880203997185","PETITION: No to mandatory vaccination for the coronavirus",""
"1384837757999136769","#VIVALAPEPA ➡️El contrato con la Comisión Europea exime a Pfizer de responsabilidades",""
"1439935721847017485","""On Monday, the advocacy group @HealthGAP will stage a demonstration near the U.N. headquarters in New York calling on Mr. Biden to “end vaccine apartheid.” 

Join us today:",""
"1437085431544393731","Howard Stern says people who refuse to get a COVID-19 vaccine are 'idiots' and calls for mandatory vaccinations  via @Yahoo",""
"1379918422448873480","Just got to rite aid and they told me they're all out of vaccine but it's okay they're just going to inject me with gamer girl pee",""
"1405025018598334465","got my first dose of vaccine just rn and um not showing any side effect as of yet. i hope it stays this way🙏🏼",""
"1408623058940837897","Authorities reaffirmed their readiness to reopen Phuket to vaccinated foreign tourists on 1st July, as Deputy Prime Minister Supattanapong Punmeechaow and three other cabinet ministers arrived for an inspection  #ThaiNewsReports #Thailand",""
"1396064279737024515","Pfizer, Moderna vs. Variants First Found in India  
Should remain Highly Effective vs. B.1.617 or B.1.618
New research carried out by US scientists. 
Real World Testing NOT yet started",""
"1391651549441667072","States to Receive Over 9 Lakh Fresh Vaccine Doses Within Next 3 Days: Centre",""
"1450951689830387715","Parliament imposes mandatory vaccination rule on most MPs | CBC News",""
"1377380263085281280","STUDENTS, it's:

             12
      11    ^     1
  10        |         2
9           ⊙————&gt;  your turn!
   8                   4 
       7          5        
             6

Sign up today to get your COVID-19 vaccine through UK Healthcare right here:",""
"1451940124493713408","There is no suggestion that a new update of the vaccine will be needed to protect against any of the existing variants of the pandemic virus.",""
"1391007873031819264","EU skeptical on vaccine waiver, but ready to discuss proposal",""
"1405042457608278016","The problem with mandatory vaccination is the removal of human right in protecting one’s health and life, including the choice of vaccine to use.",""
"1392517253350916097","Finally vaccinated ✅
Feeling good, but still don’t understand why the rectal thermometer was needed 🤔",""
"1415971295204839426","Opinion: If college football players skip vaccine and COVID wrecks their season, it's their own damn fault #SmartNews I can’t wait for high school football in Texas, the Republican moms and dads deserve it. LOL bring on Delta. LOL dumb Republicans.",""
"1414925426317840387","Least Vaccinated U.S. Counties Have Something in Common: Trump Voters",""
"1425365966322556929","What Would Our Economy Look Like In The Shadow Of Vaccine Passports?",""
"1417205852675747843","Federal Judge Affirms Indiana University’s Student Vaccine Requirement",""
"1402690748416466949","Why doesn't Cuomo want ppl to know about other cures that have been suppressed and doctors coming forward? Why would he delete his tweet where I posted interviews in replies w/ real doctors? Doesn't he want ppl to have all info available? Including risk vax might be for kids? 🤔",""
"1431080139899772936","New union Agreement with Lori Lightfoot,  All officers will be vaccinated but the mayor will no longer be able to say officers are killing innocent people. Ever. #armyourselves",""
"1415972077614608387","Officially fully vaxxed yesterday &amp; I couldn’t be happier 🥳 
#COVIDVaccination #vaccinated",""
"1433763827011706883","Children being Vaccinated in schools without parent consent in Dayton Ohio! 
This must stop NOW!!!",""
"1416653047921405956","with the mismanagement of resources,healthcare,and vaccine accessibility.
I want to call out for the Thai and Colombian governments, and the governments of countries in a similar situation, to please wake up, and work for your people, now.
คุณเจ้ย อภิชาติพงศ์
#Cannes2021 #Memoria",""
"1374104245989908481","Being protected from COVID-19 is the most obvious benefit of getting vaccinated, but here's another one: free doughnuts. 

Starting Monday, anyone who shows proof of vaccination at Krispy Kreme will receive a free glazed doughnut.",""
"1384206231905005571","Getting a vaccine appointment was once a bit of a quest in Gallatin County, but now availability has opened up #mtnews:",""
"1415972073210589185","Don’t forget to maintain safety at vaccination sites- #WearAMask #SanitiseHands Avoid close contacts! 

And even after you are vaccinated- remain vigilant- it takes time to build up immunity. 

#VaccineRollOutSA",""
"1394341813570326535","Take me down to the hot vax city
While the plague rates soar
and our mental health's shitty
Take me down!",""
"1398505923505790976","@GovGianforte uses this argument to prevent mandatory vaccination. ""We are committed to protecting individual liberty and personal privacy,"" Gianforte said. 

People who are vaccinated have the same rights, Governor. I deserve to know who has refused to be part of the solution.",""
"1419360962713464847","All my fellow boob owners out there did urs get rlly sore after Pfizer vaccine???",""
"1408966705380945923","FDA adds warning about rare heart inflammation to Pfizer, Moderna Covid vaccines - CNBC",""
"1419658639216807941","👀🤡
Fully vaccinated staff at the White House are coming down with COVID-19 &amp; although Jen Psaki admitted that the cases were occurring, she “suggested the public did not need” to know how many were sick with it so far &amp; even asked reporters why they needed to know that info",""
"1398205226130186244","BBC presenter Lisa Shaw, 44, dies after Covid vaccine jab#omg",""
"1433329851289718784","*EU/UK BOOSTER SHOTS DELAY?* 

EU infectious disease agency : ‘No urgent need’ for coronavirus vaccine booster shots ... POLITICO



UK Third Covid vaccine for vulnerable – but no mass rollout  yet ... TELEGRAPH",""
"1431671644221804545","Boy, 13, turned away from B.C. walk-in clinic because he isn't vaccinated",""
"1407625704510935046","Tangina, pinagod ko lang sarili ko paikot-ikot around Dasma for the vaccine tas wala din. Tas malalaman ko hindi priority mga students pag A4 na. Putangina umay",""
"1438869740261306375","""PM Modi is leading the way, running the world’s largest vaccination
drive.
Nearly 77 crore vaccine doses, already way ahead in terms of several global superpowers
#HappyBdayModiji 
#SvgrybwishesModiji
@narendramodi 
@Bhupendrapbjp
@PMOIndia 
@Sanghviharsh
@SVGRYB #Z8",""
"1443375442073989126","Biden Says 98% of People Need to Be Vaccinated to Return to Normal",""
"1374092949672374281","I think everybody in Louisiana but me is eligible to get a vaccine now. I’m not complaining.",""
"1442287833373413376","COVID isn't the most dangerous thing these kids are facing.

""This coming Tuesday, hundreds of [NYC school safety] officers, if not thousands, might come off the payroll, as the city's vaccine mandate takes effect.""",""
"1423225331842879489","May pa-free pizza (the small box) sa mga vaccinated ang Pizza Hut. #vaccination",""
"1437085000550297608","Biden's Senior Advisor Says President Will 'Run Over' GOP Governors Trying to Block Vaccine Mandate",""
"1433739316543451146","#Kerala alerts vaccine shortage a day after overall #COVID19 cases crossed 41 lakh mark, Health Minister Veena George says they have asked the Centre for more doses.",""
"1429557202839212035","mfs with the vaccine will try anything to guilt you into getting it too 😂 SUCK MY FUCKIN DICK",""
"1396861786545135616","A COVID-19 Vaccine Walk-In clinic will be held for the public, this Friday, May 28, 2021, from 8-10 am at the Hospital. Report to the main entrance. Bring photo ID &amp; health insurance cards. The vaccine will be Pfizer &amp; require a 2nd dose. Eligibility 12 years of age &amp; older.",""
"1383115525828571139","It’s almost been 24 hours after my 2nd Pfizer shot &amp; not a single reaction. Took today off just in case, but just enjoying my time off. 🎉🎉",""
"1393056122005823491","PETITION: No to mandatory vaccination for the coronavirus",""
"1416667038307684357","nak pergi vaccine pakai baju kurung la tapi tengah fikir ada ke yang loose takut tersekat di skala siku",""
"1419715238010699782","Children had to be vaccinated to attend school for years now we have children not getting vaccinated not wearing mask how are they protected do we stand by to see if they survive COVID?",""
"1433762266743201805","Good News of the Day: Vaccine clinic planned for today in St. Matthews  Tweet me a good news story",""
"1422079163280891905","CDC, FDA ready to inject children with deadly six-in-one vaccine",""
"1415978227479334913","i can't even show how happy and emotional i am i repeat it but i'm in the thing to get vaccinated idk how it's called but yeah",""
"1415978362527440902","Good morning Twitter family! I hope you have a great day! 2nd day post vaccination and I feel just fine! Anyone who worries about the 2nd vaccine, don’t, it’s a piece of cake! Blessed be!💜💜💜",""
"1379933418398617602","Health Minister Terrence Deyalsingh says persons receiving the COVID-19 vaccine in T&amp;T are doing well, with no adverse effects reported thus far.",""
"1396194236907892740","For Colleges, Vaccine Mandates Often Depend on Which Party Is in Power",""
"1432634778860277763","Most Vaccinated Countries Have Most COVID Cases - Global Research",""
"1395658901882691585","Student BANNED from University After Refusing to Get Vaccine",""
"1430889695324426240","She: The vaccine was just a placebo.
He: Then that means...
She: The *real* vaccine was your love. 

They kiss while in their bloodstreams, the COVID upsilon variant multiplies...like their love. 

FADE TO BLACK

#GetVaccinated",""
"1435900920370503682","Nicola Sturgeon’s vaccine passports plan is an ‘absolute sham’, say Tories",""
"1381980786203762691","Moderna - vaccine #1 done!

...and I have never had a shot that didn't hurt before.  If I hadn't been watching the needle go in, I wouldn't have known it happened.",""
"1436093910284181504","What are they going to do if everyone is vaccinated and the covid virus is still around?",""
"1386760719287341059","Love how the government are encouraging the Youth to get vaccinated when we're literally RIGHT at the bottom of the list (fully understand why) 
Brooooo we all wanna get vaxxed and hug our mates again",""
"1392053983032737794","FSDL has decided to start the next season of ISL from September mid after meeting with all the stakeholders. Venue for the league has not been decided. FSDL has asked all players and staffs to be vaccinated before the start of the season. #IndianFootball #ISL #IFTNewsMedia",""
"1382187688057565191","Found rite aid vaccine at these locations: 2064 Mill Avenue, Brooklyn, NY 11234; 35-45 West 125th Street, New York, NY 10027  id: 1618374199",""
"1394406896547758080","Only vaccinated to get Covid certificates before end June in Switzerland - Le News",""
"1418581340996259844","@ShannonSharpe what happens if vaccine players spread covid on the team  and you lose money?",""
"1414922902030405642","@TReporta Los números en Coclé han ido aumentando, se han tomado medidas restrictivas y todavía no ha iniciado la vacunación con Pfizer para adultos mayores en Coclé.
¿Qué esperan las autoridades?",""
"1379904584416641028","Pfizer                                     Astrazeneca",""
"1425354331830763526","It’s funny seeing ppl go hard for this vaccine when they the main ppl getting sick from taking it...... lol it’s like ppl already have it stuck in they head that the vaccine helps ppl from not dying",""
"1415984080961916930","Everyone who went to #DublinProtests in a serious capacity is a big dumb baby. Get vaccinated and stop thinking the world revolves around you",""
"1433589722052534273","🟥⚠️ENGLAND, FRANCE, SWITZERLAND: New protests across the country against vaccine passports

@EndTimesApokalypse",""
"1442762195855712263","Comment Pfizer A Fait Gagner Beaucoup d'Argent À Macron",""
"1376234774122135553","COVID-19 vaccine bookings are now open for everyone 18 years of age and older. We are encouraging Six Nations members who want to get vaccinated to book an appointment either online at  or by phone at 226-227-9288.",""
"1451483154196439047","FYI: though the CVS site still won’t show any Covid vaccine appointments at all, Walgreens is scheduling Moderna boosters.",""
"1378915312373010434","The amount of propaganda the Left's having to vomit makes me think this vaccine is a lot more sinister than the conspiracy theorists said it was.",""
"1430896583206260749","Worried about #CovidVaccines being ""rushed""? COVID-19 vaccines are part of the most intensive vaccine safety monitoring effort in U.S. history. @jamesmhoffman @StJudeResearch explain how this was possible.",""
"1379941052254142465","Good morning,💜💜

It's becoming common, that one hears of close relatives n friends becoming Corona +Ve now

Please get yourself vaccinated ASAP, if you can. Also please continue to stay inside and safe and use mask when going out. 
Only this way will we beat this monster..🤗🤗",""
"1400056265997533189","Here’s how much of California is fully vaccinated and the tier assignments as of June 1",""
"1378015990022299648","We’re missing Easter with Tyler’s family. His mom was upset and I mean we could just fly in tomorrow private but I need this vaccine to work its magic before I fly out.",""
"1431346081783169024","Previous Covid Prevents Delta Infection Better Than Pfizer Shot - Bloomberg",""
"1384550814811885568","4-19: Twenty-two New Cases; All NJ Adults Now Vaccine Eligible; Montgomery Vaccine Clinic...",""
"1381117346333519873","The coronavirus variant discovered in South Africa can ""break through"" Pfizer/BioNTech's COVID-19 vaccine to some extent, a real-world data study in Israel found, though its prevalence in the country is low and the research has not been peer reviewed.​",""
"1431369706313715713","I am not an anti-vaxxer 🖖

I had covid before the vaccine was available to me, fully recovered. Antibody levels are still high.

I’d happily get the covid vax:
- If risk of reinfection was higher, to protect myself
- If I could *only* spread the virus unvaxxed, to protect others",""
"1389195382127611905","Doctors for COVID Ethics: COVID-19 Vaccines are Unnecessary, Ineffective and Unsafe 

#COVID19
#COVID21
#vaccine",""
"1437042771701813255","Haven’t quite got my head around the new *freedoms* for at risk LGA areas but I do know the vaccinated spreaders have more freedoms than do I  ...",""
"1442477870383722501","I asked one of my friends - why haven't you taken the vaccine yet. He said - Despite having infected with covid once, I don't want my body to be dependent on some external medication to make myself immune/ strong to fight against the virus. He said make yourself strong enough.",""
"1373850422725668865","Am waiting for that day when @KagutaMuseveni will take that vaccine I will also go to @MinofHealthUG and take one",""
"1378272239687065610","PETITION: No to mandatory vaccination for the coronavirus | LifePetitions",""
"1445920413888880640","So what's the difference between a teacher needing to have a mandatory vaccination to continue to teach; and a politician NOT being required to have a mandatory vaccination to attend Parliament, do their civic duties in electorates etc? 

Is Dominic Perrottet vaccinated? #nswpol",""
"1450854084865499140",".@JoeBiden ignores the fact that his vaccine mandate is misaligned with the current needs of the labor market. via @DailySignal",""
"1396867483655622659","do i need the vaccine to go to the tour bc i am too scared to get the vaccine is that bad",""
"1446890172449271811","Trudeau’s vaccine mandate is unconcerned with civil liberties or science | True North",""
"1403258255812575233","Got a text from my surgery yesterday morning about getting the vaccine and i was all jabbed up by half 4. Tis a good week 👌",""
"1417923838885650438","J&amp;J forecasts $2.5 billion in 2021 COVID-19 vaccine sales, sets lower production target",""
"1439716077420810242","Olá, gente. Distribuímos mais de 35.000 doses de Pfizer neste domingo para Macapá e Santana e assim continuamos a acelerar a proteção da saúde da nossa gente.",""
"1419566033501884420","So thankful and happy to be fully  vaccinated with the one-shot J&amp;J at Hillcrest Hospital, KZN. Easy and efficient
#VaccineRollOutSA",""
"1386766177406382080","Vaccination 💉 Day!
Appointment at Prairieland was super slick, arrived 5 min early, 15 min later was sitting in the post vax wait area. 
Huge thank you to all @SaskHealth HCW’s, friendly &amp; professional. Awesome work!!!
Extra 🙏 to the #RN who “gently” helped me #StickItToCOVID",""
"1379924847984250885","GOT MY FIRST HALF OF THE VAX THIS SUNDAY FUCK YEAH LETS GO",""
"1447993319540334597","Thousands of unnecessary deaths, Tory pals enriched #COVIDReport 
Vaccine roll-out a comparative success, but worth noting that Ireland's vaccine rate is better",""
"1391410529638526977","Even my parents are all ""you're fully vaccinated and everything is reopened why are you spending your Saturday nights in front of rhe TV?""",""
"1384500080724561921","J&amp;J Executive Says Co. Stands By Positive Risk/Benefit Profile Of Covid-19 Vaccine As Pandemic Continues To Rage Around The World

Related Tickers: $JNJ
Read more at:",""
"1437058293126639617","@gregkellyusa don’t understand why the vaccinated r so afraid of the unvaccinated? Unless the vaccine doesn’t really work and if that’s the case why get vaccinated in the first place? The vaccinated should care less about the unvaccinated shouldn’t they? Hmm",""
"1439593365633441798","Portugal, Spain, Ireland, France, Belgium and Italy, have now administered one or both doses of a Covid-19 vaccine to a larger share of their populations than the UK",""
"1387455758305046531","Pandemics are scary, exhausting and depressing, imagine going through it without healthcare?

Millions of Americans are

Getting a vaccine at no cost on site was possible, and easily done

It’s not that we can’t provide Medicare for all, they just don’t want to",""
"1428167193339047942","I AM ABOUT TO WITNESS ADAM LEVINE IN ALL HIS FUCKING SEXINESS AND ITS A FULLY VACCINATED CROWD",""
"1405282010646515712","If just one credible doctor says don’t take the vaccine then don’t. For every one that speaks up there’s a thousand of them scared to do it.",""
"1394994151012380674","The COVID-19 vaccines have met strict standards of safety, quality and effectiveness set out by the independent Medicines and Healthcare products Regulatory Agency (MHRA).

Read more about the COVID-19 vaccine:",""
"1386699806941253632","New post: Japan’s slow Covid vaccine rollout casts cloud over Olympics 26 Aprile 2021",""
"1394352377742958596","Mon père il m’oblige à me vaccine il m’a pris rdv pour jeudi je suis même pas au courant merci de me revenir avant c cool",""
"1415978413731553280","I told my child’s father I wasn’t comfortable with him being around me  or my child if he’s not vaccinated. Now the anti vaxxer is getting vaccinated 🙏🏽😎 He know I do not play about my damn baby.",""
"1390136952695914496","Likely vaccine reaction, very sore all over Day 3 and fever today (Day 4 after Pfizer shot.) My immune system has nothing better to do than throw a tantrum.",""
"1382956181119856649","@PMOIndia should start door to door vaccination and vaccination for all.
Please do the needful. The situation is really very very critical. @narendramodi @AmitShah @drharshvardhan @ChouhanShivraj #coronavirus #vaccine #VaccinationDrive",""
"1417682412348362753","La Capital incorporó una moderna máquina para demarcación de señales viales",""
"1405784246627753986","""Canadian Couple Who Flew to Indigenous Town for Vaccine Plead Guilty"" by BY DERRICK BRYSON TAYLOR via NYT New York Times",""
"1414923588365344771","ΠΟΥ κατά Pfizer και Moderna: Ο ενισχυτικός εμβολιασμός να βασίζεται στην επιστήμη και τα δεδομένα, όχι στην κάθε εταιρεία  via @aegeanews",""
"1378247433331879939","As the Dumbarton &amp; West Scotland candidate for @ScoLibertarian, I will fully oppose mandatory vaccination laws and mandatory face mask/visor laws as well as oppose vaccine passports.",""
