"id","text","label"
"1442948574522707972","College Student Dies from COVID After Mom 'Encouraged, Threatened and Nagged' Him to Get Vaccinated - People. Parents that still can control your child getting vaccinated, DO IT! If you are over 18 and reading this, DO IT!",""
"1429428299802021897","US Officials Investigating as Dangerous Vaccine Side Effect Seems More Common Than Previously Thought via @WestJournalism  &gt; THEY KNEW ABOUT THIS HARM EFFECTS FROM THE START - NOW YOU WILL SEE THE RADICAL PARTY BE REMOVED AND THIS VAX DISSAPEAR !",""
"1431342481833086980","Denmark Says It Will Remove All COVID-19 Restrictions, Including Vaccine Passports 
 
Download our app to read more at",""
"1399222192693518338","Region Six: Over 300 vaccinated in first ‘drive-thru’ initiative",""
"1445203381685927940","Double Vaccinated Emmy Winner Dies of Covid-19 Two Weeks After Attending Award Ceremony with Unmasked Celebrities",""
"1387202644431671296","I get my 2nd Covid Vaccine tomorrow and I swear I am probably the only person to have actually lost their vaccine card.",""
"1405329291747991565","Haircut today. They said I could go maskless if I showed my vaccine card. Like any normal, rational person I screamed ‘Communism’, burned the place to the ground, and will be growing my hair out indefinitely.",""
"1386760371437019137","Вакцина Pfizer убила еще одно известное лицо  #Вакцинация",""
"1375803938822356998","Mass shootings at my alma mater, Virginia Tech, and now twice close to where I live in Virginia. I may never leave my house again. Vaccine or no vaccine. Who cares if I get shot doing regular everyday stuff?",""
"1415972077614608387","Officially fully vaxxed yesterday &amp; I couldn’t be happier 🥳 
#COVIDVaccination #vaccinated",""
"1373889293127622657","Yaar vaccine lagwani chahiye kya ?
Papa liver patient h 

2 bar aa chuke h gaav me vaccine wale bas dar se lagaai nhi h",""
"1405622422758465542","mRNA vaccine now preferred as second dose following AstraZeneca shot: NACI",""
"1381105570862751747","""I don't think I would — even if I'm vaccinated — go into an indoor, crowded place where people are not wearing masks,"" Fauci said.",""
"1433750677977718802","BREAKING: Singapore will hit pause on its reopening plans after a recent rise in Covid cases and plans to start vaccine boosters",""
"1403621253794181122","#COVID19 vaccines are safe. Check out our latest @tiktok_us to learn how these #VaccinesWork. 

By getting vaccinated, each of us can do our part to help ensure everyone is protected. 

#OnlyTogether can we end the pandemic.",""
"1381979961209327616","Boris Johnston the “clowns clown” now claims lockdown and not the vaccine has forced down COVID figures justifying his failed lockdown policy , undermining the only success in his premiership the vaccine roll out",""
"1373130356199723008","First vaccine day 2. Achy, minor headache and dehydrated all day, low fever in pm. One arm planks in yoga about ended me. This is what I expected for 2nd shot, not first.",""
"1418529990782586886","fully vaccinated na ako see you N.E hehehehe kuha lang ako lisensya ah ikaw magiging unang long ride ko.",""
"1415971295204839426","Opinion: If college football players skip vaccine and COVID wrecks their season, it's their own damn fault #SmartNews I can’t wait for high school football in Texas, the Republican moms and dads deserve it. LOL bring on Delta. LOL dumb Republicans.",""
"1382958312891805699","Ivanka Trump’s Vaccine Selfie Didn’t Go Over as Planned - Vanity Fair -",""
"1430881227985276935","If the vaccine is safe, why is our government not taking any responsibility for any vaccine complica?
Why are not allowed to sue the producers?
You can't tell me to take a jab but you don't take responsibility for what you are selling. #NoVaccine",""
"1389895443572613121","#No Vaccine #NotVaccinated

COVID-19 vaccination for 18-45 age group is now NÕT open at Mira Road Pin 401 107 Thane District

Please start for us ASAP",""
"1436334411453173761","SD Gov. Kristi Noem vows to fight new federal vaccine mandate: 'Joe Biden see you in court.'",""
"1402826179053248517","Japan to provide urgently needed 600,000 doses of AstraZeneca vaccine

➡️ 

@GotabayaR #LKA #SriLanka",""
"1440822545050050561","Is COVID-Deaths Data Being Manipulated for Profit? Doctor Sues University Over Mandatory Vaccine Policy 
 
Download our app to read more at",""
"1430721561955209222","Shadow Regional Health Minister @MartyAldridgeMP has called on the Health Minister to explain why dozens of hotel quarantine workers are not fully vaccinated, over three months after the Government’s mandatory vaccination deadline.
More 👇",""
"1415978413731553280","I told my child’s father I wasn’t comfortable with him being around me  or my child if he’s not vaccinated. Now the anti vaxxer is getting vaccinated 🙏🏽😎 He know I do not play about my damn baby.",""
"1448001940072194048","Next on FDA's agenda: Booster shots of the Moderna and J&amp;J vaccines",""
"1403206826875920392","não saiu nem um ar pelo nariz assistindo esse vídeo da Pfizer pqp será q eu sou mt amargurado",""
"1409776682966261760","The Oxford Astra Zeneca vaccine isn’t approved by the US so having had that is no use for being allowed in. Even for a travel corridor which isn’t going to open for months due to Johnson’s disastrous personal tardiness over the Indian variant.",""
"1438231214167629829","The effect of vaccine mandates on hospitals:  CLOSURE",""
"1436353108100194306","✨Timeline cleanse and a reminder to oppose medical tyranny and authoritarianism. Also, if you support the unconstitutional vaccine mandate issued yesterday, you’re a fascist bootlicker with your mouth around the government’s d*ck✨",""
"1427045062534320132","Why did they make vaccine cards easier to fake and forge than an elementary school report card?",""
"1380695567387357191","So I learned today. My old man is ineligible for the #COVID19AB vaccine due to a certain allergy. Probably a good thing since he spends all his time surfing the internet at home anyways.",""
"1439616279095169026","@JM_Scindia Commercial flights are closed for 18 months. Now it shall open. NRI are not able to come to own country to meet love once.For vaccinated flights shall be opened now. It is high time. W all are frustrated.Please support.",""
"1401993847224291330",".@IAPublicHealth has launched a marketing campaign to encourage COVID-19 vaccinations. 

1.39 million Iowans are fully vaccinated - about 45 percent of the total population. (That’s approximately 55 percent of the eligible population - those 12+)",""
