"id","text","label"
"1401960648242876421","COVID-19 Vaccination appointments available at CVS near SEVERNA PARK, MD. Sign up at  2021/06/07 17:54:00",""
"1373112881567428609","Risk of #Covid19 is increasing in NE and in other regions. Vaccinations alone won't be enough to stop upsurges if we, collectively, revert behavior too rapidly.

Wear a mask
Socialize outdoors
&amp;
Get vaccinated (at first opportunity)",""
"1442948777019539456","Religious exemption folks, take note

Vatican orders all employees to get COVID vaccine or weekly testing",""
"1429571353242341379","Surgeon General Vivek Murthy says vaccine requirements at businesses and universities are 'a very reasonable thing to do' - Yahoo! Voices",""
"1429428459219169283","The vaccine bus is back next week! The team will be administering 1st &amp; 2nd Pfizer &amp; AZ jabs. No appointment needed.
📍 Page Moss, Halewood and Stockbridge Village
📅Monday 23 August – Saturday 28 August
⏰ 10am – 4pm
🚖Need help with transport? Visit",""
"1418533550471720963","Anti vaxxers see one bad side effect from the vaccine and freak out but turn a blind eye to the millions of people who died to covid",""
"1446088690934091779","The Halifax Regional Municipality (@hfxgov) says it's ""currently taking steps"" to prepare for a mandatory vaccination policy for its employees.

""This policy will require all municipal employees to be fully vaccinated by Dec.15, 2021.""",""
"1392842068645584896","Fast, free &amp; convenient. Just stay in your car and drive thru the parking lot to get your vaccine at Ripken Stadium in Aberdeen, Tuesday - Saturday from 8 a.m. to 4 p.m., no appointment needed!

A message from The Iron Man, Cal Ripken Jr.:",""
"1421430890559942658","เหมือนกำลังใช้ Pfizer เป็นรางวัลสำหรับคนที่เป็นเด็กดียอมรับ sv 2 เข็ม และเป็นบทลงโทษกับคนที่ดื้อไม่ยอมรับ SVแต่แรก

ในสถานการณ์ที่คนตายเป็นใบไม้ร่วง บุคลากรติดเชื้อ ขาดแคลนกำลังคน ยังกล้าที่จะเล่นเกมส์
สูญสิ้นแล้วความเป็นมนุษย์",""
"1415972073210589185","Don’t forget to maintain safety at vaccination sites- #WearAMask #SanitiseHands Avoid close contacts! 

And even after you are vaccinated- remain vigilant- it takes time to build up immunity. 

#VaccineRollOutSA",""
"1415991440073580546","If Modi govt listen to Rahul Gandhi, vaccine  shortage could have been a...  via @YouTube 
Sir @RahulGandhi Ji, Words Not Listen @BJP4India Govt.",""
"1385170522040795148","Watching this stuff come out about the covid vaccine and glad I didn’t get it yet",""
"1390130445744939010","LOOK | Dr. Rontgene Solante of DOST-Vaccine Expert Panel presents studies on the efficacy covid-19 vaccines as affected by sars-cov-2 variants. @News5PH @onenewsph",""
"1438110457815080966","Workers have had two months to get vaccinated since President Emmanuel Macron announced the introduction of ‘mandatory vaccination’ for health workers in a televised address to the nation in July.",""
"1416658305569628162","France lifted travel restrictions for fully vaccinated travellers but advised against travel from France to countries on the ""red"" list",""
"1400711309235298305","Italy opens vaccinations for anyone over the age of 12 after the European Medicines Agency approved the Pfizer-BioNTech vaccine for people between the ages of 12 and 15.",""
"1405627560801751042","A student from Otsego County was named a winner in this round of vaccine scholarship incentives.",""
"1388410373993287686","Wayne County Public Health says appointments are available for Saturday vaccine clinic",""
"1415978227479334913","i can't even show how happy and emotional i am i repeat it but i'm in the thing to get vaccinated idk how it's called but yeah",""
"1420368916375769088","No Vax No Drinks In San Fran As Bars Announce COVID Pass Requirement - Breaking #News from #Infowars!!",""
"1425480269088370694","Sean Penn rebuked covid-19 vaccine skeptics defending his decision to demand workers on the set of his latest project be vaccinated. Penn called for mandatory vaccinations saying ""it's no different than requiring a driver's license."" #MandatoryVaccinations",""
"1391022774630551560","Unable to book slot for second vaccine shot for my mother (senior citizen). The slot which was booked got automatically cancelled. Now I cannot see her getting the 2nd shot within the stipulated time in Jamshedpur. Please support.
@HemantSorenJMM @DCEastSinghbhum  @JharkhandCMO",""
"1426291268842233856","Whether you can bring yourself to admit it or not...

...O'TOOLE AND TRUDEAU ARE ON THE SAME TEAM.

They're on Team Vaccine Passport, Team Lockdown, Team Carbon Tax, Team Mass Immigration, Team Climate Hysteria...YOU NAME IT.

They agree on EVERYTHING.

#VotePPC",""
"1413217288380043267","Maharashtra first state to administer over 3.5 crore vaccine doses  via @thebothsidenews",""
"1441225840679964672","Does anyone recognize these symptoms? Got 1st dose Pfizer vaccine 26 Sept. (I have chronic logistics-itis.) Felt like a head cold came on by 29 Sept. No cough, mild sneezing / runny nose etc. I get psych effects from cold, got it here too. Big ball o misery. [ 1 / 7 ]",""
"1409776495653015558","L'Institut Pasteur a étudié comment la vaccination partielle de la population française va changer la donne pour une éventuelle prochaine vague.

Les adultes non-vaccinés contribueraient de façon disproportionnée à la pression sur le système de santé.",""
"1443252559192354823","I don’t care if Kristi Noem is having an extra-marital affair. I do care that she refused to oppose the transgender lobby and that she vetoed a vaccine mandate ban.",""
"1415990989517467652","We are all vaccinated with Chinese vaccine but still visa is suspended from more than three months, plz help us China embassy resume work and business Visa🙏🙏
#ChinaEmbassyResumeVisaProcessInPak
@AmbNong 
@ImranKhanPTI 
@CathayPak 
@SMQureshiPTI 
@SAMAATV
@HamidMirPAK",""
"1434883079974395907","-Γιατρέ θέλω να κάνω το εμβόλιο, τι επιλογές έχω;
-Υπάρχει της pfizer, της moderna, της johnson, της astrazeneca και το καρδιτσιώτικο",""
"1423387170388197379","@H_Combs I got the vaccine talked my husband into getting the vaccine and we both had covid we still wear a mask",""
"1451942522931003394","I’ve just written to my Local MP. It’s important we ensure they hear what we think about Vaccine Passports. Please write to yours too here:",""
"1378269160816304130","will help my friends get COVID-19 vaccine appointments and then will post the script up for those who want it

it searches for vaccines in nearby pharmacies (you can configure which ones you want) and it'll send a notification to your Amazon echo when one is available",""
"1420359257510215684","Fully Vaccinated!!  💉

Johnson and Johnson’s Janssen Vaccine",""
"1385622910979674112","Second vaccine done. Thank you, thank you, thank you, thank you NHS. #thankyouNHS",""
"1405042457608278016","The problem with mandatory vaccination is the removal of human right in protecting one’s health and life, including the choice of vaccine to use.",""
"1378930203062267908","@eliots_tweets i have a vaccine appointment, after i get the vaccine and the side effects subside i am going to walk a very long distance but have the option of taking the bus back if i am too tired",""
"1372565469094416384","Tanarul vaccinat initial cu ser Pfizer si la rapel cu Moderna sustine ca in Registrul de Vaccinare apare ca fiind neimunizat cu ambele doze",""
"1397360706329079809","Alhamdulillah, mom received her appointment for AZ shot this coming June. She is looking forward for the day she could get her vaccine and already picked what she wanted to wear. Jangan memain tau😂",""
"1414333940618260483","Better vaccine outreach to younger Canadians needed as first doses slow, says Tam",""
"1444149468526432259","#Detroit is now providing the COVID-19 Pfizer booster shot. Fully vaccinated individuals may receive the booster shot if they completed their Pfizer vaccine series at least six months prior. The booster is available only for residents who received the Pfizer vaccine.",""
"1424108240816668676","Twitter people on here claiming the vaccine changes ya DNA:",""
"1415379331602423812","Pop star Olivia Rodrigo visits White House to help get young people vaccinated against Covid-19",""
"1386756116801982466","Top Scientist Shuts Down J&amp;J Vaccine Debate, Points to What Happens When You Start Taking Aspirin  via Western Journal",""
"1425482955237986306","The people manipulating anti covid vax crowd are purposely using the same tactics to spread misinformation now.
-The mandatory vaccinations that triggered a Montreal riot in 1885",""
"1405328971156361216","There's nothing more ridiculous than having ""Fully Vaccinated"" as the first thing about you in your Twitter bio, as if an experimental medical treatment is who you are as a person.

Then again, with what I see on the 'Net, some of you ARE nothing but the vaccine now. :( #Politics",""
"1395396192201154561","EU Takes A Step To Letting In More Vaccinated Tourists",""
"1420132309869625345","Covid: Biden says mandating vaccinations for all federal employees is 'under consideration' | CNN",""
"1415979894920531968","#SofiaHayat
Sofia Hayat Video: After Getting the Pfizer Vaccine, Sofia Hayat has Shared a Hot Yoga Video on Social Media. Fans Reacting to this Video.
@sofiahayat",""
"1392851394558926858","Even if the vaccine were 100% effective and 100%, people still have the right to chose, with out force, coercion, duress, shunning, hate.... 
#IDoNotConsent",""
"1422986178572267524","Opinion | Americans have had it with vaccine refusers and anti-mandate politicians - The Washington Post",""
"1380677966557028355","Army-developed COVID vaccine could ‘stop variants in their tracks,’ scientist says",""
"1415991287510040576","Every State should *Accelerate"" the Vaccination drive, as the target is set to vaccinate the every citizen of 🇮🇳 is by the end of this year.

Mission Vaccination✌️",""
"1375829243905515527","Incentives matter: Residents of Saint-Quentin-en-Yvelines, France, can get vaccinated at the velodrome while watching the national team practice.",""
"1374745261948375049","trying to book a vaccine appointment through my states health department website is pure hell",""
"1392056439217168384","Memandangkan I tak ada access terus kpd orang penting, so I dah takutkan orang orang berkepentingan supaya dia pun akan sampaikan apa yang I cakap kepada yang kayangan ni tentang “tak semestinya dah vaccine boleh berjalan sana sini sebab ada kes boleh positive”.",""
"1430897545941688326","To insinuate that the boys got prioritized for the vaccine shots bec of their position as special envoy...low-blow

The issue of short vaccine supply is not something you can use and twist to show a certain group in a bad light. People are still dying. Grabe ka billboard",""
"1430886819726610437","A must read for 🇨🇦 and 🌐

OPINION: No, COVID-19 vaccine passports and mandatory vaccination do not 'protect the health and safety of Canadians'",""
"1433336009568124929","Labor and LNP shoot down Craig Kelly and George Christensen's bill for No Vaccine Passports!",""
"1374095618398777345","Corbella: Trudeau's blaming of Mulroney on vaccine problems delusional, say experts   #TrudeauVaccineFailure",""
"1414312772754628614","When the deaths of the vaccinated accelerate they’ll stop counting cases, leave social restrictions in place. Power outages and cyber attacks on critical services will let you know the takeover is complete and the sands of time have run out.
Look to your next incarnation 🙏🏻",""
"1372525543531352067","Trump Supporters Turn On Him Over COVID-19 Vaccine In Uncomfortable CNN Segment - HuffPost.    If they got covid, they should not use hospital or doctor to cure them. Fed should not give any healthcare for them.",""
"1429577550884376579","Sun 6:51 - NJ17 slow spots.  All other roads moving well.
  
  - Ezra Medical Pfizer Vaccine - 1260 60 st.",""
"1396063993387786242","NV: Vaccine appointments available at Walgreens HENDERSON from May 24 to May 27.  Sign up here, zip code 89052:
 (as of 04:20 AM PDT) #vaccination #CovidVaccine",""
"1415712781450596353","“iF yOu’Re VaCcInAtEd WhY aRe YoU wOrRiEd” …maybe because unvaccinated people are the reason COVID will continue to be spread. 🙄",""
"1396564257534365699","This vaccine for some reason is fucking my back up. Like these feel like period cramps wtf",""
"1412670301662441473","The best vaccine is the one that you can get that will be accepted by your boss as an excuse for a day off.",""
"1401709584188907526","Cali Cafe CHARGES $5 to Patrons who Wear a Mask or Brag about getting Vaccinated",""
"1442494747705151494","NY State is headed into severe crisis mode. 

Many unvaccinated healthcare workers are set to be fired today due to a mandatory deadline that they all must be fully vaccinated or have at least one shot by the end of today.

A national emergency has been declared.",""
"1405268514101891075","""CureVac’s vaccine performed poorly in a clinical trial, in part because of virus variants."" by BY CARL ZIMMER via NYT New York Times",""
"1379540988121788417","The guy that gave me my COVID vaccine had me fstow🥰 I need to go outside and touch some grass🥴",""
"1381593271554748416","Covid-19 Vaccine Rollout: County and State Tracker -",""
"1430926794761310216","Harry Styles' sold-out Enterprise Center show requiring vaccination or negative COVID-19 tests",""
"1415978413731553280","I told my child’s father I wasn’t comfortable with him being around me  or my child if he’s not vaccinated. Now the anti vaxxer is getting vaccinated 🙏🏽😎 He know I do not play about my damn baby.",""
"1428080139599032323","I should be compensated for getting my vaccine before these lil bribes happened… not fair😠",""
"1418711158803030020","Tennessee to resume vaccine outreach efforts after 'pause' prompted by GOP backlash
The state's scaling back of its vaccination outreach drew national attention when its top vaccination official was fired last week after sparring with Republican lawmakers.",""
"1385628923531235330","The Vaccine Adverse Event Reporting System (VAERS) Chart 

Vaccine Adverse Events Per Year up to April 16, 2021

 via @CDCgov",""
"1401950854098395146","IU has released its updated health and safety guidelines for the upcoming semester. 
Students, faculty, and staff who are fully vaccinated will not need to participate in mitigation testing. 
For the full restart guide, visit:",""
"1407607824109031425","153 Texas #Hospital workers are fired or resign over mandatory vaccination policy..",""
