"id","text","label"
"1396132584254410754","Slots are open at M P School State Covishield on 24-05-2021 for 18+. Available: 1. Dose 1: 1. Dose 2: 0 #Silchar Vaccine #Cachar",""
"1431546704122294272","No, COVID-19 vaccine passports and mandatory vaccination DO NOT 'protect the health and safety of Canadians'",""
"1425486430755856391","if another customer voices their unsolicited, uneducated opinion about the vaccine or masks, I will SCREAMMMMM",""
"1451923817824235528","Curios how my vaccinated friends feel about taking endless jabs ?",""
"1435823814714216449","WHO calls for pause to vaccine booster shots  via @YouTube",""
"1378247433331879939","As the Dumbarton &amp; West Scotland candidate for @ScoLibertarian, I will fully oppose mandatory vaccination laws and mandatory face mask/visor laws as well as oppose vaccine passports.",""
"1386764086726246401","got my second Pfizer shot this morning and feeling groggy, but not too terribly. trying to decide if I work through it on the chance I'll feel worse tomorrow, or just take a self-care day to be sleepy and lazy. 🤔",""
"1378946160828686339","UPDATE: Singapore has administered 1.52 million #covid19 vaccine jabs so far. 468,000 residents have received two doses or about 8.2 percent of its population. Senior minister of state for health Janil Puthucheary says there are plans to start vaccinating those under 45 in June.",""
"1430892147130060808","✅Distribución  de vacunas 

⬆️Entre hoy y mañana llegan a las 24 jurisdicciones del país otras 901.040 dosis de la vacuna Moderna para completar esquemas de inoculación entre las y los chicos de 12 a 17 años con condiciones priorizadas.
👇",""
"1379917981334052870","Jim Cramer Proudly Accepts 'Communist' Label After Demanding Vaccine Cards At His Restaurant",""
"1409419787340550145","It's sad that society has gotten to the point where your vax status is more important then love. Individually, we either fall in line, or get labelled a conspiracy theorist, shunned from the people you love. It's time we dig deep and find it in us to be human again.",""
"1374751499474120707","being fully inoculated + vaccinated is a big deal for my horribly anxious brain because there are so many safe things i haven't done due to my horrible brain and i simply cannot wait lmao. can't wait to not feel nervous to even get a package from the lobby of my building!!",""
"1439650548614057984","A federal panel of experts that voted against Pfizer booster shots for all Americans unanimously supported a third vaccine injection for people at higher risk from the virus.",""
"1438373357993426947","You know, I’m gonna be honest. I can at least SORT OF understand if you don’t wanna get vaccinated (I still think you’re stupid tho) but I genuinely CANNOT believe the people who still don’t believe the virus exists and this is all about the government controlling us. like wtf",""
"1391019554533371905","The need of the hour is for 2 doses of the COVID vaccine to be made available immediately for every person in Ind and on earth.Sadly, the companies currently producing them cannot meet this demand and only they have the license to make it. Adar Poonawalla fled to the UK becoz 1/2",""
"1393377852394024961","Vaccine is important, but man...today after my second Moderna shot was rough. 🥵",""
"1402099170966753282","I’m not “anti-vax” or “pro-vax”. I really don’t care what medical decisions an individual makes. It’s their business. I’m anti-corruption! And it just so happens that the decades-long corruption of big Pharma is being exposed with this aggressive civid19 vaccine rollout!",""
"1398357375304843267","Europe’s medicines regulator on Friday backed the use of Pfizer’s COVID-19 vaccine for children as young as 12, paving the way for a broader roll-out in the region after similar clearances in the United States and Canada •• READ MORE:",""
"1413233353982201858","New Vaccine Could Help Celiac Disease Sufferers Eat Gluten Again",""
"1415993688019320833","Tennessee WTH is wrong with you? If you don’t fire  your Republican leaders in 2024 you deserve to get sick. Taking away the health department? Discouraging you from getting vaccinated from all sorts of diseases where vaccination have proven to nearly eliminate them? Ignorance.",""
"1428076962816348161","Facebook says vaccine ""hesitancy"" is declining in the United States and other countries, and credits its efforts to filter out misinformation and promote authoritative information for helping the trend. #COVID19",""
"1429339199199604740","Will Zonals sports will held in this session as we all are vaccinated and also corona cases are very less ..then if our studies are not affecting then why should sports will be affected ... please reply 🙏🙏🙏🙏
@AKTU_Lucknow @myogioffice @AktuStudents @AktuOnlineExam 
@rmulko",""
"1374747290737467394","“what’s the point of getting the vaccine if you can still get Covid”",""
"1390128828165595142","If you are...

1) Preaching that masks reduce the spread of COVID (despite what's happening in FL and TX), because the government says so

but also...

2) Won't take the vaccine because you don't trust it, despite the fact that the government says it's safe

...you're a fraud 🤷‍♂️",""
"1448872966947852290","Also: Shipwreck off Boston identified | A ""scrappier"" Essaibi George | Prison guards take vaccine fight to federal court | More.",""
"1375054785569648642","My parents got vaccinated today. Second round of shots are due after 28 days.",""
"1450962291017535493","Why would any foreign power or Terrorist group attacks us when hundreds of Americans are dying because of Republican Leaders spreading disinformation about the Covid vaccine and politicizing a deadly pandemic?
They only need to pay Zuckerberg to boost those disinformation.",""
"1407630469470900231","One of my most vaccine hesitant aunts got inoculated yesterday. 

She only registered after moms ""survived"" her two doses. 🤣

I'm proud and 💕 her all the same.",""
"1397356972631019521","can’t wait to walk around, mask free, wearing my vax card like a name tag just living my best life",""
"1373474696151322627","They said ""two weeks to stop the spread"" &amp; a year later you still have to wear a mask even if you've been vaccinated ""variants"" that *may* cause a problem. How long are we expected to be so fearful of dying that we stop living? 1 year? 2? 5? 10? #COVIDIOTS",""
"1402686854764240904","Tânăr de 21 de ani din Hunedoara, care suferea de obezitate morbidă, a murit la șase zile după ce a primit serul Pfizer",""
"1375816711497256962","not my mum being scared of the vaccine. ma’am i am not putting my life on the line because YOU are scared. idc lemme take the vaccine and go. would you rather have me get covid ? like ma’am please stop worrying. like i’m fully irritated",""
"1398374020446179333","Covid vaccine spike proteins attack male fertility, too",""
"1379543116747665409","Trial of AstraZeneca vaccine in children paused amid rare blood clots probe",""
"1398385523056467969","So what is the logic behind masking the unvaccinated? Isn't the point of vaccination that you would become immune to the virus? Is Biden admitting the vaccine is useless?",""
"1415972077614608387","Officially fully vaxxed yesterday &amp; I couldn’t be happier 🥳 
#COVIDVaccination #vaccinated",""
"1396065139699470338","""Left-wing"" medical issues such as abortion, LGBT+ health rights, racial equality, adoption etc, will struggle to survive in a system where public health trumps individual consent.

Think carefully on the long term consequences of vaccine passports and mandatory vaccination.",""
"1411039845892427781","What is the difference in risk when travelling to the world at large between an assymptomatic vaccinated human and an assymptomatic unvaccinated human???? Permission to travel based on taking a largely ineffective drug is bizarre?!?!?!",""
"1386759505648791554","So tired of hearing about vaccine beliefs. Idc. I didn’t ask. I respect all views. Leave me alone. Thank you.",""
"1414330305239031814","Sign: #Initiative NO to Vaccine / Testing Passports for Non Essential Services in #Ireland  via @openPetition",""
"1383122101301829635","did anyone have a bad reaction to the covid vaccine / which one did you get???",""
"1372541983043031041","Me after I get my vaccine actin like a clown ass mf",""
"1420365355155959810","Guys, the covid vaccine is actively killing me it feels like. I'm freezing, but also boiling. Lifting my arms is herculean, my eyes hurt, and my brain is forgetting the occasional word.

please post cool dinosaurs so I can have something to look at while confined to my bed.",""
"1397981335646576644","All I hear is vaccine on music apps , movie 🎥 tubi app,  radio stations, TV commercials. Uber,  Lyft, I'm changing my passwords to injection plus codes 🙄🙄
Pretty soon on toilet paper and towel wraps wtf I got the message already 😖😖💀",""
"1381108382900359168","COVID-19 Vaccine - Resources for Patients and Families",""
"1430892814007619594",".@UPS subsidiary UPS Flight Forward, in partnership with @matternet &amp; @AtriumHealthWFB are delivering #COVID-19 vaccines via drones that are outfitted with a special cargo box able to maintain the vaccine's temperature requirements.

#UAS #Drones",""
"1372568092618940418","Recently, more and more African countries are registering Russia's Sputnik V vaccine. This effort aims at stopping spread of the pandemic on the continent. Positivity. We are getting there. 
#COVID19 
#CovidVaccine 
#Covid_19",""
"1438110301191352330","“This is idiotic”: Mayors defy Ron DeSantis’ threat to fine cities “millions” for vaccine mandates",""
"1383116866592382988","Biden Directs $1.7 Billion to combat new COVID variants, which now make up more than half of all US cases while  the FDA slow walks Inovio's vaccine which has already demonstrated that effectiveness.",""
"1395647169521197056","Studiu: Administrarea vaccinului Pfizer după o primă doză de AstraZeneca este sigură și eficace  / Citește:",""
"1400708798348627971","Bound to help our beloved students of Delhi University as they are our top most priority. Getting vaccine is a right of every 18+ person, we help them tell them and aware them about their right and duties so that the youth of the nation make difference and help the governance.",""
"1401019724117409795","China allows preschoolers to get emergency Covid-19 vaccine - Bloomberg",""
"1375810001785208838","The NHS is sending texts to some people to invite them to book a COVID-19 vaccine appointment. These may come from a local NHS service, like your GP practice, or from ‘NHSvaccine’.

Remember the NHS will never ask for payment details.",""
"1397363937931259905","aku ni hari2 check mysejahtera tu tunggu bila nak appt vaccine... huhu rugi nya orang yang cancel appt ni. dahla takbole guna dah vaccine tu. pls dont be selfish",""
"1436453119882366976","@SenatorLankford you need to get the mandatory vaccination stopped. People have their right not to take the vaccine. Especially when Biden lets hundreds of thousands in from the border that have Covid or not vaccinated. Plus the people coming over from Afghanistan.",""
"1395621683730391040","I AM VERY PRO- VACCINE !!

It is clear that prevention of infection alone  will never be sufficient.That is why we need a vaccine that will be a safe call.
#COVID19 #CovidIndia #CovidVaccineIndia",""
"1395993597376294914","No one is taking guarantee that something unacceptable will not happen after vaccination. But forcing employees to get vaccinate. Even High Court saying to mandatory vaccination for govt employess.
This is worst. Everyone have own rights for their body.

#Haryana #coronavirus",""
"1407631354943115265","Our hearts and prayers are with Ms. Burages and her family during this difficult time. It is very unfortunate that Twitter would attempt to prevent this family from sharing its truth and its concerns about the Pfizer COVID-19 vaccine after Jacob’s untimely and heartbreaking death",""
"1423207257232261124","Fully vaccinated UK arrivals from France will not need to quarantine  #travel #holiday",""
"1432768753771687939","Justin Trudeau: No mandatory Covid-19 vaccine in Canada - Sign the Petition!  via @CdnChange",""
