"id","text","label"
"1450953320680595461","Here Are The Faces Of The Military Men Who Are Potentially Being Lost Due To The Unconstitutional Vaccine Mandate … #WAKEUPAMERICA",""
"1402708471766732805","Johnson &amp; Johnson COVID-19 Vaccine Induces Strong T-Cell Response To Variants #covid19 #vaccines #variants",""
"1412303941354758157","I’ve given up on looking for an appointment for my covid vaccine because there’s nothing available for my second dose, I’ll try again later.",""
"1396176888872198146","Não dá p levar a sério quem critica, c razão, o atraso na vacina da Pfizer mas aplaude a enrolação ""técnica"" q ""justifica"" o atraso p aprovar a SputnikV. O Brasil já deveria ter adotado uma política emergencial, um fast track p vacinas já aplicadas em massa c sucesso lá fora +",""
"1427049290275323906","Italian Police March with Protestors Against Vaccine Passports. Good to see people recognize that globalism is not the answer. I’m interested in the cognitive dissonance amongst socialists who have believed in global public health. Study social control",""
"1405717544149921801","they didn’t inject me w pfizer they injected me with some sort of concoction wallahi it shouldn’t be hurting this bad",""
"1413215278620549124","Connecticut ranks in the top 4 states in the country with the most people who've received COVID-19 vaccinations.

If you haven't received yours yet, it's never been easier.

☑️It's free
☑️It's quick
☑️It's saving lives

Find a vaccination site near you at",""
"1405042457608278016","The problem with mandatory vaccination is the removal of human right in protecting one’s health and life, including the choice of vaccine to use.",""
"1409684501639270404","According to data from the Indonesian Medical Association, 10 out of 26 doctors who died of Covid this month were fully vaccinated with Chinese Sinovac vaccines. Authorities are looking to give medical professionals alternative vaccines to boost the immune system. (MK) #Sinovac",""
"1387205265263665157","Telling the vaccinated they don't have to wear masks is also proof that the masks don't protect you unless of course the CDC doesn't care that the vaccinated could still potentially get the virus and spread it.",""
"1402702251072839685","As effective vaccine distribution helps bring COVID-19 under control, the jobs market has been slower to heal as employers try to entice applicants with bonuses and higher wages. Our update gives you the latest:",""
"1409771728776093698","Phase 3 clinical trials are designed to uncover frequent or severe side effects before a vaccine is approved for use, including ADE.

But here is the problem, none of the Covid-19 vaxs have completed phase 3 clinical trials!

Pfizer phase 3 trial will not complete until 06/04/23.",""
"1422950202311417862","😵‍💫🥸Pfizer COVID-19 vaccine linked to rare cases of eye inflammation - study - The Jerusalem Post ⁦@devobrown⁩ ⁦@DinaPugliese⁩ ⁦@AlexpiersonAMP⁩ ⁦@theresaboyle⁩",""
"1394247875564130306","NV: Vaccine appointments available at Walgreens LAS VEGAS from May 18 to May 22.  Sign up here, zip code 89131:
 (as of 04:03 AM PDT) #vaccination #CovidVaccine",""
"1379914044111478784","I was supposed to get my vaccine in the next priority group but they decided to change their chronic illness qualifications lol",""
"1428171945623756807","We didn't have to show any proof of vaccine or anything for air travel, by the way.",""
"1425389846369947648","We may have won a few battles, but the war is still not over. COVID-19 is still a life-threatening pandemic and another wave is expected. Let's not ease up now. Follow every safety norm, get vaccinated and avoid unnecessary socializing. Play your part in making India safe.",""
"1423926956291092485","People like @DrKyle don’t understand the risks for kids under 18 for the Covid vaccine. @CDCgov confirmed the flu is more deadly and it’s been shown under 18 don’t need it yet ppl like Kyle are all for mandatory vaccinations for Covid.",""
"1419368334496346115","Getting my 2nd vaccine today 
Thought its important enough for me to say it here",""
"1431355905543651337","Court tosses mandatory vaccine lawsuit filed against UMass by Quincy woman",""
"1402699245979721729","Hospital suspends 178 health care workers for failing to get COVID vaccine  #COVID19",""
"1400207691629305857","Was there this sort of hesitation with #Polio vaccine? I agree all health care staff including ancillary staff (if medically safe re exemptions). #vaccinate #covid. Alan Kohler: We need to talk about mandatory vaccination",""
"1393663836583079938","So this headache I had yesterday ramped up all night so I’m pretty sure it’s a side effect of the vaccine worst headache I’ve had in a long time. So yeah dose 2 of Moderna is no joke.",""
"1411288293069791234","Qld Covid update: chief health officer rejects claims of ‘scaremongering’ over AstraZeneca vaccine",""
"1419703103964651526","#donor required. 
B+. For a patient in Kolkata

Criteria 
72 hours no alcohol consumption. 
Not taking any antibiotic 
No vaccine in the  last 15days 
No Malaria or dengue in the last 1 year

@BloodAid @BloodDonorsIn",""
"1434886220396613633","The normal vaccinated people I know weren’t told they were expected to join a cult.",""
"1438222586664480771","76% of school staff in Maine are fully vaccinated against COVID-19, according to data released by the Maine Department of Health and Human Services Wednesday.

@PressHerald has the scoop.",""
"1382959191594311682","Pfizer zegt dat gevaccineerden waarschijnlijk binnen zes maanden tot een jaar een derde dosis nodig hebben, en vervolgens elk jaar een booster. - Covid-19 : une troisième dose du vaccin Pfizer « probablement » nécessaire",""
"1395327102644260865","According to new CDC guidance, fully vaccinated people can stop wearing masks in most settings. To find a vaccine near you go to",""
"1446068388837543946","may schedule na me for my second dose of moderna next week. kinakabahan nanaman ako 😭",""
"1393397734061879296","The CDC says that fully vaccinated people can flood the intake and sweep to the bi-lats.",""
"1415248231924125699","#superjob

11% of Russians was refused employment due to lack of vaccination against coronavirus. 

In Moscow, 15% of citizens who have not been vaccinated were denied work, in St. Petersburg 9%, and in other regions of Russia - 10%.",""
"1395326696270618627","@alluarjun anna bring he's staff's , team members and his family who are above 40+ to get vaccinated 😍💥

He personally arranged all this things. Thier staff's really very must be proud for having like this of boss ❤️🤩 #Pushpa #Master @actorvijay",""
"1438936741390422017",".@abc7newsbayarea So, 4 #Covid waves isn't enough? You want to get back on the seesaw? Remove all restrictions then re-impose when another wave hits? How about 90% fully vaccinated and two mos under 1%?",""
