"id","text","label"
"1445923821010235393","Infrastructure Bill Includes Capitol Building Expansion To Hold All The Pfizer Lobbyists  via @TheBabylonBee",""
"1391676274347855873","Good morning lovelies!

I'm awake early because I will be getting my covid vaccine soon!",""
"1386394711162769408","ICYMI: BlackBerry VP of Secure Communications, David Wiseman, chats with @securitymag about the need for unified communications as states implement vaccine rollout strategies.",""
"1430260136786812929","Here’s a guy who’s spreading disinformation about the Pfizer vaccine on Twitter. You know what to do.",""
"1415978362527440902","Good morning Twitter family! I hope you have a great day! 2nd day post vaccination and I feel just fine! Anyone who worries about the 2nd vaccine, don’t, it’s a piece of cake! Blessed be!💜💜💜",""
"1407612147157372928","U.S. Surgeon General Dr. Vivek Murthy on importance of vaccination in face of COVID-19 Delta variant  via @msnbc",""
"1415978227479334913","i can't even show how happy and emotional i am i repeat it but i'm in the thing to get vaccinated idk how it's called but yeah",""
"1423927480835006466","White House Mulls Withholding Federal Funds From Companies That Don't Force Employees to Get Vaccinated",""
"1392913257929736193","CDC says vaccinated people can take masks off indoors and outdoors - The Hill",""
"1401720794586157056","Need to watch SWAT 
Got the first round of the Covid-19 vaccine on Thursday morning and I am really having a bad reaction to it
Sending much LOVE and positive vibes to SWAT. @jayharrington3 @TheKennyJohnson @breblair1 @PeterOnorati @helens69 @Np18Adriana Check out SWAT Wednesday",""
"1449239937992183810","I really hate to be the bearer of bad news but mandatory vaccinations/proof of vaccination is not new……..like……..yall had to have a “vaccine passport” to be enrolled in public school",""
"1374096949587161090","Fauci to star in children's book featuring vaccine information",""
"1392519442987372544","Revoltante ouvir a confirmação por parte do ex secretário da secom de tudo que envolveu a omissão do governo diante da vacina da pfizer. 

O pior não é apenas a omissão do governo, mas a evidente prontidão da pfizer em fazer de tudo pra fornecer as vacinas. Prontidão ignorada.",""
"1405631631994535943","#Fauci says some 'breakthrough' infections after vaccinations 'inevitable'",""
"1396012935248416776","Slap on face of all the great people questioning change in vaccination schedule

‘A three-month gap between two AstraZeneca doses gives better protection – we developed our vaccine for equity, not profit’
 
Download the TOI app now:",""
"1438130960185315331","Sadly we have patients who would rather die than receive blood from a vaccinated donor. We call on the @US_FDA @RedCross to combat misinformation. @DrGSBooth1 @loralybi Refusing blood transfusions from COVID‐19‐vaccinated donors: are we repeating history?",""
"1384548799469826048","last night i asked danny if he was okay with my mom being anti vaxx &amp; he said he is too ☹️ why is every beaner insane",""
"1380694587405172739","Anitra Bradley speaks on how the Community Build x Lyft service has made it easier to get to her vaccine appointment. South LA residents who need a ride to Covid vaccination appointments or need to schedule one can visit  #lyft #vaccine #ridesharing",""
"1405929047851294721","Women during the vaccine trials: “hey this is crazy but not only is my period heavier and more painful, but it has become a giant vulture woman voiced by Angela Lansbury .”

Pharma companies: lololol but technically you’ll be ok",""
"1417933974807224320","LA County Resumes Indoor Mask Requirements, Whether Vaccinated or Not  #foodRecipe",""
"1396127831604617225","Phenomenal step taken by the Supreme Court Bar Association for arranging around 2500 doses of vaccine for the members,their families and also registered clerks &amp; their families this is in addition to 50 dosage per day by the Delhi Government. #SCBA #VaccinationDrive #SupremeCourt",""
"1385626274283114509","Not me crying a little bit after getting vaccinated like omg this year was so shit",""
"1446062840134074375","For those interested, this is how India beat COVID, with a vax rate less than 5%.

Home kits with these components were handed out to families.",""
"1378225425306898438","“There is no such thing as a ‘perfect’ vaccine which protects everyone who receives it AND is entirely safe for everyone.”

- @WHO 
Adverse events following immunization (AEFI) 


Yet, mandatory vaccination of ALL children &amp; as their “right” !? @WHOMaldives",""
