"id","text","label"
"1423928772517146625","I got the vaccine but I’d be utterly humiliated if I heard writers for The Atlantic respected me.",""
"1438216329417297920","@womensmarch Where the hell are you? We should be marching for the women in Texas, marching for a vaccine and mask mandate and demanding the full rights of women. We had a powerful movement going. What happened?",""
"1395614966808338436","By getting vaccinated you are not only protecting yourself but also your loved ones around you. Vaccine improves your immunity and stops the spread of disease. So get your jab! #vaccinate
@CMofKarnataka @sriramulubjp @BSYBJP",""
"1423651549545304064","Can’t they do a vaccine campaign with celebrities like they did for milk or voting",""
"1382392173472182274","Däitschland/Gesondheet: Dass eeler Leit elo alt den AstraZeneca ofleene, fir villäicht an e puer Méint kéinten e Pfizer Vaccin ze kréien, ass ""net an der Rei,"" sou den Dr. Drosten. Ween elo eng Impfung ofleent, ""hëlt déi herno 1 Jonken ewech."" –  [de] (NDR)",""
"1384950025596375043","What's better than free? A FREE vaccine without an appointment. Protect yourself and others and get vaccinated. It's as easy as one, two, three. 
1. Walk In 
2. Get Vaccinated 
3. Walk Out 
Click --&gt;  for details.",""
"1437045772076396545","@PlutoTV Geezus! How many damn vaccine commercials can y'all obsessively play in a day. That's like literally all y'all play. Y'all play more of them than the damn shows. No one gives a shit",""
"1396004652139823104","COVID-19 Vaccination appointments available at CVS near HATBORO, PA. Sign up at  2021/05/22 07:27:00",""
"1402702051084148738","#Health Hundreds of new cases a day are people who had the vaccine twice – third wave warning",""
"1400205334866665473","COVID-19 Vaccination appointments available at CVS near LEMOYNE, PA. Sign up at  2021/06/02 21:39:00",""
"1415971295204839426","Opinion: If college football players skip vaccine and COVID wrecks their season, it's their own damn fault #SmartNews I can’t wait for high school football in Texas, the Republican moms and dads deserve it. LOL bring on Delta. LOL dumb Republicans.",""
"1393392131952238592","fuck wdw and universal for doing this so soon, idc what the cdc says not everyone is vaccinated and you can’t  prove if someone is or not! I hate this. I’m so sorry cms and tms",""
"1406553046495154178","Des documents confidentiels révèlent que Moderna a envoyé un candidat vaccin à ARNm contre le coronavirus à des chercheurs universitaires plusieurs semaines avant l’apparition de la Covid-19. – L'Informateur.",""
"1375036488291848197","Apologies accepted below from those who insulted and ridiculed people like myself who long ago predicted the arrival of the vaccine passport and all the other totalitarian population control measures currently being rolled out. 

A CCP style social credit score system is next.",""
"1390128490691928068","If USG suspends or rescind the vax patents, next time there's a viral crisis, pharma will say ""make it yourself"" and refuse to develop a vaccine. It's all about incentives, which don't stop existing because of an emergency.",""
"1442127504702115840","I’m soooooo upset I can’t go see @Kevin_Gates because I didn’t get vaccinated 🙄🥺😭",""
"1396128722554478598","Jimmy Kimmel Calls Vaccine Avoiders What They Really Are In Blistering Takedown  via @Yahoo",""
"1443251944479416326","EXCLUSIVE: U of A health professor says the vaccinated are more likely to contract Delta variant - The Western Standard",""
"1419699772559007756","Medical groups call for mandatory vaccination of U.S. health care workers.",""
"1420072362561753091","CDC: We recommend indoor masking for fully vaccinated ... again",""
"1447996609292288005","White House says Texas order barring vaccine mandates is about politics, not science",""
"1424116793656844292","You cannot simultaneously argue in favor of either #MyBodyMyChoice or #HIPPA *and* mandatory vaccination or vaccine passports.",""
"1415978362527440902","Good morning Twitter family! I hope you have a great day! 2nd day post vaccination and I feel just fine! Anyone who worries about the 2nd vaccine, don’t, it’s a piece of cake! Blessed be!💜💜💜",""
"1442307034917998595","COVID-19: Health Minister Greg Hunt reveals aim to begin mRNA vaccine manufacturing - Epidemiologist Mary Louise McLaws thinks NSW and Victoria should bring the gap between Pfizer doses down from six to four weeks.“I’d sug... -",""
"1415701275333648392","สาเหตุที่เลือก Moderna ไม่ใช่ไรนะ ชอบชื่อ 555555555555555 ล้อเล่นๆ ประสิทธิภาพด้วยๆ",""
"1392919811412291587","Wolfing down lunch while walking around your house in headphones (re)scheduling your  kid's pandemic vaccine appointment and participating in 3 text conversations and an up-the-staircase convo with spouse while waiting for your team's burnout seminar is a 2021 moment.",""
"1417683529232576515","Over 15k get vaccine shots, 43 sites to be set up today",""
"1396187328654110720","OH in line: Bill Gates gets $17 for every vaccine (which wouldn't even be worth it for him, that'd be what, 4 percent of his net worth?)",""
"1405924006327427072","PETITION: No to mandatory vaccination for the coronavirus",""
"1373157938882347008","Desaparecen otras 7.020 vacunas de Pfizer del último informe de Sanidad - Vozpópuli",""
"1374111021573488640","As @UNCTAD points out, ""the refusal by advanced countries to support a waiver on trade-related aspects of IP rights (TRIPS) at the WTO to help boost vaccine availability has signaled a priority of profits over people in the fight against the pandemic""",""
"1415385972590710788","Mothers In Action will be hosting a mobile vaccine site for AGES 12 &amp; up on  Friday7/16/21

For more information call Mother's In Action (323) 290 0456.",""
"1438944066868183041","PPE gets tiring for healthcare workers. Hospitals are short staffed, nurses are walking out because a choice whether to be VAXX or UNVAXX. Peer pressure.",""
"1419572440305479680","“I got my vaccine months back and so far all my symptoms are very mild. A little headache here and there. Sore throat and that’s it really!"" Musa Mthombeni tweeted on Sunday.",""
"1399202263621582849","How come people are wearing masks worldwide ? How come people are getting the vaccine worldwide ? Because we are in the last days and Satan is getting ready to take control of the planet. The vaccine is the beginning of the Mark of the Beast, do not get the vaccine.",""
"1389887024925069315","นี่เชื่อว่า pfizer มันฉีดให้พวกอีลีทก่อนจริงๆนะพวกเครือญาติมันนั้นแหละ แต่ไม่ใช่คนรวยทุกคนจะเป็นอีลีทอะ",""
"1432388081215148034","@POTUS People who won’t get vaccinated should not be able to travel by air or train. They are a danger to themselves and others. Canada and the European Union have established these consequences. When will we?",""
"1425844044475912194","The @CDCgov and @ACOG both highly recommend the COVID-19 vaccine for all people above age 12, including: “people who are pregnant, breastfeeding, or trying to get pregnant now or might become pregnant in the future.”",""
"1381100669722112007","🥵🥵🥵L’ancien vice-président de Pfizer : « Les gouvernements vous mentent et préparent le dépeuplement massif »",""
"1401957390518472710","I forgot to post the obligatory vaccine pic the other day.",""
"1372553922498461699","I just got my vaccine appt for March 25 and burst into tears when I saw the email!!!  Thank you @POTUS for your laser focus on COVID  the vaccine rollout.  I will never be able to thank you and your admin enough but THANK YOU!",""
"1394255909833093123","Excited to play a leading role in first ever Global Vaccine Confidence Summit on 2 June.

Convened by @DHSCgovuk, it will bring together cross-sector experts to tackle misinformation &amp; improve #COVID19 vaccine uptake.

👉  @ProfHeidiLarson @BorisJohnson",""
"1374890581286064128","Nonpatients can now schedule vaccine appointments through Essentia's online portal",""
"1392513367135371271","i got my covid vaccine today!! i have a major fear of needles but i got it done !!",""
"1429577756468252675","I would rather have Trump be pro-choice about taking the vaccine and leaving it up to us then be pro-choice about killing a defenseless unborn baby!",""
"1430925031064940545","The ironic thing about vaccine hesitancy is nobody gets to lean into “those uneducated primitive natives” like this country normally does since Benoni is busy manufacturing conspiracy theories",""
"1405042457608278016","The problem with mandatory vaccination is the removal of human right in protecting one’s health and life, including the choice of vaccine to use.",""
"1416749772317368320","@SaltyCracker9 👇🏻 Breakthrough COVID cases lead to an estimated 79 deaths in Massachusetts, but that’s just 0.001% of fully vaccinated people",""
"1451928239111348232","#Covid and #Flu boosters done ✅...great to see @michwhit too, what a 🌟volunteer and Govenor supporting the vax team 👏👏 @UHD_NHS @OHD_UHD @OD_UHD_NHS #Wellbeing",""
"1418103692335542277","Fox News treats its viewers as fools with latest vaccine disinformation campaign  #SmartNews",""
"1396183917800087554","Ive been Vaccinated Short-Sleeve Unisex T-Shirt  via @Etsy",""
"1405633101846519812","All adults in Ontario to be eligible for 2nd dose of COVID-19 vaccine by June 28, province says | CBC News",""
"1414322279228461059","If you can still get sick after being vaccinated what does that tell you about the vaccine?",""
"1378980310348660738","Not in my top ten obviously, but one of the things I’m looking forward to this summer is protesting, lawfully but noisily, at businesses that go in for vaccine passports. 

Slippery slope arguments are unfashionable, but sometimes true. This one must be fought, hard and fast.",""
"1448328920240033793","He asked why dumbass!!
Answer the fucking questions! Why are the illegal aliens/migrants not getting vaccinated you fucking hypocritical b🤯tech!!

⁦@PressSec⁩ @Jenpsaki ⁦@FoxNews⁩ ⁦@Telegraph⁩ ⁦@RealCandaceO⁩",""
"1425507234310668292","O'Toole says all Canadians should get a shot as Conservative MP calls mandatory vaccination 'tyrannical' | CBC News",""
"1447987044358111233","Biden's Vaccine Mandate Is Only a Press Release, It Doesn't Actually Exist via @WestJournalism",""
"1396859301734633474","👋 Bakersfield, States offering vaccine incentives by 23 ABC #News | KERO 4 minutes ago 1 minute, 6 seconds 2 views - Video 🌠FOLLOW ME I FOLLOW BACK!!👊",""
"1394408477477441545","To all of you, people living in the States. Please, go and have your vaccine with your nearest site authorized for such activity. If I was there, if I had the chance to travel, I would take my entire family with me so that they could ensure their dose. Please, do not hesitate. Go",""
"1432638009132859395","""Japón suspende 1.63 millones de dosis de la vacuna Moderna por contaminación""",""
"1415991287510040576","Every State should *Accelerate"" the Vaccination drive, as the target is set to vaccinate the every citizen of 🇮🇳 is by the end of this year.

Mission Vaccination✌️",""
"1395673339461476356","Don't delay it, when you know it's your best shot! Get yourself and your family vaccinated as soon as it's possible! Hit up  for more.",""
"1430876714423373831","For the third time — Yes, the Pfizer Vaccine was approved by the FDA… Infowars explains…",""
"1384545752492429313","Maltese &amp; Polish scientists &amp; researchers entered an agreement that will increase opportunities to collaborate &amp; share research in the medical sphere, especially in the field of cancer immunology &amp; cancer vaccine treatment while opening new doors for research grants. @UMmalta",""
"1396875503160623110","PETITION: No to mandatory vaccination for the coronavirus",""
"1416747690159841280","Perhaps all 3 of these classify as #Misinformation. 

1. The earth is flat.
2. The Covid-19 vaccine is bad for you and will probably kill you or make you sick.
3. God loves you. 
#ThinkAboutIt",""
"1445056060088360969","@publicsenat vous pourriez vous sortir le doigt du cul et travailler sur la fraude/évasion fiscale au lieu de nous casser les couilles avec le vaxx obligatoire ?
En gros, ça serait bien que vous arrêtiez de faire de la 💩 avec nos impôts bande d'assistés.",""
"1391012272701546502","Vaccine Crisis का नैरेटिव इसलिए तो मैनुफैक्चर नहीं किया जा रहा कि किसी तरह दबाव बनाकर Pfizer को और China की वैक्सीन को India में अप्रूवल दिलाया जा सके ?@ndtvindia @aajtak @ZeeNews @RahulGandhi @priyankagandhi @rssurjewala @sardesairajdeep @ShashiTharoor @KapilSibal @digvijaya_28",""
"1443005295396114435","I hope @JustinTrudeau is making sure the people who get let go for not getting vaccinated are not collecting unemployment benefits.

The only way out of this is mandatory vaccinations.

Problem is leadership is not there yet, more debt may get us there.
#MandatoryVaccination",""
"1430253906093821960","💉✅ As of today, 2 out of every 3 people in Spain have been fully vaccinated against #COVID19, with over 75% of population having received at least 1 dose. 

Spain is dedicated to getting our population, and the world, vaccinated, for the safety of us all.

#YoMeVacunoSeguro",""
"1424898750842028034","""don't listen to the CDC. you don't need a vaccine!"" - a vaccinated Republican",""
"1379940065367969797","More Universities Are Requiring Students To Get A Coronavirus Vaccine",""
"1409721111391051784","So heres my chika, I was about to have my covid vaccine (SINOVAC). I was so excited and happy. Not until nasangit kos blood pressure check. AHAHAHAHAH",""
"1395998038129250304","No country will be safe until every ember of the wildfire that is #COVID19 is extinguished. AHF is calling on governments, vaccine manufacturers and international public health institutions to VOW to protect humanity and #VaccinateOurWorld! #VOWnow at",""
"1423225672839876610","Canadian doctors, nurses groups call for mandatory vaccination for health-care workers  via @citynewsottawa   Sh*ts about to get real, this is the beginning. In 2016 CMA was calling for an end to all non medical vaccine exemptions",""
"1417198241305743364","Eu não sou a favor de quem escolhe vacina, mas agora que estão dizendo que a Pfizer faz os peitos crescerem... Sou obrigada a escolher 🤭",""
"1421430684195885060","@JustinTrudeau @fordnation @JimWatsonOttawa In light of recent CDC studies showing the susceptibility of fully vaccinated to the Delta variant, it is time to increase pressure on the unvaccinated. Proof of vaccination, mandatory vaccination and other pressures are required.",""
"1428294683520815105","Pfizer, AstraZeneca Covid vaccines less effective against Delta variant: Oxford-led study",""
"1398405229297782787","Hey yall! 
Tomorrow im getting my 2nd dose of vaccine for Covid and I  have my final exam on  the 3rd of June so I wont be doing much art, after that ill be completely free from Uni &lt;3 

Thanks for being patient with me, especially those who commissioned me",""
"1392841860654112774","CPI da Pandemia ouve o gerente-geral da Pfizer na América Latina - 13/5/...  a través de @YouTube",""
"1405631627192016901","Really?? 🤔

mRNA vaccine now preferred as second dose following AstraZeneca shot: NACI",""
"1415978413731553280","I told my child’s father I wasn’t comfortable with him being around me  or my child if he’s not vaccinated. Now the anti vaxxer is getting vaccinated 🙏🏽😎 He know I do not play about my damn baby.",""
"1373741813790482435","I’m gettin my vaczzzzine!
I’m gettin my vaczzzzine!
March 24th Pfizer 1st dose!
#COVID19Vaccination",""
"1395651109104934913","banyak benda kena hold atm yea, vaccine kena mntk advice my gyne dulu, retinol serum n hair supplement. tapi hair supplement ni utk melebatkan je lebih rambut ni pun dh mcm bakul lebat nye. cuma nk cari utk sihatkan scalp n rambut je for now.",""
"1442954532351197184","“…an unvaccinated 30-year-old has less chance of dying than a vaccinated 45-year-old.”",""
"1438110286628655109","Lieutenant Colonel Quits 19-Year Army Career Over Biden Vaccine Mandate; Forgoes Pension Over “Marxist Takeover of Government” @PublishedReport",""
"1411016127170420739","Orff | Carmina Burana - Fortuna Imperatrix Mundi - 1-2  via @YouTube 👏👏👏 tonosi ithikou&gt; before total invasion of the ""Delta variants"" Get vaccinated and erapture safely!!!",""
"1405618022371442690","Vacunas contra COVID-19 de Pfizer y Moderna no causan infertilidad masculina, revela estudio",""
"1391024274064953349","I wonder why no one is asking who the scientists are at Pfizer and Moderna? The ones who created the jab. Where are they from?",""
"1378224941603020804","We are pleased to share that our Manufacturing Units &amp; Head Office employees have been medically vaccinated against the ongoing #COVID19 pandemic to ensure associates' safety and well-being.
#covid19vacccine #COVID",""
"1441226350417698825","China’s first mRNA COVID-19 vaccine production base to be put into use in October - Global Times",""
"1373466044518572039","Commentary: Chinese vaccine diplomacy in Southeast Asia seeds goodwill but has limited strategic gains",""
"1407626868661043201","@SoniaPoulton HUGE RED FLAG BY DESANTIS 
The Governor of Florida who banned vax passports secretly slipped in a clause that allows FORCED VACCINATION for future pandemics. You can read it all yourself in senate bill 2006

#DeSantis #ForcedVaccination",""
"1416213924165390338","Going to a Cardinals game in downtown St.Louis will put this vaccine to the test. I can smell the Delta Variant in the air.  Might be the same sour kraft + B.O smell as I remember, but who knows. God Bless...",""
"1402700245352517635","C’est bon le canton de Bâle s’est enfin réveillé. Ça vaccine à tour de bras des profils plus jeunes et pas à risque. 
OSEF du pourquoi les gens de vaccinent. Ce qui compte c’est de maximiser la couverture vaccinale pour reprendre un semblant de vie.",""
"1375810433777496067","Hundreds protest in Melbourne ahead of vaccine rollout | 7NEWS  via @YouTube ,no mandatory vaccinations",""
"1385621503937368072","Survey: Faith Leaders Key to Combat Vaccine Hesitancy Among Religious — And Qanon Believers",""
"1439638110313320450","What’s the point of matching with someone just to send this? 

For context I have swipe left if you’re not vaccinated and don’t wear a mask.",""
"1378019296350244864","How one state is tracing 'vaccine breakthrough' cases: fully vaccinated people who test positive for COVID-19",""
"1375830355719032837","We're hiring! Read about our latest job opening here: Pharmacy Technician– COVID 19 Vaccine Support -  #Emporia, VA #pharmtech",""
"1379925659632480260","being vaccinated does NOT mean you can apply to law school to win back your ex, befriend his new fiancée, help a nail technician find her voice and teach the world about ammonium thioglycate",""
"1410511308814831617","I don’t support the mandatory vaccination of people who work in aged care homes but any person who refuses to be vaccinated should not be allowed to work in an aged care home.",""
"1396750393942679552","Good morning!  In covid news there have been 198,267 people vaccinated across Wakefield and 113,800 people have had their second jabs. Anyone aged 32 or over can now book  through the link below or by calling 119, without waiting for a letter.",""
"1382958161473241089","I hope thiis flies too. What I like here, and Biden and harris know, why the media got the J&amp;J vaccine wrong. @PostOpinions @JRubinBlogger @washingtonpost",""
"1446868846493814789","a pfizer me apodreceu de dentro pra fora meu Deus 100% moída destruída acabada",""
"1379144581669736449","Curious.. is the vaccine supposed to kill off the takers or just turn them into superspreaders to kill off the nontakers?",""
"1389085047165227010","selena gomez Blonde
selena gomez concert
selena gomez vaccine
selena gomez host
selena gomez Vax Live
selena gomez baila conmigo
selena gomez OMITB🖤",""
"1415972077614608387","Officially fully vaxxed yesterday &amp; I couldn’t be happier 🥳 
#COVIDVaccination #vaccinated",""
"1442490462552694786","""An effective non-vaccine intervention would jeopardize the rushed FDA approval of patented vaccines and medicines for which the pharmaceutical industry stands to rake in billions upon billions of dollars in sales on an ongoing basis.""",""
"1375057831502753794","Just put my bash hat on for when I get home .. 

Current Mrs Turner has just had the vaccine ...",""
"1396067234552979462","A simple way to get most of the #COVIDIOTS to have the vaccine is to tell them that the @GovernmentZA opposes its use.

They mocked Tshabalala-Msimang for shunning modern medicine and now they do the same.",""
"1403120999286071304","so i got my second vaccine today and slept 6 hours and you’re telling me i missed so much content😐😐😐😐",""
"1397349603930902529","@covid_canada : In validating some of my numbers I happened to notice on the main  page if you select ""Vaccination per 100k"" in drop down list I get the same results you do for each prov except for Canada's vax rate at bottom.",""
"1428057684042043400","Biden Administration Plans To Begin Providing Covid-19 Vaccine Booster Shots Sept. 20 : #analytics #googleads #facebookads",""
"1415392634747506690","PETITION: No to mandatory vaccination for the coronavirus",""
"1446086725831385094","@GovStitt With your position on “no gov’t vaccine mandates in OK” where are we in pushing back on this? Many have been given deadlines of Dec 8, 2021 to get vaccinated or lose their jobs. What can people do to stay employed while making their own choice for their health?",""
"1415978227479334913","i can't even show how happy and emotional i am i repeat it but i'm in the thing to get vaccinated idk how it's called but yeah",""
"1374081205839278085","CVS question: How Can I Make An Appointment For The Johnson Vaccination At The Tempe,az Cvs St -",""
"1418258790391197699","So, who should be deplatformed for spreading COVID disinfo: #DementiaJoe for saying the vaccinated can't catch COVID, or @CNN for reporting that the vaccinated can catch COVID? 🤔",""
"1438375652630175749","SARS-CoV-2 Neutralization with BNT162b2 Vaccine Dose 3 | NEJM",""
"1385173760852914178","Stitch I got vaccinated but I still want some of you to stay away from me shirt",""
"1425838507046539276","The term 'breakthrough infection' raises doubts about vaccines -- but it shouldn't",""
"1391669134887251976","#ModiKaVaccineDisaster

भारत की कुल आबादी का ये कितना % हुआ?

Vaccine आने के बाद, per day vaccine देने की दर कितनी है? 

इस speed से पूरे भारत को vaccination करने में कितने महीने लग जाएंगे?

अगर vaccine की कमी है तो दूसरे देशों से import क्यों नही कर रही केंद्र सरकार?",""
"1428076415849730057","Un estudio revela la fortaleza de la vacuna de Pfizer frente a la variante Delta  a través de @diarioas",""
"1418074142939615232","1/2.  Credit: Truth Seekers
Unbelievable! New CDC document shows that PCR tests for vaccinated people will use a 28 cycle threshold.
The CDC guidelines set a 40+ cycle threshold to inflate the Covid-19 statistics.",""
"1427024153245327360","Fraudci: He Doesn’t Trust Major New COVID-19 Vaccine Study
 
 
Download our app to read more at",""
"1390122021594542083","Put the vaccine in a shot glass and I bet you dumb bitches would take it.",""
"1427982860091338753","@DrEnriqueParis @pdazan @ministeriosalud Otra vez sin stock de Pfizer en @SanBernardocl.  Así seguimos inventando rezagados para las estadísticas.",""
"1405268194281934849","COVID-19 Vaccination appointments available at CVS near BEDFORD, PA. Sign up at  2021/06/16 20:57:00",""
"1422983204764405760","Fighting stigma —  AC Immune Reports Second Quarter 2021 Financial Results and Provides Corporate Update: Expanded Phase 1b/2 anti-pTau Alzheimer's vaccine trial in collaboration with Janssen Pharmaceuticals, Inc. to support the program's continued ...",""
"1427905525228969987","So im double vaccinated now hennys! She's a pfizer queen! 💙 💕 😊 Hope you all have an amazing day! 💙 💕",""
"1415249359319482370","Covid vaccine: AstraZeneca scientist Dr Green says the jab is 'pretty much salty water'",""
"1419789805521616900","Get vaccinated if you can, COVID-19 still poses a big threat to our community and the vaccine is the best way to eliminate that threat!",""
"1415328183864397833","'Killing kids to own the libs': Americans horrified after Tennessee shuts down all child vaccination programs  #KillingKidsToOwnTheLibs",""
"1375820306170793991","#NewsWorldNorwayCoronavirusAstrazeneca Norway delays AstraZeneca vaccine decision for 3 weeks -",""
"1392846086755209217","A pair of senators told the Federal Trade Commission on Thursday to protect Americans against travel scams as vaccinated persons splurge on big trips. Read more...  #ENMNEWSPOLITICS",""
"1405561440745005064","Hundreds of vaccinated Indonesian health workers get COVID-19, dozens in hospital #SmartNews",""
"1397995222265643011","The White House has partnered with Snapchat to push the Coronavirus vaccine on teenagers.

Snapchat has created an augmented reality lens so teens can mimic ""informational"" video calls with Biden, Kamala Harris, and Fauci. 

1984esque creepy.",""
"1378247433331879939","As the Dumbarton &amp; West Scotland candidate for @ScoLibertarian, I will fully oppose mandatory vaccination laws and mandatory face mask/visor laws as well as oppose vaccine passports.",""
"1388508737183260672","Israel’s Real-life Evidence That Vaccine Can Prevent Severe COVID-19  via @JAMA_current part of @JAMANetwork",""
"1444153602474340357","All the poor children in the state of California will now be forced to take a vaccine that they absolutely don't need all because Gavin Newsom is on a power trip.",""
"1405692312282304513","Los efectos secundarios de cada vacuna en porcentajes: Pfizer, Moderna, Janssen y AstraZeneca",""
"1442243755512197121","Hey @iantostenson, I'm curious how supporting #vaccineapartheid is going over with your members right about now? - B.C. quietly steps up enforcement on restaurants refusing to check vaccine passports",""
"1378272239687065610","PETITION: No to mandatory vaccination for the coronavirus | LifePetitions",""
"1427040964397486081","Pandemic or no pandemic, vaccinated or unvaccinated, if you can’t go five minutes on a plane without hacking up a lung, you probably shouldn’t be flying. #germs #justsaying",""
"1442131719226740737","PATHOLOGICAL LIARS ON THE DOUBLE VACCINE  via @BitChute",""
"1415972073210589185","Don’t forget to maintain safety at vaccination sites- #WearAMask #SanitiseHands Avoid close contacts! 

And even after you are vaccinated- remain vigilant- it takes time to build up immunity. 

#VaccineRollOutSA",""
"1400719717401309184","Istg so I got my first vaccine like a few days ago… TWO DAYS AFTER THAT THE PSHYCOPATHS (my eye doctors) FUCKING TRIED SHOVING SHIT IN MY EYES LIKE BITCH NO I WILL GLADLY JUST, 🤜👩‍⚕️ THEN 🏃‍♀️💨🏥",""
"1414932184738275333","SHOCK REPORT: There Were More COVID-19 Vaccine Deaths Last Week in US than COVID-19 Deaths  via @gatewaypundit",""
"1423387090256072710","coworker asked if I looked up the vaccine ingredients. I said “why would they make sense to me I’m not a rocket scientist”  

she said sheepishly that “it seems crazy to do actually” but she looked up every ingredient and won’t take the vaccine bc one is “weird”. 🙄",""
