"id","text","label"
"1415991287510040576","Every State should *Accelerate"" the Vaccination drive, as the target is set to vaccinate the every citizen of 🇮🇳 is by the end of this year.

Mission Vaccination✌️",""
"1442956637610778625","To TikTok καταργεί το βίντεο (με 4,5 εκατομμύρια προβολές) του 21χρονου φοιτητή/αθλητή John Stokes θύμα μυοκαρδίτιδας πιθανώς λόγω του εμβολίου Pfizer σύμφωνα με την Ιατρική Γνωμάτευση!!!",""
"1405633188865527808","Let these anti vax idiot pay the concert insurance.
 via @Yahoo",""
"1416751472084230144","when will y’all learn you can still get sick after you’re vaccinated it just makes it less of a miserable time",""
"1409768161889640450","Uitvinder van de mRNA vaccins roept op tot terughoudendheid m.b.t. de #covid vaccinaties.",""
"1385897344114348037","NJ Gov. Phil Murphy toured the Perlmutter ShopRite vaccine site in Toms River in an effort to get 4.7 million New Jerseyans vaccinated by June 30.",""
"1438133921967796227","55:30 mark ""They're waiting to put the vaccine on the children's mandatory vaccination list because then it has full immunity.""",""
"1443017715636129793","The Alberta Teachers’ Association says is supports implementing a mandatory vaccination policy for all school staff.",""
"1375897860236046340","I just tried to schedule a vaccine appointment and no where is available yet all over the NYC Vaccine website shows that they’re available. Why are they requiring to put in your information before scheduling? Is the availability based on race? @NYGovCuomo @NYCMayor",""
"1375057025302990849","Compensation for victims of Covid vaccine injuries is limited via ⁦@jennyanne211⁩ ⁦@khernan_⁩ ⁦@CNBCinvestigate⁩",""
"1377713825248591872","As state mandates come to an end, we encourage everyone use precautions that work to keep COVID-19 from spreading. For the sake of everyone waiting for vaccine and those who can't be vaccinated, commit to keep our community going in the right direction &amp; help beat this virus.",""
"1431085307370237959","The NFL says 93% of players are vaccinated for COVID-19 and the league wanted mandatory vaccination but the NFLPA wouldn’t agree to it.",""
"1377736946387140612","I can’t believe I just saw a title saying “covid vaccine lasts 6 months” that’s so misleading. Morons will think it’s not a permanent antibody. The first working vaccine was 6 months ago, so it’s still working... come on man don’t write shit like that",""
"1389233059451523074","#FACT: ""This is the paradox we’re dealing with as we try to get control of the virus: People who won’t get vaccinated - in many cases, the same people who defy mask orders and other public health measures - are holding us back from resuming normal life.""",""
"1432774763164938243","Mormon Vaccine Push Ratchets Up, Dividing Faith's Members",""
"1409422266891259907","Today got first dose of the covid-19 vaccine. I humbly request to all people should get vaccine and escape from Rumors 🙏🙏
#Covishield #Vaccinated",""
"1426288363510898691","#antivaxxers aren’t voting Liberal anyways, but a lot of people who are vaccinated and want some assurances will consider voting Liberal.  Today’s mandatory vaccination measures is good public health policy and offers NO political downside.  Smart move all around.  #cdnpoli",""
"1393378538301005824","CDC says if you’re fully vaccinated u can baby bird ur friends in public",""
"1409442347801210882","Lets be realistic, Covid not going to end anytime soon. Vax and quarantine are best solutions, @jensspahn says vax is best protection.
#EmploymentVisaGermany
#ExemptEmployeeTravelBan
#JusticeForIndianEmployees
@AmbLindnerIndia 
@HeikoMaas 
@MEAIndia 
@PMOIndia @WIONews @rki_de",""
"1427031125843746819","Several people gathered in front of LA City Hall to protest the contentious issue of mandatory vaccinations against the coronavirus.",""
"1398221281238061056","A Tennessee woman is facing charges after she sped through a COVID-19 vaccine event Monday, narrowly missing National Guard and Blount County Health Department personnel with her vehicle.",""
"1377719982826651659","Parents of children with complex medical needs who are at greater risk for serious COVID-19 symptoms might especially want to know if their child’s teacher or aide is vaccinated prof. Stacie Kershner said.",""
"1430881735802122248","El inventor de las vacunas ARNm sugiere que lo sucedido con los viales de Moderna en Japón debería “ayudar a llegar al fondo de la hipótesis del grafeno”  #Ciencia #Editores #Gente",""
"1424110202983526401","Don't get vaccinated, or get vaccinated if you want, but this is America and I will not be mandated to put something that I have no need for in my body.",""
"1376224348164517893","Things Nicola sturgeon can do to amend;
Accept intelligence as an independent country 
Fix party reputation 
Priority of covid more vaccine (?) NHS schools and businesses open safe

Fix attitude problem that is seen as it sends a bad image that you deem that acceptable behaviour",""
"1430919719662596103","Quebec vaccine passport safe and a model for the country, say cybersecurity experts",""
"1391664977908420610","@SetuAarogya @rssharma3 
On reaching for appointment slot at khandala, near lonavala primary health centre, we are told that vaccine doses are over despite appointment. What to do?",""
"1405624502021722113","Se dan cuenta que  Pfizer no es una poción mágica JXC??Ejemplo Su Gimenez",""
"1394236474074140675","This COVID-19 vaccine tracker will notify you when vaccine slots become available near your location 🇮🇳  via @labnol",""
"1396741282869899264","Heart Problems in a Few Younger Vaccine Recipients Are Under Investigation",""
"1382966718969036802","Astrazeneca und J&amp;J-Debakel: Curevac-Vakzin stößt auf reges Interesse

Berichte über seltene Thrombosen werfen die Impfstoffhersteller Astrazeneca und Johnson &amp; Johnson zurück. Der Tübinger Konkurrent Curevac springt in die Bresche und registriert weltwe…",""
"1391653818442600448","India Covid deaths 242,000. 
Media: ""Shocking, cataclysmic.""

UK Covid deaths 128,000. 
Media: ""Boris hasn't done bad has he? Done his best. Vaccination is going well.""

The population of India is 1.366 billion.

Johnson has killed more UK civilians than Hitler.
Not a story.",""
"1400050072210051074","This Ominous Warning From Moderna Could Shake Up the COVID Vaccine Market @themotleyfool #stocks $MRNA $PFE $BNTX",""
"1389237222650568706","Not all mRNA vaccines are made equally. $CVAC with dramatically lower neutralization titers (relative to HCS) compared to $MRNA $BNTX $PFE. 1X vs. 4X HCS.

With variants in the mix, I'd expect vaccine efficacy to be around 70-80% with a horrible tolerability profile.",""
"1413231819701501954","Le Pentagone envisage de rendre obligatoire la vaccination contre le #COVID19 pour le personnel militaire.",""
"1448629018669076480","95% Natural recovery rate vs 95% Vaxx rate... The psychology is real, deeply imbedded"" Pan-African ✊🏿",""
"1375046294922797057","I would like to thank the EU for this. YOU have fooked it up for the world   Well done  Never again! AstraZeneca to scrap jabs at cost after repeated EU attacks 'Beggars belief!'",""
"1391008578627018755","Is there any plan to start Vaccination cnt for Taxpayers Only?
I can see list of vaccine center's with heading of some category of people only. It feels we are making mistake by paying regular taxes as we will be at last prio...
@PMOIndia @9nathban @nsitharaman",""
"1379925213387784205","Coronavirus Update: Nearly one in five U.S. adults now fully vaccinated",""
"1439616545777389571","I’m confused at how the vaccine reduces transmission because you don’t have symptoms but they’ve been telling us to be careful of asymptomatic people this whole time?",""
"1422953267072536577","Fit, healthy 42-year-old father who refused vaccine dies of Covid ‘wishing he had listened’ - The Independent",""
"1372527789551812611","After seeing an additional $1,400 in my bank account this morning, my optimism about getting the vaccine today went up.",""
"1448854673713242114","Navy releases guidance to discharge sailors refusing COVID-19 vaccine",""
"1405029516611887106","Esclavitud moderna en Furukawa empresa rural de capitales japoneses en Ecuador. Condiciones de trabajo infrahumanas, sin agua potable, luz y saneamiento. Jornadas laborales de más de 10 horas, sin seguridad social. Hacinamiento. Igual que las semilleras aquí hasta que llegó AFIP.",""
"1417205099374448640","Canada to let vaccinated US citizens enter country on Aug. 9",""
"1382395171309035522","Ministro Marcelo Queiroga anuncia 15,5 milhões de doses de vacina da Pfizer até Junho.",""
"1436455115196702735","IBM Colluded With Hitler, Now Leads In Making Vaccine Passports",""
