"id","text","label"
"1411012120099966977","J&amp;J says shot is strong against Delta - PerthNow: Johnson &amp; Johnson says its single-shot COVID-19 vaccine is 85 per cent effective and shows strong activity against the highly contagious Delta variant.",""
"1417803170173104128","Chris Hayes Nails 'Cowardly' Fox News For Its Biggest Vaccine Hypocrisy Yet",""
"1378260207004880901","President Biden, Would You Need A Vaccine Passport To Vote? More Americans have driver's licenses than smartphones. Yet Democrats argue with straight faces that it's racist to have photo ID to vote.",""
"1427029043984076806","📷 #Repost @quebrandootabu … “Minha mãe faleceu no dia 14 de maio de 2021, a essa altura, mais de 100 e-mails já haviam sido ignorados. Talvez se a Pfizer tivesse escrito no tema do e-mail: “Copa América no Brasil” teria obtido a resposta...",""
"1442237477444534272","See where you can get your free COVID vaccine this week around Wood County.",""
"1422949184672522243","NYC Vax IDs. If you don't see the problem here, you received something from the government that makes you feel special, almost in a way better than most. Maybe you are gay and now that you can get married, you believe ""you"" are stronger, even though you didn't do anything. 1/2",""
"1415323857125322760","So Today our Ethos Group have delivered goody baskets and prayer cards to our vaccine centres at Edgehill and Birleywood plus our local health centre. All were delighted and so grateful. #ArkProject. #Trinityloveinaction",""
"1377735802956959759","PETITION: No to mandatory vaccination for the coronavirus | LifePetitions",""
"1411049000795525124","Does anyone have any links to SCIENTIFIC articles/papers about vaccine mixing? I know people say it's safe but I would like to read up on my own.",""
"1431529419387068417","Shortage of vaccine in virar west @PMOIndia @CMOMaharashtra 
@kshitijhthakur",""
"1432631711351848965","I wish they would wait until the 12-15yo kids who get public buses en masse twice every day have a chance to be fully vaccinated before bringing public transport back to full capacity. We’re so very close to that.",""
"1397943888892080128","Ugh. Covid vaccine #2 yesterday. Today, I'm feeling sooo yucky. Thankful to be streaming @BTS_twt @bts_bighit BTS BUTTER, and that the kids are coloring peacefully (for now). Those two things give me hope for better days ahead (living normal life again would ROCK).",""
"1389200293930311684","Its time for pharma companies to rise above narrow interests and whole heartedly support to remove all patent restrictios on production of Covid 19 vaccine and medicines. #Patent_free_vaccine_and_medicine",""
"1420127922099146758","Man Who Tweeted About Having ‘99 Problems but a Vax Ain’t One’ Dies of COVID  lewat @thedailybeast",""
"1415991287510040576","Every State should *Accelerate"" the Vaccination drive, as the target is set to vaccinate the every citizen of 🇮🇳 is by the end of this year.

Mission Vaccination✌️",""
"1422989442462232578","Dear white ppl: wearing a mask is not Jim crow all over. You are not being oppressed by wearing a mask.  Being exclude from a place for not being vaccinated is not medical apartheid. 

Stop just stop",""
"1442282318136102917","TIL that my mom would rather divorce my stepdad and raise my sister without a job than let him get vaccinated so he can keep his job and support the family",""
"1374911443901034497","Family making plans to get together and hug and go places to celebrate in the next few weeks and meanwhile I can't even register for my vaccine for at least another month",""
"1412665529903554564","How would you greet Shit-show Joe's vaccine police if they come to your door?",""
"1391679840701517825","1. vaccine done! 
I cried a bit but didn't have a panic attack. I am so proud!",""
"1425379583436677120","Professor Sir Andrew Pollard said vaccine stockpiles should go to unvaccinated people abroad first",""
"1389203356317532160","We don’t really know if vaccines have been distributed equitably #HealthEquity #Covidvaccine #COVID19",""
"1396066014501167105","Column: Anti-vaxxers don't deserve coddling. Why theaters should require proof of vaccination",""
"1384822127082287104","Experts: COVID vaccine may lead to false positives in mammograms",""
"1396102045032136705","COVID-19 Vaccination appointments available at CVS near LEWISTOWN, PA. Sign up at  2021/05/22 13:54:00",""
"1440826553705766912","In the waiting room after my vaccine and there’s a kid who keeps whacking a water bottle on the floor and honestly I’d rather get Covid and die",""
"1418760925566361611","We are all being lied to by the @CDCgov and @WHO about a vaccine that is not FDA approved/dangerous to be using the citizens of the nation as an experiment and the @WhiteHouse and the @WHCOVIDResponse should be ashamed for not being transparent about the vaccine and it’s dangers",""
"1386401373655240706","COVID-19 Vaccination appointments available at CVS near YARDLEY, PA. Sign up at  2021/04/25 19:27:00",""
"1386403412976173059","I knew the side effects from the second vaccine shot were coming. But that doesn't make it any easier. That's why I was sure to load myself up on Krispy Kreme and Cold Stone Creamery beforehand.",""
"1434880111451512840","#Nacionales | Durante la vacunación a mayores de 18 años, una joven del puerto de Veracruz denunció una “falsa” aplicación de Pfizer contra covid-19 por parte de una enfermera. #Checa el video 📹👇👀",""
"1373432044240388099","#MůźīķķŹøňę 
#𝘛eam𝘋øll𝘕ature
.@Twitter Got my 1st Pfizer vaccination. It's just making me tired. Sleeping a whole lot. No other symptoms so far... 💤",""
"1384964883977064453","My mom tried to tell me about getting the vaccine today.",""
"1375817223441248263","I’m getting my second dose of the vaccine today &amp; im so nervous because I don’t want to get a fever 🥲",""
"1451472460021485573","The Noida Noisemakers Channels have forgotten Kerala floods&amp;are busy with Fuhrer's vaccine propaganda.👇",""
"1384544891838115843","COVID-19 Vaccination appointments available at CVS near LEESPORT, PA. Sign up at  2021/04/20 16:30:00",""
"1384956825079005185","@DanCrenshawTX , 200 million vaccines in less than 100days. Step up congratulate @JoeBiden for doing a great job with rolling out the vaccine for Americans!",""
"1417673980849410048","Hajj 2021: Fully vaccinated pilgrims take the holy pilgrimage – Deccan Herald",""
"1423223695242407936","RT-PCR -ve report, vax certs not needed to enter Odisha | Bhubaneswar News – Times of India",""
"1375881019501469707","Dans quelques minutes, ARTE Journal évoquera la mobilisation annuelle du @Sidaction et le candidat vaccin contre le VIH du Vaccine Research Institute",""
"1393276547293982720","😂🎵🎶ohhhhh no🎵🎶🎶and it hurts me to say gurl🎵🎶🎶🎶 since I got the covid-19 vaccine yesterday🎵🎶🎶 body want to release the gas🎵🎶ouuuuu must a been  something 🎵🎶🎶 something I ate",""
"1432340685324226564","Japan probes two deaths from contaminated Moderna batch  via @rte 

@GroganRichard",""
"1441770554697162754","B.C.'s provincial health officer pleads with pregnant women to get vaccinated",""
"1400719937254088704","Scott Morrison moves to ramp up Covid vaccine rollout and opens access to 40-year-olds | Health | The Guardiank",""
"1419551947820920835","happy monday i got my first dose of the covid vaccine 💉✨

#1stdose #vaccinated #QCProtekTODO",""
"1378020917100617733","Is Ron DeSantis the only Governor who's come out against Vaccine ""Passports?"" Really?",""
"1430728370648764416","LSU has announced a vaccine mandate for home football games this fall, other schools don't plan to right now. Here's AD Greg Byrne on how @AlabamaFB will approach the decision:",""
"1411061047646117888","Booked in early to get my 2nd Pfizer jab next week! Yes!! Let’s do this! Ready for some life again #vaccine #jab #2ndjab",""
"1381585789532901382","ayer estuve comiendo con mi tía y con to su coño soltó: ""Que le den la AstraZeneca a los negritos que no tienen na y que nos den a nosotros la Pfizer que es la buena"" 😶",""
"1436088482191994887","If the Covid “vaccines” were safe, effective, and necessary then everyone in America would be vaccinated already.",""
"1430900376681607177","The FDA granted full approval for the Pfizer vaccine. What does that mean?",""
"1420362758672064519","Some thoughts on Freedom Day, vaccine passports, and the sound of tunes from club toilets from @RoyaBrehl",""
"1415978362527440902","Good morning Twitter family! I hope you have a great day! 2nd day post vaccination and I feel just fine! Anyone who worries about the 2nd vaccine, don’t, it’s a piece of cake! Blessed be!💜💜💜",""
"1425509821709574145","Queremos crear una #LeyTurismo  sencilla, directa, moderna y efectiva. Tu participación es importante. 

Ingresa a  y déjanos tus aportes. 

#EncontrémonosPorElTurismo
#GobiernoDelEncuentro",""
"1409179388265078785","Good Morning New Orleans ☀️ Today we bring you our weekly COVID-19 News Round Up! 

Today's Headlines: 
📌Over 160,000 registered for LA vaccinated lottery on first day 
📌 Delta Variant detected in LA 
📌 Nearly all COVID deaths are among unvaccinated 

#TSYIBlkHealth",""
"1445923252153556995","Denmark and Sweden Halt Use of Moderna COVID Vaccine for Everyone Under 30 via @WestJournalism",""
"1378272239687065610","PETITION: No to mandatory vaccination for the coronavirus | LifePetitions",""
"1413308150107750402","Luego de malos resultados en Israel, Pfizer planea agregar una dosis de refuerzo tras detectar que pierde eficacia a los 6 meses.
Ambito
¡Faiser! ¡Faiser! ¡Faiser! ¡Faiser! ¡Faiser! ¡Faiser! ¡Faiser!¡Faiser! ¡Faiser! ¡Faiser! ¡Faiser! ¡Faiser! ¡Faiser! ¡Faiser! ¡Faiser! ¡Faiser!",""
