"id","text","label"
"1438945725136752647","Covid, la maestra no vax di Treviso ora è ricoverata in terapia intensiva  via @repubblica",""
"1376221216676061184","Yep, woke up with this this morning.....mother f...

Doctors say there’s a new COVID vaccine side effect that causes swollen lymph nodes",""
"1445917373588987907","The window to find dirt-cheap fares to Europe is closing. The Biden administration on Monday said the U.S. in November will start allowing vaccinated foreigners from 33 countries, including the U.K., China and EU nations, easing rul",""
"1424755872027267080","I may be vaccinated but that does not mean that you can stand 3 inches away from my face to ask me a question when I am helping another customer.",""
"1419703138601295875","About time! Medical groups call for mandatory vaccination of U.S. health care workers. #MandatoryVaccination",""
"1410029797099642882","12-year-old Maddie was enrolled in the Pfizer COVID-19 vaccine clinical trial. 

She's now in a wheelchair, has an NG tube, and is suffering from severe memory loss, along with many other issues.",""
"1443242966651392013","Manager, Pharmacometrician - La Jolla, California - Pfizer #ScienceJobs",""
"1382394850918617088","CVS Health is hiring in #ColoradoSprings, CO! Read about our latest Pharmacy Technician - Retail Store job opening via the link in our bio: Pharmacy Technician– COVID Vaccine Support",""
"1397959620430155776","My dad got vaccinated today at capital hospital but he has not received vaccine certificate or sms. 
#CowinApp #vaccinecertificate @Naveen_Odisha request your attention.",""
"1418260350294757387","South Africa records 2,342,330 and sets a new Covid-19 vaccine target for Christmas.  via @BowThemes",""
"1445071083963572227","🔴 ÚLTIMA HORA | La Agencia Europea del Medicamento (EMA) aprueba una 3ª dosis de Pfizer en la población general 6 meses después de la 2ª dosis.",""
"1430271809627250709","Very excited to see the FDA put their full stamp of approval on the Pfizer vaccine! Together, we can stop the Delta surge - if you or a loved one isn’t vaccinated yet, today is the day to make your appointment!",""
"1432349105192325125","Dall'altro ieri this girl is on pfizer e devo dire che alla fine oltre a due lineette di febbre e il classico male al braccio nella zona della puntura è andato tutto bene ✌🏻 Ora il richiamo è tra meno di un mese",""
"1436075322659663894","#Dictator magatz are getting insulted by a mandatory vaccination for government employees, if they disagree just don’t get vaccinated and stay TF away from responsable people. Are over 600,000 deaths enough? , at this point only Democrats will be voting soon .",""
"1414746576501760002","THIS IS SCARY!
FDA to Add Warning About Neurological Disorder Linked to Johnson &amp; Johnson COVID-19 Vaccine",""
"1415978362527440902","Good morning Twitter family! I hope you have a great day! 2nd day post vaccination and I feel just fine! Anyone who worries about the 2nd vaccine, don’t, it’s a piece of cake! Blessed be!💜💜💜",""
"1396111537216139264","CDC lifts the mask mandate for fully vaccinated people already, indoor or outdoor. 

but also I don’t want to be classified as an R if I don’t wear mask.

but I already posted it in my IG story. 😂",""
"1419559848199417860","Plz call back Pakistani students as we are vaccinated and ready to quarantine
#takeUsBackToChina
#PmIkhelpIntlstudents
#570days
@MianZiaOfficial @SMQureshiPTIdy
Bni gobo",""
"1382856238669598720","Imagine: you meet your soulmate while standing in line to get the vax 💞😳🥰🥺🥵",""
"1451487010967851016","I don't even know what's going on with NZ - Earthquakes and Traffic Lights - I don't know, man.
Just get vaccinated so we can just move on.",""
"1378016583461834758","Smallpox ‘virus squads’ and the mandatory vaccinations upheld by the Supreme Court",""
"1377691315668971520","#SALUD: 💉 Pfizer confirma que vacuna protege durante al menos seis meses ➡️",""
"1436091589852491789","Dear .@Twitter , Every time some official tweets something re #vaccination or #COVID ,you see a bunch of posts from ppl claiming to be MDs disputing actual vax info. GO AFTER these ppl - require proof of licensure to claim ID'ing self as an MD. It's a LICENSED profession w/fines.",""
"1433779642486435840","💥💉
Think it through
He will do this!
What else would he do?
Note: Legal rights in short supply in China
⚠️
A re-elected Liberal cabinet would strip Canadians of any legal right to challenge mandatory vaccination orders, PM Justin Trudeau said yesterday.",""
"1445926212447080451","If you're in central Auckland and need to be vaccinated - here's an option for weekend of 16-17 October",""
"1378272239687065610","PETITION: No to mandatory vaccination for the coronavirus | LifePetitions",""
"1394984718790189060","Troubled Vaccine Maker and Its Founder Gave $2 Million in Political Donations",""
"1411553683871985670","My man dh vaccinated pagi td. Kejap je dia kat PPV Persada. I pun terkejut tetiba dia cakap dia dh balik rumah. 😂",""
"1442127581432533002","Jim Jordan Calls Out VP Kamala Harris For Vaccine Tweet: 'That Makes No ...  via @YouTube",""
"1393267008364597254","Rush Was More Right Than He Knew! Biden Orders Us to Get Vaccinated or Wear the Mask",""
"1409684898214940682","Pandemic tied to spike in diabetes in children; type of immune response lasts months after Pfizer/BioNTech vaccine - Pfizer #Pfizer -",""
"1436202630036869120","The article itself says, it's 10,211,537!

""COLOMBO (News 1st):  The total number of persons who have obtained both doses of the vaccine has exceeded one million, with 10,211,537 having obtained both doses of the vaccine.""

Do you have a Rosy S in your SM team?",""
"1436347565327409183","Joe Biden Is Still Fighting a Vaccine Waiver for the Rest of the World",""
"1412308447618486272","I’m not vaccine hesitant. Hesitancy implies that I’m potentially close to being vaccinated. I could not be farther away from that scenario.",""
"1396741887936155648","Thai villages isolated over variant find amid vaccine worry",""
"1403215306634366976","May kakilala ako sa USA na kakadating lang daw yung vaccine nila last 2 weeks tapos nabakunahan na agad sila. Gaano ba kabagal yung sa Pilipinas? Uy, pakibilisan naman ng konti, umako naman kayo ng responsibility",""
"1425383420885143552","Where labor law and public health clash: Unions differ on COVID-19 vaccine mandates  via @PittsburghPG",""
"1412473399599849473","Ahora si, toda la familia agendada para vacunarnos, el mismo día con la Pfizer como queríamos! VAMO QUE FALTA MENOS 💪🏽💪🏽",""
"1416778949435088899","Even though I am vaccinated with two doses of mRNA vaccine. I still
- wear N95 everywhere 
- maintain distance
- wash my hands / sanitized my hands and phones regularly
- shower when I get home
- nasal douching with saline diluted povidone (my own ent twist) 😓",""
"1433777105570091023","Orange County Health Department clinics, COVID-19 walk-in vaccine clinics, COVID-19 testing clinics, and offices will be closed in observance of Labor Day on Monday, September 6th. The walk-in COVID-19 vaccine clinic in Hillsborough will also be closed on Saturday, September 4th.",""
"1378247433331879939","As the Dumbarton &amp; West Scotland candidate for @ScoLibertarian, I will fully oppose mandatory vaccination laws and mandatory face mask/visor laws as well as oppose vaccine passports.",""
"1415978413731553280","I told my child’s father I wasn’t comfortable with him being around me  or my child if he’s not vaccinated. Now the anti vaxxer is getting vaccinated 🙏🏽😎 He know I do not play about my damn baby.",""
"1433347706391605248","On a roll! Pfizer Is Now Developing A Twice-Per-Day COVID Pill That Must Be Taken Alongside Vaccines",""
"1388867262090723335","Black and Latino Long Islanders are getting vaccinated at lower rates than whites and Asians, although the gap is narrowing. Barriers to getting appointments in the early months are the main reason for the disparities, experts say.",""
"1386759929088811012","I got my first vaccine today! These side effects ain't shit. (Yes I am only saying this so I regret the side effects later lmao)",""
"1427923647461695488","With over 88 lakh vaccine doses in 24 hours, India achieves the highest single-day vaccination mark. Meanwhile, India has reported its lowest daily new cases (25,166) in 154 days

#COVID19 #CovidUpdate 

Read More at :",""
"1396872507638968322","TONIGHT! Join @BarackObama  for a discussion abt the COVID-19 vaccine &amp; equitable access for women &amp; families on Mon. 5/24 at 2pm ET. @USOWomen, @ItsMadeToSave, @HHSGov, &amp; @Supermajority are excited to see you there! #MadeToSave #EveryIssueIsAGenderIssue",""
"1424757853475131394","Was exposed to someone who has COVID on Saturday and now I woke up with a sore throat. Luckily I am already vaccinated and so is everyone in my household but this is such a pain in the ass to deal with",""
"1423253245045223433","Why is the right not making a concerted and combined effort to call out the mandatory vaccinations as racist?  The majority of black Americans are not vaccinated.  They’re now being banned from restaurants, colleges, etc.  What is the right doing?",""
"1387209724135972871","PLEASE GET US VACCINATED SO I CAN SEE THIS MAN PLAY IN SEPTEMBER SOMEHOW.",""
"1374749234583334915","This timeline seems optimistic given the incompetence of the people in charge. PH vaccine queue calculator here:",""
"1433329384031592452","THIS IS UNBELIEVABLE EVIDENCE THAT LABOUR &amp; LIBERAL STOOD TODAY AGAINST THE AUSTRALIAN PEOPLE!  #THANQ @CraigKellyMP &amp; George Christensen #INGODSHANDS
A HISTORIC DAY: Labor/Liberal both vote FOR Domestic Covid Vaccine Passp...  via @YouTube",""
"1420072020616744963","Very fed up with unvaccinated people right now. We need measures giving huge incentives to employers to require workers get vaccinated (and to give those workers time off to do so).

I can't deal with another fucking year of this, and I'm guessing most others are in worse shape.",""
"1448609097151131648","Kyrie Irving Goes on IG Live to Address Vaccine Refusal, Being Unable to Play, More (Watch) -",""
"1438377334881591302","How significant is it that the two top FDA officials responsible for vaccine research resigned last week and this week signed a letter in The Lancet that strongly warns against vaccine boosters?",""
"1421047280535101440","Yikes the vaccine side effect is taking over hhhh i just need to stay alive for 30 mins come on :'))",""
"1448320913557045256","If your fbcking religion didnt bar you from taking all other vaccines you can just piss off with that excuse for not getting covid vaccine.",""
"1374102777014722560","Had first vaccine, a Pfizer vax. Operation Warp Speed is amazing. Thank you President Trump!",""
"1405627087608713218","@FaheemYounus  Hi doc, could you please help me? ,  have 2 doses of sinopharm 3 months ago,  now i have a chance to get pfizer vaccine at my home country. Should i take  it 1 or 2 jabs as a booster?",""
"1423216684643487746","@EmiratesSupport i have query regarding flight from male to dubai i have fly dubai ticket on 14 aug but now flight already open so can i travel before completing 14 days. I am fully vaccinated with 2 dose of sinopharm in abu Dhabi.",""
"1425512235506577408","Okay so as bad as I didn’t want to , I gave in I’m about to go head and get the vaccine 💉 !",""
"1377694512026370053","There is some kind of vaccine event Friday at the Hy-Vee at 79th and Cass in Omaha. Has lots of appointments currently available.",""
"1398389861376274437","Baby what would some of y’all do if the clubs said you gotta be vaccinated to get in",""
"1415991287510040576","Every State should *Accelerate"" the Vaccination drive, as the target is set to vaccinate the every citizen of 🇮🇳 is by the end of this year.

Mission Vaccination✌️",""
"1374079363507965961","The elderly and vulnerable are vaccinated, so I don’t give a fuck about a third wave, the young and healthy will take that shit on and bring herd immunity, or unless the vaccine is a load of shite and actually won’t stop deaths? #COVID19 #CovidVaccine #EnoughIsEnough",""
"1373708673529298947","Amitabh Bachchan hints at receiving COVID-19 vaccine – Times of India",""
"1405683511948873731","Pfizer, Moderna vaccines now preferred second dose for AstraZeneca recipients: NACI",""
"1431548702687039490","'Keep your guard up': CDC studies show waning COVID-19 vaccine efficacy as delta variant sweeps US  via @usatoday",""
"1437080589824401420","Howard Stern says people who refuse to get a COVID-19 vaccine are 'idiots' and calls for mandatory vaccinations  via @Yahoo",""
"1405046527614148610","@BBCDerby why would we give the ladies daughter the Covid vaccine when she has just had Covid. She should now have natural immunity.",""
"1443254499821465607","TFNT9: CDC and FDA vaccine committee members should resign for failing to spot safety signals",""
"1377728584459165696","Smallpox ‘virus squads’ and the mandatory vaccinations upheld by the Supreme Court It’s completely settled constitutional law to require vaccination.",""
