"id","text","label"
"1382936641287897089","Israel plans to cautiously open to tourism, from May 23. A limited no. of vaccinated tourists, travelling in groups, will be allowed to enter. Foreign vaccinated or have recovered from covid &amp; have a first-degree relative can enter,with spouse &amp; child/ren. 
More info ➡️TAG agents",""
"1442294177434255367","Have any of y’all lost family members/friends (not actual death-but parting ways) due to your beliefs in what’s REALLY going on/and or/the vaccine madness? I’ll go first. YES. 🙋‍♀️🤦‍♀️😪😡",""
"1396545227729498115","Canadian troops lining up in droves to be vaccinated with 85% receiving one dose",""
"1411293743039275011","If you initially declined the COVID-19 vaccine but you have now changed your mind, you can still book an appointment to get your vaccine. 

#ForUsAll #GetVaccinated

Visit  to book today:",""
"1373839367144415235","Rapid COVID-19 vaccine roll-out backfires in some U.S. states, study finds 
   #coronavirus",""
"1421657235453734918","Nursing homework help 

Vaccine controversies are not recent in the medicinal field. For the past 80 years, numerous opposing issues regarding vaccines have appeared.",""
"1415971295204839426","Opinion: If college football players skip vaccine and COVID wrecks their season, it's their own damn fault #SmartNews I can’t wait for high school football in Texas, the Republican moms and dads deserve it. LOL bring on Delta. LOL dumb Republicans.",""
"1384216704159338502","What We knows is that We don’t need the vaccine at all because it’s so easy too prevent from getting the convirus flu.   All we have to do is too build up ours immunity system",""
"1402830382362337283","COVID-19 Vaccination appointments available at CVS near MONACA, PA. Sign up at  2021/06/10 03:30:00",""
"1419251630843695105","ให้บุคลากรด่านหน้า 5 แสน แต่ตอนนี้เรียกให้ไปฉีด AZ คือจะไม่ให้ฉีด pfizer ให้ได้เลยใช่ป่ะ
แล้วด่านหน้าก็ต้องฉีด เพราะที่ฉีดไปมันไม่ช่วยห่าอะไรเลย",""
"1405044539677712384","That's me everytime I remember am a Ugandan 

This thing is just underrated banae 

Ate mubs then kitende after empty coffins 
Ate vaccine bajibye 

Kwegamba. 😩😩😩😩😂😂😂

Ugandans when we die we must just go to heaven kuba tubonyebonye ekimala😂😂😂😂😂😂😂

Morning #UOT",""
"1427994019968307200","Si es q no sé por qué cojones me ponen moderna con mi edad, cuando toh Dios está con Pfizer. En fin.",""
"1442523817625022468","NUEVO - El director general de Pfizer dice que la ""vida normal"" volverá ""en un año"" con ""vacunas anuales"".

@disclosetv",""
"1432256039689334785","💉 Freie Termine zur Impfung gegen das SARS-CoV-2-Virus:

Geimpft wird Biontech oder Johnson&amp;Johnson:
➡️ Mo, 30.08. · 16 – 18 Uhr
➡️ Di, 31.08. · 16 – 18 Uhr
➡️ Mi, 01.09. · 8 – 11 Uhr + 16 – 18 Uhr
➡️ Do, 02.09. · 16 – 18 Uhr
➡️ Fr, 03.09. · 8 – 11 Uhr + 16 – 18 Uhr",""
"1382944361088897027","Vaccinated Will 'Likely' Need Third Pfizer Jab Within 12 Months, Then Annual Shots - HuffPost",""
"1416451330571444225","A quanto pare il coronavirus è ancora più agguerrito.

Focolaio a Pantelleria, l’isola è maglia nera per vaccinati: “Colpa di un gruppo no vax agguerrito”  via @ilriformista",""
"1405259142831521796","NFL loosening many COVID restrictions for vaccinated players",""
"1449894466039463938","WATCH: Washington State Trooper Quits over Vaccine Mandate — ‘Jay Inslee Can Kiss My Ass’",""
"1415978362527440902","Good morning Twitter family! I hope you have a great day! 2nd day post vaccination and I feel just fine! Anyone who worries about the 2nd vaccine, don’t, it’s a piece of cake! Blessed be!💜💜💜",""
"1379903449333002242","I have natural covid antibodies n the vaccine antibodies i am invincible now.",""
"1373706893043007488","California reported 340,478 vaccine doses administered today.

48.6% (+1.3% since yesterday) of Californians 18+ have received at least one dose.

17.1% (+0.8% since yesterday) of Californians 18+ are fully vaccinated.",""
"1388402811554058241","Each day as more people are vaccinated in Lewisham, we reduce the risk the virus poses to ourselves, our loved ones and the most vulnerable in our community.",""
"1379912067130478593","Not good enough @michaelgove. I'll not have a vaccine until freedoms are returned in full and in the meantime will continue to meet friends and family behind closed doors. I'll never visit any venue which asks for any type of certification! @BorisJohnson",""
"1400451689363034135","As someone who opposes mandatory vaccinations and vaccine passports based on the ideas of individual liberty, I have to say that people who oppose them with easily debunked claims of gene therapy and other disinformation are not my allies.",""
"1382863588822544384","Budweiser is giving out free beer to those who have been vaccinated",""
"1432393797544120328","As a Canadian mother who homeschools her children, I want what is best for my kids. Vaccine passports, mandatory vaccinations, having freedoms &amp; rights stripped away is not a future I want for them. This year, I'm a member of the PPC and I'm voting PPC.",""
"1388401961947394048","Do vaccines have borders too...my father who is 65+ hv been denied co vid vaccine at phc new mihijam, jamtara jst bcz he cud not produce an I'd proof of Jharkhand... seriously @HemantSorenJMM",""
"1400218221257576452","You can’t make this up. Biden is partnering with Anheuser-Busch to give Americans a free round of beer if 70% of Americans are vaccinated by July 4th. 

I’ll buy my own piss water thank you very much.",""
"1442293971846270979","☹️現在己經没有人權，自由…這是…
Former marine gets out of the military because of the vaccine mandate.

由於疫苗要求，前海軍陸戰隊員退出軍隊。",""
"1428078828690284553","Legitimate question: if you're a Catholic, is there any impact on whether you can assert a bona fide religious objection to taking the vaccine now that the Pope has told you to take it? I honestly do not know the answer.",""
"1424758605249658881","I'm so blown that there are reports of students who are BUYING forged vaccine cards...instead of getting a FREE vaccine. 

Like....what sense that make",""
"1433756120041066500","MOH Receives Additional Doses of Johnson &amp; Johnson Vaccine -",""
"1409678000870748169","Read how Novavax's Covid-19 vaccine compares to the vaccines manufactured by Pfizer-BioNTech, Moderna and Sinovac at 
#Novavax #COVID19 #VaccinesWork",""
"1412826911705817089","Inventor Of mRNA Vaccine Technology Dr. Robert Malone Suddenly Being Erased After He Began Warning About COVID-19 Vaccination Dangers — Now The End Begins  via @Truth2Freedom",""
"1375040989732167684","Long covid, huh?

They'll capitalize on anything to keep the covid drama going to ""get shots in arms"".

No other illness, ailment or tragedy matters unless it's able to be linked to covid.

Post vax reports are conveniently ignored. Labeled coincidental. Use your brain. #vaers",""
"1415972073210589185","Don’t forget to maintain safety at vaccination sites- #WearAMask #SanitiseHands Avoid close contacts! 

And even after you are vaccinated- remain vigilant- it takes time to build up immunity. 

#VaccineRollOutSA",""
"1377367811459194881","50+! It’s now your turn to book your #COVID19 vaccine appointment!",""
"1394411240290754568","An open letter signed by 32 NZ Medical Doctors expresses concerns about the Pfizer ‘Comirnaty’ investigational vaccine for CV-19 – Rangitikei Environmental Health Watch",""
"1405042457608278016","The problem with mandatory vaccination is the removal of human right in protecting one’s health and life, including the choice of vaccine to use.",""
"1442519138111426568","My sisters granddaughter tested positive for covid.  You'd never know it, yet Biden is desperate to vax these kids.  Why?",""
"1382185485301288960","#BioE340 What to Expect After Receiving the COVID-19 Vaccine | American Lung Association",""
"1416750569306402819","Happy Freedom Day Eve! Just got the tree up, now to string up the empty pfizer bottles across the walls. Then it's onto a bit of practice NHS clapping, and setting fire to the bread maker.",""
"1375058072696016898","1/2 
The undercurrent here is that some Pub Landlords may prioritise profit over health.

I am not desperate to visit a pub but when I do,  I fully expect pub landlords and their customers to be compliant, including been vaccinated",""
"1405631011669561347","Wishing @ChrisEriksen8 a speedy rehabilitation and just wanting to suggest he is prioritised for #covid vaccination as he is now clearly in a very high risk group. 

#vaccine #Eriksen",""
"1430887807027879943","Japan suspends 1.6 mln doses of Moderna shot after contamination reports  
#NousSavons 
@olivierveran @EmmanuelMacron",""
"1428079332954578946","Great news. Time to stop playing around with anti-vax #Covidiots - Biden administration to offer vaccine booster shots beginning Sept. 20, require vaccinations for nursing home staf…",""
"1405568759327248397","COVID-19: All over-18s in England able to book vaccine from Friday as Whitty warns of 'surprises' ahead",""
"1435810448419409924","Problems with 3rd dose of vaccine in Germany   via @wdr",""
"1382400244000956421","Lucky to be vaccinated and able to celebrate my mother's 76th birthday today, we went to a restaurant for the first time in over a year.",""
"1391408324608888832","@TelanganaCMO @TelanganaCS @KTRTRS 
Sir, Telangana lo Corona situation ground level lo  bga ledu sir, atleast 15 Days complete lockdown pettandi sir, corona chain break cheyadanki and corona cases kuda decrease avdanki  lockdown okaty correct vaccine sir . please sir 🙏",""
"1395393619478028290","Students getting vaccinated at @mlk_sjmiddle part of @Hartford_Public They were great!! Awesome job @HartfordHealth They made all of our students feel valued and comfortable!! #COVID19 #vaccinate @HartfordSuper @DoreenCrawfor11 @ChiefOfSchools @hartfordcourant @HartfordMag",""
"1373468712330653696","preparing myself for the vaccine by preemptively jabbing myself in the arm with a pointy object",""
"1392056061838958593","""Allowing young teens to get the Pfizer shot presents challenges in the U.S."" by BY ABBY GOODNOUGH AND JAN HOFFMAN via NYT New York Times",""
"1381592276074434562","Johnson &amp; Johnson, Pfizer, Moderna, AstraZeneca",""
"1426279901020233737","Among seriously ill patients, 35% are not vaccinated, compared to 61% who are fully vaccinated and 3% who received one dose of the vaccine. 

Vooral niet #testenvoortoegang bij gevaccineerden
Hup allen in vliegtuig, trein, bus en metro!",""
