"id","text","label"
"1401961685649350656","Sir the Pfizer vaccine is still unavailable in all vaccination centres of karachi Please pace it up as thousands  work visa holders depend on it .plz I request you plz fix this issue on ungrent basis thanks so much please sir",""
"1435813597867692042","Stop saying double vaccinated !!
Factually incorrect …
#CovidVictoria #coronavirus #COVID19nsw",""
"1375059504623140866","How Businesses Can Cater to Newly Vaccinated Older Consumers  #smallbusiness #tips #v9m",""
"1382180563570806784","I've double-masking for past few months with a cloth mask tied tightly over a procedure mask, and I think the biggest benefit of that is I'm now looking forward to going back to a single mask once I've completed my vax course.",""
"1386395897638973443","A Igreja deste Dia presente se tornou Moderna e perdeu o PODER porque a CRUZ e o SANGUE DE JESUS foram Deixados de Lado!#GlobalRevivalExpo",""
"1432776367653810176","Read a paper this morning about the waning vaccine efficacy being affected by the confounder that is people taking more risks if they’ve been vaccinated early and also likely being in a place where they have more liberty to take risks d/t their status 🧐",""
"1433748365276172297","Another side effect of 2nd dose vaccine :
Menstrual cramps that hurt like a bitch.",""
"1428059621974028288","Rabbis in Israel are launching a campaign against COVID-19 vaccine refusal, including a recent rabbinical ruling that unvaccinated individuals may not enter synagogues, participate in a minyan or be called to the Torah.",""
"1432755912133918722","The 99% survival rate from covid group love using that stat but ignore the fact that only 1% of vaccinated people catch covid",""
"1392050861010919434","When 18 y/o college students who are sitting at home and attending online classes are getting the vaccine bcz of some hacks whereas a 43 y/o rickshaw driver with co-morbidities just waits for vaccines as slots are full. How unfair can it get! #VaccinateIndia #IndianeedsVaccines",""
"1420362501523312643","@BimanBanerjee18 Sir  ! From 2.5.21, GOI is eager punish WB people for exercising their democratic rights against them &amp; covid-19 has their most potent weapon . Very little vaccine supply. I beg you to kindly file a case in HC/SC in this regard oblige !",""
"1377381469518098434","Miami FL USA - LPN's RN's NP's Needed - We are currently seeking LPN's RN's NP's to: We are currently seeking LPN's RN's NP's to administer the covid 19 vaccine in various locations in Miam",""
"1405716987129384962","I need to stop searching the net for ways to get my vaccine and resign to the fact that I can’t even register for the cancellation list without the voucher from the fucking city. And that will probably happen in this century if a miracle happens.
Yokofuckinghama you suck! 🤬🤬🤬",""
"1372558970330755081","I'm still awaiting a position from my life insurer and long term disability insurer on whether coverage applies if I or anyone else incur vaccine injury or death.",""
"1410040338840915972","#LIVE: Chris Hipkins, Dr Ashley Bloomfield provide NZ COVID-19 vaccine update",""
"1450964648434470914","Dating sucks during a pandemic.  Ppl are lying about vaccine status. I’m not dying to meet someone. Why? 🤷🏻‍♀️",""
"1430262780414803972","#BREAKING: The Ohio State University announced it is requiring every student, faculty, and staff member to be vaccinated against COVID-19.",""
"1415991287510040576","Every State should *Accelerate"" the Vaccination drive, as the target is set to vaccinate the every citizen of 🇮🇳 is by the end of this year.

Mission Vaccination✌️",""
"1389196153741324288","Pro-Trump web forums are abuzz with directions to forge Covid vaccine cards  via @nbcnews",""
"1437088198837026816","Hospital staff working with CV19 patients, covered in PPE, masks so tight they tear skin, some living away from kids and family to protect them, decontaminating in garages and before entering homes, watching mask and vax protests, football crowds, schools open, SCREAMING inside",""
"1416807294961168386","Has anyone seen Irish news (@rte) feature any news pieces on adverse effects of the vaccine: See -- Olympic Games: Fuglsang believes his Tour de France was wrecked by Covid vaccine",""
"1439291003760939008","Are mandatory vaccinations already a feature of NHS life, as is claimed?",""
"1378945433817391104","I love how Americans twisted their way out of #Astrazeneca. 
""We messed up, a big batch of Astrazeneca bugs got into the Johnson and Johnson and we had to chuck it, so therefore we'll focus on J and J, for now.""
No word on: ""Astrazeneca is dead. Goodbye, Bill Gates.""",""
"1402685156423438337","Biden administration to buy 500 million Pfizer coronavirus vaccine doses to donate to the world
By Tyler Pager and Emily Rauhala",""
"1414874003890577410","Like I said, if it weren’t for that fucking country, we wouldn’t be fucking here. We wouldn’t need to be vaccinated with something we don’t know the long terms effects of yet, and we wouldn’t be on lockdown, and uni wouldn’t be fucking thrown online. Fuck this shit.",""
"1409781599164530691","The New York Times: Mixing Pfizer, AstraZeneca Vaccines Gives Strong Covid Protection, Study Finds.


@GoogleNews을(를) 통해",""
"1420369389841485831","Survey for mandatory vaccinations for all staff in care homes. It’s a resounding no at the moment!! #NoMandatoryVaccinations #MyBodyMyChoice #HumanRightsViolations",""
"1394988053026988042","Europe approves Covid vaccine passports for vaccinated holidaymakers  via @MailOnline",""
"1408629862441627649","New VoD has made it to YouTube! Resonance of Fate End of Eternity Fully Vaccinated Bishes",""
"1389900924026556416","Physicians, Surgeons Call on Universities to Reverse COVID Vaccine Mandates • Children's Health Defense",""
"1423253700055867413","SIMILAR TO COUPON FRAUD -&gt; There are multiple reports of fake proof of vaccine cards &amp; passports emerging online — sold on the dark web, some as low as ""the price of peanuts."" Technology can provide a better solution.

@globalnews #walletpass #Canada",""
