"id","text","label"
"1391030679991947265","Vaccins contre le Covid-19 : l'Union européenne conclut un nouveau contrat avec Pfizer pour 1,8 milliard de doses - Le Monde
Vaccins contre le Covid-19 : l'Union européenne conclut un nouveau contrat avec Pfizer pour 1,8 milliard de doses  Le …

#nouvelles",""
"1394336554093465601","Biden administration to send 20 million U.S.-authorized vaccine doses abroad",""
"1426290264902017024","// blood ?
-
-
Just got the second dose of the vaccine and they didn’t give me a bandaid so now I just have a drop of blood on my shoulder 🥰",""
"1400056454694981635","Having my vaccine done on the left arm 🥰🥰🥰
That's the arm I use to masturbate 👁️👄👁️",""
"1395399369084506116","Meine Mutter hat heute ihre Zweitimpfung mit Moderna bekommen, die erste war mit Astra. Mal sehen wie es mit Nebenwirkung aussieht",""
"1378247433331879939","As the Dumbarton &amp; West Scotland candidate for @ScoLibertarian, I will fully oppose mandatory vaccination laws and mandatory face mask/visor laws as well as oppose vaccine passports.",""
"1380673136618770434","#destacada Israel no paga, Pfizer suspende entrega de vacunas",""
"1438856050837495822","Safe to say I’m overseeing the vaccine rollout in the west of JHB this weekend🤌🏾✨",""
"1397978768354992132","Here are the companies requiring employees to get vaccinated  via @Yahoo",""
"1377372080463876102","Drugmaker Pfizer breaks ground on new Portage facility, plans to hire hu...  via @YouTube",""
"1418582673811980288","i’ll have the 2nd dose of pfizer soon and idk if im gonna have side effects, what do u guys think🥲",""
"1402020083858292741","Just booked in for my first vaccine 💉 at the Boots in Wood Green round the corner from my flat. Eeee excited 😀",""
"1415972073210589185","Don’t forget to maintain safety at vaccination sites- #WearAMask #SanitiseHands Avoid close contacts! 

And even after you are vaccinated- remain vigilant- it takes time to build up immunity. 

#VaccineRollOutSA",""
"1381984051398119437","New post: What the J&amp;J vaccine pause means for you",""
"1425483532244332546","Good morning, loved ones. I’m about to get political here. There’s your off ramp.

*ahem*

Get your damn vaccine.
Wear a damn mask.

And if you’re screaming about mandatory vaccination violating your rights to your body, then I expect all abortion legislation to stop immediately.",""
"1437060222414110725","France citizens continue to protest against mandatory vaccination and vaccine cards/passports. 

Earlier today, Paris residents took it to the street again to stand against mandatory vaccination. 

#VaccinePassport #VaccinePassports #NoVaccinePassports",""
"1373838738162384896","Feeling very hopeful over all the friends and family that have been vaccinated 🤗",""
"1431536551616413704","Parents fear children will have Covid vaccine without their consent",""
"1425487176394027013","ICYMI: @gerardjkennedy: Settle the legality of vaccine mandates with the notwithstanding clause",""
"1392914053417275399","god the second vaccine dose really took me out. my legs and feet and back all hurt soo badly from having chills all night 😭😭",""
"1423206654385000450","Already had consent form for testing at daughter's sec school. Won't be signing

Next it'll be a consent form for vax when she turns 12. Won't be signing

Then it'll be a knock at door from social services as the school will inform them not protecting our child

It's coming 😞",""
"1443366043515330566","👇🏼👇🏼👇🏼👀

Nearly 200 Minnesota Healthcare Workers Sue Employers Over Vaccine Mandates  via @epochtimes",""
"1420364284819820558","C’est moi ou ? On assiste a une offensive de la part des fous mondialistes cette semaine, le covid, le delta, la faute aux non vaxx, 
le CDC qui retourne au masque même chez les vaxx, ségrégation 
des vaxx et non vaxx ( bracelet jaune NFL) …",""
"1409422203741954049","So if you’ve been in contact with someone who tests positive and you test negative AND you’ve had the vaccine you still have to self isolate.
Makes perfect sense",""
